7450-887320
OS REV: 1.05 Sensor Cal: 1685657299
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1704416400,+3.49,+11.356, +3.448,+0.924
1704420000,+3.48,+11.176, +3.445,+0.924
1704423600,+3.48,+11.041, +3.442,+0.925
1704427200,+3.48,+10.906, +3.444,+0.925
1704430800,+3.48,+10.752, +3.456,+0.925
1704434400,+3.48,+10.634, +3.469,+0.925
1704438000,+3.48,+10.480, +3.479,+0.925
1704441600,+3.49,+10.343, +3.488,+0.925
1704445200,+3.49,+10.252, +3.498,+0.925
1704448800,+3.49,+10.216, +3.508,+0.925
1704452400,+3.49,+10.161, +3.520,+0.925
1704456000,+3.49,+10.106, +3.529,+0.925
1704459600,+3.48,+10.097, +3.541,+0.925
1704463200,+3.48,+10.143, +3.556,+0.925
1704466800,+3.48,+10.334, +3.589,+0.925
1704470400,+3.48,+10.661, +3.618,+0.925
1704474000,+3.48,+11.077, +3.644,+0.925
1704477600,+3.48,+11.500, +3.666,+0.925
1704481200,+3.48,+11.875, +3.678,+0.924
