"","site","Date","dilution"
"1","3","12/7/2023",12
"2","5","12/7/2023",12
"3","6","12/7/2023",12
"4","7","12/7/2023",12
"5","9","12/7/2023",12
"6","13","12/7/2023",12
"7","14","12/7/2023",12
"8","15","12/7/2023",12
"9","3","1/15/2024",11
"10","5","1/15/2024",11
"11","5a","1/15/2024",11
"12","6","1/15/2024",11
"13","6a","1/15/2024",11
"14","7","1/15/2024",11
"15","9","1/15/2024",11
"16","13","1/15/2024",11
"17","14","1/15/2024",11
"18","15","1/15/2024",11
"19","5a","1/15/2024",11
"20","GWW",NA,11
"21","S",NA,11
"22","W",NA,11
"23","TFD",NA,11
"24","SURD",NA,11
"25","LLCD",NA,11
"26","SFD",NA,11
"27","LLOD",NA,11
"28","GWD",NA,11
"29","SFS",NA,11
"30","GWS",NA,11
"31","LLCS",NA,11
"32","LLDS",NA,11
"33","TFS",NA,11
"34","LLCDS",NA,11
"35","LLCS",NA,0
"36","SFS",NA,0
"37","LLOS",NA,0
"38","GWS",NA,0
"39","SUBS",NA,0
"40","TFS",NA,0
"41","SURS",NA,0
"42","LLOD",NA,0
"43","TFD",NA,0
"44","SFD",NA,0
"45","GWD",NA,0
"46","LLCD",NA,0
"47","GWW",NA,0
"48","S",NA,0
"49","W",NA,0
"50","3","2/8/2024",11
"51","5","2/8/2024",11
"52","5a","2/8/2024",11
"53","6","2/8/2024",11
"54","6a","2/8/2024",11
"55","7","2/8/2024",11
"56","9","2/8/2024",11
"57","13","2/8/2024",11
"58","14","2/8/2024",11
"59","15","2/8/2024",11
"60","3","3/4/2024",11
"61","5","3/4/2024",6
"62","5a","3/4/2024",2
"63","6","3/4/2024",6
"64","6a","3/4/2024",6
"65","7","3/4/2024",6
"66","9","3/4/2024",6
"67","13","3/4/2024",6
"68","14","3/4/2024",6
"69","15","3/4/2024",6
"70","3","3/25/2024",6
"71","5","3/25/2024",6
"72","5a","3/25/2024",6
"73","6","3/25/2024",6
"74","6a","3/25/2024",6
"75","7","3/25/2024",6
"76","9","3/25/2024",6
"77","13","3/25/2024",6
"78","15","3/25/2024",6
"79","5GW1","3/25/2024",6
"80","5GW2","3/25/2024",6
"81","5GW3","3/25/2024",6
"82","5GW4","3/25/2024",6
"83","5GW5","3/25/2024",6
"84","5GW6","3/25/2024",6
"85","5_dep","3/25/2024",6
"86","9GW1","3/25/2024",6
"87","9GW2","3/25/2024",6
"88","9GW3","3/25/2024",6
"89","9GW4","3/25/2024",6
"90","6GW1","3/25/2024",6
"91","6GW2","3/25/2024",6
"92","6GW4","3/25/2024",6
"93","5","3/25/2024",11
"94","3","3/25/2024",11
"95","6_93","3/25/2024",6
"96","14_500","3/25/2024",6
"97","5_161","3/25/2024",6
"98","5_321","3/25/2024",6
"99","5_573","3/25/2024",6
"100","5_510","3/25/2024",6
"101","5_582","3/25/2024",6
"102","3","4/3/2023",2
"103","5","4/3/2023",1.5
"104","5a","4/3/2023",2
"105","6","4/3/2023",2.5
"106","6a","4/3/2023",1
"107","7","4/3/2023",2
"108","9","4/3/2023",1
"109","13","4/3/2023",1
"110","14","4/3/2023",1
"111","15","4/3/2023",1
"112","3","5/1/2023",1
"113","5","5/1/2023",1.5
"114","5a","5/1/2023",2
"115","6","5/1/2023",2.5
"116","6a","5/1/2023",1
"117","7","5/1/2023",2
"118","9","5/1/2023",1
"119","13","5/1/2023",1
"120","14","5/1/2023",1
"121","15","5/1/2023",1
"122","5","6/5/2023",1.5
"123","5a","6/5/2023",1.5
"124","6","6/5/2023",1.5
"125","6a","6/5/2023",1.5
"126","7","6/5/2023",1.5
"127","9_a","6/5/2023",1.5
"128","9_b","6/5/2023",1.5
"129","13","6/5/2023",1.5
"130","14","6/5/2023",1.5
"131","3","7/26/2023",12
"132","5","7/4/2023",12
"133","5a","7/4/2023",12
"134","6a","7/26/2023",12
"135","6","7/26/2023",12
"136","7","7/26/2023",12
"137","9","7/26/2023",12
"138","13","7/7/2023",12
"139","14","7/4/2023",12
"140","15","7/7/2023",12
"141","3","9/29/2023",12
"142","5","9/29/2023",12
"143","5a","9/29/2023",12
"144","6","9/29/2023",12
"145","6a","9/29/2023",12
"146","7","9/29/2023",12
"147","9","9/29/2023",12
"148","13","9/29/2023",12
"149","14","9/29/2023",12
"150","15","9/29/2023",12
"151","3","9/8/2023",6
"152","5","9/8/2023",6
"153","5a","9/8/2023",6
"154","6","9/8/2023",6
"155","6a","9/8/2023",6
"156","7","9/8/2023",6
"157","9","9/8/2023",6
"158","13","9/8/2023",6
"159","14","9/8/2023",6
"160","15","9/8/2023",6
"161","3","8/2/2023",6
"162","5","8/2/2023",6
"163","5a","8/2/2023",6
"164","6","8/2/2023",6
"165","6a","8/2/2023",6
"166","7","8/2/2023",6
"167","9","8/2/2023",6
"168","13","8/2/2023",6
"169","14","8/2/2023",6
"170","3","9/8/2023",6
"171","5","9/8/2023",6
"172","5a","9/8/2023",6
"173","6","9/8/2023",6
"174","6a","9/8/2023",6
"175","7","9/8/2023",6
"176","9","9/8/2023",6
"177","13","9/8/2023",6
"178","14","9/8/2023",6
"179","15","9/8/2023",6
