Vial ,Sampled ID,Sampled,dilution,Run,Analyzer
1,3,8/1/2024,7,8/8/2024,Aragon
2,5,7/29/2024,7,8/8/2024,Aragon
3,5a,7/29/2024,7,8/8/2024,Aragon
4,5a,7/29/2024,7,8/8/2024,Aragon
5,5GW1,7/29/2024,7,8/8/2024,Aragon
6,5GW2,7/29/2024,7,8/8/2024,Aragon
7,5GW3,7/29/2024,7,8/8/2024,Aragon
8,5GW4,7/29/2024,7,8/8/2024,Aragon
9,5GW5,7/29/2024,7,8/8/2024,Aragon
10,5GW6,7/29/2024,7,8/8/2024,Aragon
11,5GW7,7/29/2024,7,8/8/2024,Aragon
12,6,7/29/2024,7,8/8/2024,Aragon
13,6a,7/27/2024,7,8/8/2024,Aragon
14,6GW1,7/29/2024,7,8/8/2024,Aragon
15,6GW2,7/29/2024,7,8/8/2024,Aragon
16,6GW3,7/29/2024,7,8/8/2024,Aragon
17,6GW4,7/29/2024,7,8/8/2024,Aragon
18,9,7/29/2024,7,8/8/2024,Aragon
19,9,8/1/2024,7,8/8/2024,Aragon
20,9GW1,7/29/2024,7,8/8/2024,Aragon
21,9GW2,7/29/2024,7,8/8/2024,Aragon
22,9GW3,7/29/2024,7,8/8/2024,Aragon
23,13,8/1/2024,1,8/8/2024,Aragon
