Date,LowSpC,FullSpC
4/2/2025 12:24:00,65.5,62.9
4/2/2025 12:24:00,65.4,62.9
4/2/2025 12:24:00,65.4,62.9
4/2/2025 12:24:00,65.4,62.9
4/2/2025 12:24:00,65.4,62.9
4/2/2025 12:24:00,65.4,62.9
4/2/2025 12:25:00,65.4,62.9
4/2/2025 12:25:00,65.4,62.9
4/2/2025 12:25:00,65.5,62.9
4/2/2025 12:25:00,65.4,62.9
4/2/2025 12:25:00,65.4,62.9
4/2/2025 12:25:00,65.4,62.9
4/2/2025 12:26:00,65.4,62.9
4/2/2025 12:26:00,65.5,62.9
4/2/2025 12:26:00,65.4,62.9
4/2/2025 12:26:00,65.5,62.9
4/2/2025 12:26:00,65.5,62.9
4/2/2025 12:26:00,65.5,62.9
4/2/2025 12:27:00,65.4,62.9
4/2/2025 12:27:00,65.5,62.9
4/2/2025 12:27:00,65.5,62.9
4/2/2025 12:27:00,65.5,62.9
4/2/2025 12:27:00,65.6,62.9
4/2/2025 12:27:00,68.6,66.2
4/2/2025 12:28:00,72.1,69.8
4/2/2025 12:28:00,77.3,75
4/2/2025 12:28:00,82.2,80.1
4/2/2025 12:28:00,82,80.1
4/2/2025 12:28:00,80.8,79
4/2/2025 12:28:00,80.6,78.6
4/2/2025 12:29:00,83.2,81.6
4/2/2025 12:29:00,84.9,83
4/2/2025 12:29:00,84.1,82.3
4/2/2025 12:29:00,82.5,80.5
4/2/2025 12:29:00,81.1,79
4/2/2025 12:29:00,79.9,77.9
4/2/2025 12:30:00,79.3,77.5
4/2/2025 12:30:00,79.5,77.5
4/2/2025 12:30:00,79.6,77.5
4/2/2025 12:30:00,79.8,77.9
4/2/2025 12:30:00,80.1,77.9
4/2/2025 12:30:00,80.4,78.3
4/2/2025 12:31:00,80.5,78.6
4/2/2025 12:31:00,80.4,78.3
4/2/2025 12:31:00,80.6,78.6
4/2/2025 12:31:00,80.9,79
4/2/2025 12:31:00,81.8,79.7
4/2/2025 12:31:00,82,79.7
4/2/2025 12:32:00,82.1,80.5
4/2/2025 12:32:00,82.4,80.5
4/2/2025 12:32:00,82.4,80.5
4/2/2025 12:32:00,82.5,80.5
4/2/2025 12:32:00,82.9,81.2
4/2/2025 12:32:00,83,81.2
4/2/2025 12:33:00,83,81.2
4/2/2025 12:33:00,83.6,81.9
4/2/2025 12:33:00,83.5,81.6
4/2/2025 12:33:00,83.1,81.2
4/2/2025 12:33:00,82.5,80.5
4/2/2025 12:33:00,82.5,80.5
4/2/2025 12:34:00,82.3,80.5
4/2/2025 12:34:00,81.9,79.7
4/2/2025 12:34:00,80.7,78.6
4/2/2025 12:34:00,81.5,79.4
4/2/2025 12:34:00,81.4,79.4
4/2/2025 12:34:00,81.4,79.4
4/2/2025 12:35:00,80.8,78.6
4/2/2025 12:35:00,80.3,78.3
4/2/2025 12:35:00,80,77.9
4/2/2025 12:35:00,79.7,77.5
4/2/2025 12:35:00,79.3,77.2
4/2/2025 12:35:00,79.2,77.2
4/2/2025 12:36:00,78.6,76.8
4/2/2025 12:36:00,78.3,76.1
4/2/2025 12:36:00,78,76.1
4/2/2025 12:36:00,78.2,76.1
4/2/2025 12:36:00,77.8,75.7
4/2/2025 12:36:00,77.7,76.1
4/2/2025 12:37:00,77.6,75.3
4/2/2025 12:37:00,76.8,74.6
4/2/2025 12:37:00,76.9,75
4/2/2025 12:37:00,77.2,75
4/2/2025 12:37:00,76.7,74.2
4/2/2025 12:37:00,76.2,73.9
4/2/2025 12:38:00,76,73.9
4/2/2025 12:38:00,76.5,74.2
4/2/2025 12:38:00,76.2,73.9
4/2/2025 12:38:00,75.6,73.1
4/2/2025 12:38:00,75.9,73.9
4/2/2025 12:38:00,75.2,72.8
4/2/2025 12:39:00,75.1,72.8
4/2/2025 12:39:00,75.1,72.8
4/2/2025 12:39:00,75.1,72.8
4/2/2025 12:39:00,74.3,71.7
4/2/2025 12:39:00,74.1,71.7
4/2/2025 12:39:00,73.8,71.3
4/2/2025 12:40:00,73.8,71.3
4/2/2025 12:40:00,73.2,70.9
4/2/2025 12:40:00,73.3,70.9
4/2/2025 12:40:00,73,70.6
4/2/2025 12:40:00,73,70.6
4/2/2025 12:40:00,72.7,70.2
4/2/2025 12:41:00,72.3,69.8
4/2/2025 12:41:00,72.3,69.8
4/2/2025 12:41:00,72.3,69.8
4/2/2025 12:41:00,72.5,70.2
4/2/2025 12:41:00,72.3,69.8
4/2/2025 12:41:00,72.3,69.8
4/2/2025 12:42:00,72.1,69.8
4/2/2025 12:42:00,71.7,69.5
4/2/2025 12:42:00,71.4,69.1
4/2/2025 12:42:00,71.5,69.1
4/2/2025 12:42:00,71.4,69.1
4/2/2025 12:42:00,71,68.4
4/2/2025 12:43:00,70.9,68.4
4/2/2025 12:43:00,71,68.4
4/2/2025 12:43:00,70.8,68
4/2/2025 12:43:00,70.8,68
4/2/2025 12:43:00,70.8,68
4/2/2025 12:43:00,70.6,68
4/2/2025 12:44:00,70.7,68
