Plot Title: Bradford_streams_6-24-21,,,,,,,,,
#,"Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20342068, SEN S/N: 20342068)","Full Range, μS/cm (LGR S/N: 20342068, SEN S/N: 20342068)","Temp, °F (LGR S/N: 20342068, SEN S/N: 20342068)",Coupler Detached (LGR S/N: 20342068),Coupler Attached (LGR S/N: 20342068),Host Connected (LGR S/N: 20342068),Stopped (LGR S/N: 20342068),End Of File (LGR S/N: 20342068)
1,6/24/2021 12:23:05,1.8,0.4,85.75,Logged,,,,
2,6/24/2021 12:23:10,1.8,0.4,85.73,,,,,
3,6/24/2021 12:23:15,1.8,0.4,85.73,,,,,
4,6/24/2021 12:23:20,1.8,0.4,85.68,,,,,
5,6/24/2021 12:23:25,1.8,0.4,85.66,,,,,
6,6/24/2021 12:23:30,1.8,0.4,85.68,,,,,
7,6/24/2021 12:23:35,0.8,0.4,85.73,,,,,
8,6/24/2021 12:23:40,0.8,0.4,85.75,,,,,
9,6/24/2021 12:23:45,0.8,0.4,85.73,,,,,
10,6/24/2021 12:23:50,1.8,0.4,85.82,,,,,
11,6/24/2021 12:23:55,1,0.4,85.86,,,,,
12,6/24/2021 12:24:00,0.8,0.4,85.98,,,,,
13,6/24/2021 12:24:05,0.8,0.4,86.13,,,,,
14,6/24/2021 12:24:10,1.8,0.4,86.2,,,,,
15,6/24/2021 12:24:15,1.8,0.4,86.23,,,,,
16,6/24/2021 12:24:20,0.8,0.4,86.32,,,,,
17,6/24/2021 12:24:25,1.8,0.4,86.38,,,,,
18,6/24/2021 12:24:30,1.8,0.4,86.45,,,,,
19,6/24/2021 12:24:35,1.8,0.4,86.5,,,,,
20,6/24/2021 12:24:40,0.8,10.3,86.59,,,,,
21,6/24/2021 12:24:45,1.8,0.4,86.59,,,,,
22,6/24/2021 12:24:50,0.8,0.4,86.61,,,,,
23,6/24/2021 12:24:55,1.8,10.3,86.68,,,,,
24,6/24/2021 12:25:00,0.8,0.4,86.72,,,,,
25,6/24/2021 12:25:05,1.8,0.4,86.67,,,,,
26,6/24/2021 12:25:10,1.8,-1.4,86.67,,,,,
27,6/24/2021 12:25:15,1,0.4,86.7,,,,,
28,6/24/2021 12:25:20,1.8,0.4,86.72,,,,,
29,6/24/2021 12:25:25,1.8,0.4,86.74,,,,,
30,6/24/2021 12:25:30,0.8,0.4,86.76,,,,,
31,6/24/2021 12:25:35,1.8,0.4,86.79,,,,,
32,6/24/2021 12:25:40,1.8,0.4,86.83,,,,,
33,6/24/2021 12:25:45,0.8,0.4,86.83,,,,,
34,6/24/2021 12:25:50,0.8,0.4,86.81,,,,,
35,6/24/2021 12:25:55,1.9,0.4,86.81,,,,,
36,6/24/2021 12:26:00,1.8,0.4,86.83,,,,,
37,6/24/2021 12:26:05,0.8,0.4,86.86,,,,,
38,6/24/2021 12:26:10,1.8,0.4,86.88,,,,,
39,6/24/2021 12:26:15,0.8,0.4,86.94,,,,,
40,6/24/2021 12:26:20,0.8,0.4,86.97,,,,,
41,6/24/2021 12:26:25,1.8,0.4,86.99,,,,,
42,6/24/2021 12:26:30,1,0.4,87.06,,,,,
43,6/24/2021 12:26:35,1.8,0.4,87.12,,,,,
44,6/24/2021 12:26:40,0.8,0.4,87.13,,,,,
45,6/24/2021 12:26:45,0.8,0.4,87.13,,,,,
46,6/24/2021 12:26:50,1,0.4,87.24,,,,,
47,6/24/2021 12:26:55,1.8,0.4,87.26,,,,,
48,6/24/2021 12:27:00,1.9,0.4,87.21,,,,,
49,6/24/2021 12:27:05,1.8,0.4,87.17,,,,,
50,6/24/2021 12:27:10,1.8,0.4,87.08,,,,,
51,6/24/2021 12:27:15,1.8,0.4,87.01,,,,,
52,6/24/2021 12:27:20,0.8,10.2,87.04,,,,,
53,6/24/2021 12:27:25,1.8,-1.4,87.1,,,,,
54,6/24/2021 12:27:30,1.8,0.4,87.1,,,,,
55,6/24/2021 12:27:35,0.8,0.4,87.17,,,,,
56,6/24/2021 12:27:40,1.8,0.4,87.17,,,,,
57,6/24/2021 12:27:45,0.8,0.4,87.21,,,,,
58,6/24/2021 12:27:50,1.8,0.4,87.22,,,,,
59,6/24/2021 12:27:55,1.8,0.4,87.26,,,,,
60,6/24/2021 12:28:00,0.7,0.4,87.37,,,,,
61,6/24/2021 12:28:05,0.8,-2.9,87.35,,,,,
62,6/24/2021 12:28:10,0.7,0.4,87.35,,,,,
63,6/24/2021 12:28:15,1.8,0.4,87.37,,,,,
64,6/24/2021 12:28:20,0.8,0.4,87.33,,,,,
65,6/24/2021 12:28:25,1.8,0.4,87.31,,,,,
66,6/24/2021 12:28:30,0.8,0.4,87.33,,,,,
67,6/24/2021 12:28:35,0.8,0.4,87.35,,,,,
68,6/24/2021 12:28:40,1.8,0.4,87.42,,,,,
69,6/24/2021 12:28:45,1.8,0.4,87.44,,,,,
70,6/24/2021 12:28:50,0.8,0.4,87.44,,,,,
71,6/24/2021 12:28:55,0.8,0.4,87.49,,,,,
72,6/24/2021 12:29:00,0.1,0.4,87.55,,,,,
73,6/24/2021 12:29:05,0.4,0.4,87.58,,,,,
74,6/24/2021 12:29:10,0.8,0.4,87.64,,,,,
75,6/24/2021 12:29:15,4.2,27,87.69,,,,,
76,6/24/2021 12:29:20,1.8,0.4,87.73,,,,,
77,6/24/2021 12:29:25,0.4,0.4,87.73,,,,,
78,6/24/2021 12:29:30,0.8,0.4,87.76,,,,,
79,6/24/2021 12:29:35,1.8,0.4,87.8,,,,,
80,6/24/2021 12:29:40,0.8,0.4,87.85,,,,,
81,6/24/2021 12:29:45,0.8,0.4,87.89,,,,,
82,6/24/2021 12:29:50,1.9,0.4,87.94,,,,,
83,6/24/2021 12:29:55,0.8,0.4,88,,,,,
84,6/24/2021 12:30:00,0.8,0.4,87.96,,,,,
85,6/24/2021 12:30:05,1.8,0.4,87.98,,,,,
86,6/24/2021 12:30:10,0.8,0.4,88,,,,,
87,6/24/2021 12:30:15,1.8,0.4,88.02,,,,,
88,6/24/2021 12:30:20,1.8,0.4,88,,,,,
