Date,LowSpC,FullSpC,time
2022-06-21T11:25:34Z,63.9,60.5,11:25:34
2022-06-21T11:25:39Z,64.1,60.5,11:25:39
2022-06-21T11:25:44Z,64.1,60.9,11:25:44
2022-06-21T11:25:49Z,64.1,60.5,11:25:49
2022-06-21T11:25:54Z,64.1,60.9,11:25:54
2022-06-21T11:25:59Z,64.2,60.9,11:25:59
2022-06-21T11:26:04Z,64.3,60.9,11:26:04
2022-06-21T11:26:09Z,64.1,60.5,11:26:09
2022-06-21T11:26:14Z,64.1,60.5,11:26:14
2022-06-21T11:26:19Z,64.2,60.5,11:26:19
2022-06-21T11:26:24Z,64.1,60.5,11:26:24
2022-06-21T11:26:29Z,64.2,60.9,11:26:29
2022-06-21T11:26:34Z,64.4,60.9,11:26:34
2022-06-21T11:26:39Z,64.6,61.3,11:26:39
2022-06-21T11:26:44Z,64.9,61.3,11:26:44
2022-06-21T11:26:49Z,65.1,61.7,11:26:49
2022-06-21T11:26:54Z,65.3,61.7,11:26:54
2022-06-21T11:26:59Z,65.4,62,11:26:59
2022-06-21T11:27:04Z,65.5,62,11:27:04
2022-06-21T11:27:09Z,65.6,62,11:27:09
2022-06-21T11:27:14Z,65.6,62.4,11:27:14
2022-06-21T11:27:19Z,65.7,62,11:27:19
2022-06-21T11:27:24Z,65.7,62,11:27:24
2022-06-21T11:27:29Z,65.7,62.4,11:27:29
2022-06-21T11:27:34Z,65.8,62.4,11:27:34
2022-06-21T11:27:39Z,65.9,62.4,11:27:39
2022-06-21T11:27:44Z,65.9,62.4,11:27:44
2022-06-21T11:27:49Z,65.8,62.4,11:27:49
2022-06-21T11:27:54Z,66,62.4,11:27:54
2022-06-21T11:27:59Z,66,62.4,11:27:59
2022-06-21T11:28:04Z,66,62.4,11:28:04
2022-06-21T11:28:09Z,66.1,62.4,11:28:09
2022-06-21T11:28:14Z,65.8,62,11:28:14
2022-06-21T11:28:19Z,65.8,62.4,11:28:19
2022-06-21T11:28:24Z,65.5,62,11:28:24
2022-06-21T11:28:29Z,65.1,61.7,11:28:29
2022-06-21T11:28:34Z,64.3,60.9,11:28:34
2022-06-21T11:28:39Z,62.9,59.4,11:28:39
2022-06-21T11:28:44Z,63,59.4,11:28:44
2022-06-21T11:28:49Z,63,59.4,11:28:49
2022-06-21T11:28:54Z,63.1,59.8,11:28:54
2022-06-21T11:28:59Z,63.2,59.8,11:28:59
2022-06-21T11:29:04Z,63.4,59.8,11:29:04
2022-06-21T11:29:09Z,63.7,60.2,11:29:09
2022-06-21T11:29:14Z,63.9,60.2,11:29:14
2022-06-21T11:29:19Z,63.9,60.5,11:29:19
2022-06-21T11:29:24Z,64,60.5,11:29:24
2022-06-21T11:29:29Z,62.8,59,11:29:29
2022-06-21T11:29:34Z,62.9,59.4,11:29:34
2022-06-21T11:29:39Z,63.1,59.4,11:29:39
2022-06-21T11:29:44Z,63.1,59.8,11:29:44
2022-06-21T11:29:49Z,62.9,59.4,11:29:49
2022-06-21T11:29:54Z,63.1,59.4,11:29:54
2022-06-21T11:29:59Z,63.4,59.8,11:29:59
2022-06-21T11:30:04Z,63.5,59.8,11:30:04
2022-06-21T11:30:09Z,63.8,60.2,11:30:09
2022-06-21T11:30:14Z,63.7,60.2,11:30:14
2022-06-21T11:30:19Z,63.7,60.5,11:30:19
2022-06-21T11:30:24Z,63.9,60.2,11:30:24
2022-06-21T11:30:29Z,63.9,60.5,11:30:29
2022-06-21T11:30:34Z,63.7,60.2,11:30:34
2022-06-21T11:30:39Z,63.5,59.8,11:30:39
2022-06-21T11:30:44Z,63.6,59.8,11:30:44
2022-06-21T11:30:49Z,63.4,60.2,11:30:49
2022-06-21T11:30:54Z,63.6,60.2,11:30:54
2022-06-21T11:30:59Z,63.7,60.2,11:30:59
2022-06-21T11:31:04Z,63.8,60.2,11:31:04
2022-06-21T11:31:09Z,63.7,60.2,11:31:09
2022-06-21T11:31:14Z,63.5,60.2,11:31:14
2022-06-21T11:31:19Z,63.7,60.2,11:31:19
2022-06-21T11:31:24Z,63.7,60.2,11:31:24
2022-06-21T11:31:29Z,63.6,60.2,11:31:29
2022-06-21T11:31:34Z,63.6,60.2,11:31:34
2022-06-21T11:31:39Z,63.5,59.8,11:31:39
2022-06-21T11:31:44Z,63.6,59.8,11:31:44
2022-06-21T11:31:49Z,63.7,60.2,11:31:49
2022-06-21T11:31:54Z,63.8,60.2,11:31:54
2022-06-21T11:31:59Z,63.7,60.2,11:31:59
2022-06-21T11:32:04Z,63.7,60.2,11:32:04
2022-06-21T11:32:09Z,63.7,60.2,11:32:09
2022-06-21T11:32:14Z,63.6,59.8,11:32:14
2022-06-21T11:32:19Z,63.5,59.8,11:32:19
2022-06-21T11:32:24Z,63.4,59.8,11:32:24
2022-06-21T11:32:29Z,63.4,59.8,11:32:29
2022-06-21T11:32:34Z,63.4,59.8,11:32:34
2022-06-21T11:32:39Z,63.4,59.8,11:32:39
2022-06-21T11:32:44Z,63.4,59.8,11:32:44
2022-06-21T11:32:49Z,63.3,59.8,11:32:49
2022-06-21T11:32:54Z,63.2,59.8,11:32:54
2022-06-21T11:32:59Z,63.4,59.8,11:32:59
2022-06-21T11:33:04Z,63.4,59.8,11:33:04
2022-06-21T11:33:09Z,63.5,59.8,11:33:09
2022-06-21T11:33:14Z,63.4,59.8,11:33:14
2022-06-21T11:33:19Z,63.4,59.8,11:33:19
2022-06-21T11:33:24Z,63.4,59.8,11:33:24
