Date,LowSpC,FullSpC,time
2021-03-30T14:00:05Z,54,54.4,14:00:05
2021-03-30T14:00:10Z,54.2,54.4,14:00:10
2021-03-30T14:00:15Z,54,54.4,14:00:15
2021-03-30T14:00:20Z,54,54.4,14:00:20
2021-03-30T14:00:25Z,54.2,54.4,14:00:25
2021-03-30T14:00:30Z,54,54.4,14:00:30
2021-03-30T14:00:35Z,54.2,54.4,14:00:35
2021-03-30T14:00:40Z,54.2,54.4,14:00:40
2021-03-30T14:00:45Z,54.2,54.4,14:00:45
2021-03-30T14:00:50Z,54,54.4,14:00:50
2021-03-30T14:00:55Z,54.1,54.4,14:00:55
2021-03-30T14:01:00Z,54.2,54.4,14:01:00
2021-03-30T14:01:05Z,54.2,54.4,14:01:05
2021-03-30T14:01:10Z,54,54,14:01:10
2021-03-30T14:01:15Z,54.1,54.4,14:01:15
2021-03-30T14:01:20Z,54,54.4,14:01:20
2021-03-30T14:01:25Z,54.2,54.4,14:01:25
2021-03-30T14:01:30Z,54.1,54.4,14:01:30
2021-03-30T14:01:35Z,54.1,54.4,14:01:35
2021-03-30T14:01:40Z,54.1,54.4,14:01:40
2021-03-30T14:01:45Z,54.1,54.4,14:01:45
2021-03-30T14:01:50Z,54.1,54.4,14:01:50
2021-03-30T14:01:55Z,54.1,54.4,14:01:55
2021-03-30T14:02:00Z,54.1,54.4,14:02:00
2021-03-30T14:02:05Z,54.1,54.4,14:02:05
2021-03-30T14:02:10Z,54,54.4,14:02:10
2021-03-30T14:02:15Z,54.1,54.4,14:02:15
2021-03-30T14:02:20Z,54.1,54.4,14:02:20
2021-03-30T14:02:25Z,54.2,54,14:02:25
2021-03-30T14:02:30Z,54.1,54,14:02:30
2021-03-30T14:02:35Z,54,54.4,14:02:35
2021-03-30T14:02:40Z,54,54.4,14:02:40
2021-03-30T14:02:45Z,54.1,54.7,14:02:45
2021-03-30T14:02:50Z,54.1,54,14:02:50
2021-03-30T14:02:55Z,54.1,54.4,14:02:55
2021-03-30T14:03:00Z,54.2,54.4,14:03:00
2021-03-30T14:03:05Z,54.2,54.4,14:03:05
2021-03-30T14:03:10Z,54.2,54.4,14:03:10
2021-03-30T14:03:15Z,54.1,54.4,14:03:15
2021-03-30T14:03:20Z,54.2,54.4,14:03:20
2021-03-30T14:03:25Z,54.1,54.4,14:03:25
2021-03-30T14:03:30Z,54.1,54,14:03:30
2021-03-30T14:03:35Z,54.2,54.4,14:03:35
2021-03-30T14:03:40Z,54,54.4,14:03:40
2021-03-30T14:03:45Z,54,54.4,14:03:45
