Date,LowSpC,FullSpC,time
2021-04-06T14:46:05Z,79.8,79.3,14:46:05
2021-04-06T14:46:10Z,79.8,79.6,14:46:10
2021-04-06T14:46:15Z,79.7,79.6,14:46:15
2021-04-06T14:46:20Z,79.8,79.6,14:46:20
2021-04-06T14:46:25Z,79.6,79.3,14:46:25
2021-04-06T14:46:30Z,79.7,79.3,14:46:30
2021-04-06T14:46:35Z,79.8,79.3,14:46:35
2021-04-06T14:46:40Z,79.8,79.3,14:46:40
2021-04-06T14:46:45Z,79.7,79.6,14:46:45
2021-04-06T14:46:50Z,79.6,79.3,14:46:50
2021-04-06T14:46:55Z,79.7,79.6,14:46:55
2021-04-06T14:47:00Z,79.7,79.6,14:47:00
2021-04-06T14:47:05Z,79.6,79.3,14:47:05
2021-04-06T14:47:10Z,79.6,79.3,14:47:10
2021-04-06T14:47:15Z,79.6,79.3,14:47:15
2021-04-06T14:47:20Z,79.8,79.3,14:47:20
2021-04-06T14:47:25Z,79.9,79.6,14:47:25
2021-04-06T14:47:30Z,79.9,79.3,14:47:30
2021-04-06T14:47:35Z,80,79.6,14:47:35
2021-04-06T14:47:40Z,80.1,79.6,14:47:40
2021-04-06T14:47:45Z,80.1,79.6,14:47:45
2021-04-06T14:47:50Z,80,79.6,14:47:50
2021-04-06T14:47:55Z,80.1,79.6,14:47:55
2021-04-06T14:48:00Z,80,79.6,14:48:00
2021-04-06T14:48:05Z,80,79.6,14:48:05
2021-04-06T14:48:10Z,79.9,79.6,14:48:10
2021-04-06T14:48:15Z,80.1,79.6,14:48:15
2021-04-06T14:48:20Z,80.4,80.3,14:48:20
2021-04-06T14:48:25Z,80.4,80.3,14:48:25
2021-04-06T14:48:30Z,81.7,81.4,14:48:30
2021-04-06T14:48:35Z,82.1,81.7,14:48:35
2021-04-06T14:48:40Z,81.6,80.7,14:48:40
2021-04-06T14:48:45Z,81.8,81.4,14:48:45
2021-04-06T14:48:50Z,82.5,82.1,14:48:50
2021-04-06T14:48:55Z,90.1,89.6,14:48:55
2021-04-06T14:49:00Z,101,100.6,14:49:00
2021-04-06T14:49:05Z,102.2,101.3,14:49:05
2021-04-06T14:49:10Z,96.3,96,14:49:10
2021-04-06T14:49:15Z,95.2,94.9,14:49:15
2021-04-06T14:49:20Z,105.6,105.6,14:49:20
2021-04-06T14:49:25Z,102.2,101.7,14:49:25
2021-04-06T14:49:30Z,101.9,101.3,14:49:30
2021-04-06T14:49:35Z,104.1,103.4,14:49:35
2021-04-06T14:49:40Z,104.1,103.4,14:49:40
2021-04-06T14:49:45Z,103.1,102.7,14:49:45
2021-04-06T14:49:50Z,106.5,105.9,14:49:50
2021-04-06T14:49:55Z,106.8,106.3,14:49:55
2021-04-06T14:50:00Z,108.1,107.7,14:50:00
2021-04-06T14:50:05Z,102.6,102.4,14:50:05
2021-04-06T14:50:10Z,105,104.5,14:50:10
2021-04-06T14:50:15Z,102.8,102.4,14:50:15
2021-04-06T14:50:20Z,101.1,100.2,14:50:20
2021-04-06T14:50:25Z,100.7,100.2,14:50:25
2021-04-06T14:50:30Z,102,101.3,14:50:30
2021-04-06T14:50:35Z,100.5,99.9,14:50:35
2021-04-06T14:50:40Z,99,98.8,14:50:40
2021-04-06T14:50:45Z,99,98.5,14:50:45
2021-04-06T14:50:50Z,99,98.8,14:50:50
2021-04-06T14:50:55Z,96.8,96.3,14:50:55
