Date,,,CO2,
9/13/2023 8:28,2436,12.52,4014,4014
9/13/2023 8:28,2437,12.52,4012,4012
9/13/2023 8:29,2438,12.52,4008,4008
9/13/2023 8:29,2439,12.52,3984,3984
9/13/2023 8:30,2440,12.52,3952,3952
9/13/2023 8:30,2441,12.53,3909,3909
9/13/2023 8:31,2442,12.53,3888,3888
9/13/2023 8:31,2443,12.53,3863,3863
9/13/2023 8:32,2444,12.52,3833,3833
9/13/2023 8:32,2445,12.52,3811,3811
9/13/2023 8:33,2446,12.52,3783,3783
9/13/2023 8:33,2447,12.52,3761,3761
9/13/2023 8:34,2448,12.53,3736,3736
9/13/2023 8:34,2449,12.52,3714,3714
9/13/2023 8:35,2450,12.53,3689,3689
9/13/2023 8:35,2451,12.53,3648,3648
9/13/2023 8:36,2452,12.53,3613,3613
9/13/2023 8:36,2453,12.51,3593,3593
9/13/2023 8:37,2454,12.5,3554,3554
9/13/2023 8:37,2455,12.49,3537,3537
