#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778441, SEN S/N: 10778441)","Full Range, μS/cm (LGR S/N: 10778441, SEN S/N: 10778441)","Temp, °F (LGR S/N: 10778441, SEN S/N: 10778441)",Coupler Detached (LGR S/N: 10778441),Coupler Attached (LGR S/N: 10778441),Host Connected (LGR S/N: 10778441),Stopped (LGR S/N: 10778441),End Of File (LGR S/N: 10778441),Plot Title: Brad_DG_11.01.2023
74,11/1/2023 13:39,98.6,95.6,66.61,,,,,,
75,11/1/2023 13:39,98.6,96,66.61,,,,,,
76,11/1/2023 13:39,98.8,96,66.61,,,,,,
77,11/1/2023 13:39,98.8,96,66.61,,,,,,
78,11/1/2023 13:39,98.7,96,66.6,,,,,,
79,11/1/2023 13:39,98.9,96,66.6,,,,,,
80,11/1/2023 13:39,98.9,96,66.61,,,,,,
81,11/1/2023 13:39,98.8,96,66.6,,,,,,
82,11/1/2023 13:39,98.9,96,66.61,,,,,,
83,11/1/2023 13:39,98.9,96,66.6,,,,,,
84,11/1/2023 13:39,98.7,96,66.6,,,,,,
85,11/1/2023 13:39,98.8,96,66.61,,,,,,
86,11/1/2023 13:40,98.9,96,66.6,,,,,,
87,11/1/2023 13:40,99,96,66.6,,,,,,
88,11/1/2023 13:40,99,96,66.6,,,,,,
89,11/1/2023 13:40,99.1,96,66.6,,,,,,
90,11/1/2023 13:40,99,96,66.6,,,,,,
91,11/1/2023 13:40,99.1,96,66.56,,,,,,
92,11/1/2023 13:40,99.1,96,66.6,,,,,,
93,11/1/2023 13:40,99.1,96,66.6,,,,,,
94,11/1/2023 13:40,99,96,66.56,,,,,,
95,11/1/2023 13:40,99.2,96.4,66.56,,,,,,
96,11/1/2023 13:40,99.2,96.4,66.56,,,,,,
97,11/1/2023 13:40,99.2,96,66.56,,,,,,
98,11/1/2023 13:41,99.2,96.4,66.56,,,,,,
99,11/1/2023 13:41,99.2,96.4,66.6,,,,,,
100,11/1/2023 13:41,99.5,96.8,66.54,,,,,,
101,11/1/2023 13:41,102,99.1,66.56,,,,,,
102,11/1/2023 13:41,103.4,100.7,66.56,,,,,,
103,11/1/2023 13:41,105,102.2,66.6,,,,,,
104,11/1/2023 13:41,104,101.5,66.56,,,,,,
105,11/1/2023 13:41,105.8,103,66.56,,,,,,
106,11/1/2023 13:41,109.3,106.9,66.56,,,,,,
107,11/1/2023 13:41,111.3,108.8,66.56,,,,,,
108,11/1/2023 13:41,113.7,111.5,66.56,,,,,,
109,11/1/2023 13:41,118.9,116.5,66.56,,,,,,
110,11/1/2023 13:42,120.5,118.1,66.6,,,,,,
111,11/1/2023 13:42,121.7,119.3,66.56,,,,,,
112,11/1/2023 13:42,122.9,120.4,66.56,,,,,,
113,11/1/2023 13:42,122.8,120.4,66.6,,,,,,
114,11/1/2023 13:42,123.5,121.2,66.56,,,,,,
115,11/1/2023 13:42,122.5,120.4,66.56,,,,,,
116,11/1/2023 13:42,122.3,120,66.6,,,,,,
117,11/1/2023 13:42,120.8,118.5,66.56,,,,,,
118,11/1/2023 13:42,119.6,117.3,66.6,,,,,,
119,11/1/2023 13:42,118.7,116.5,66.56,,,,,,
120,11/1/2023 13:42,118,115.8,66.56,,,,,,
121,11/1/2023 13:42,117.7,115.4,66.6,,,,,,
122,11/1/2023 13:43,116.8,114.6,66.6,,,,,,
123,11/1/2023 13:43,115.1,113.1,66.56,,,,,,
124,11/1/2023 13:43,115.2,113.1,66.56,,,,,,
125,11/1/2023 13:43,114.5,112.3,66.56,,,,,,
126,11/1/2023 13:43,113.6,111.5,66.56,,,,,,
127,11/1/2023 13:43,111.7,109.2,66.6,,,,,,
128,11/1/2023 13:43,111.4,108.8,66.56,,,,,,
129,11/1/2023 13:43,110.1,107.6,66.56,,,,,,
130,11/1/2023 13:43,110.5,108,66.6,,,,,,
131,11/1/2023 13:43,110.3,107.6,66.6,,,,,,
132,11/1/2023 13:43,109.2,106.9,66.6,,,,,,
133,11/1/2023 13:43,108.6,105.7,66.6,,,,,,
134,11/1/2023 13:44,106.9,104.2,66.56,,,,,,
135,11/1/2023 13:44,107.2,104.2,66.6,,,,,,
136,11/1/2023 13:44,107.7,105.3,66.6,,,,,,
137,11/1/2023 13:44,105.5,102.6,66.56,,,,,,
138,11/1/2023 13:44,105.4,103,66.6,,,,,,
139,11/1/2023 13:44,105.4,103,66.56,,,,,,
140,11/1/2023 13:44,105.3,102.6,66.6,,,,,,
141,11/1/2023 13:44,105.5,103,66.6,,,,,,
142,11/1/2023 13:44,104.8,102.2,66.6,,,,,,
143,11/1/2023 13:44,104.8,102.2,66.6,,,,,,
144,11/1/2023 13:44,104.7,102.2,66.6,,,,,,
145,11/1/2023 13:44,104.7,101.8,66.6,,,,,,
146,11/1/2023 13:45,104.3,101.4,66.6,,,,,,
147,11/1/2023 13:45,103.9,101.4,66.6,,,,,,
148,11/1/2023 13:45,103.9,101.1,66.6,,,,,,
149,11/1/2023 13:45,103.3,100.7,66.6,,,,,,
150,11/1/2023 13:45,102.9,100.3,66.6,,,,,,
151,11/1/2023 13:45,102.6,99.9,66.6,,,,,,
152,11/1/2023 13:45,102.9,99.9,66.6,,,,,,
153,11/1/2023 13:45,102.7,99.9,66.6,,,,,,
154,11/1/2023 13:45,102.8,99.9,66.6,,,,,,
155,11/1/2023 13:45,102.7,99.9,66.6,,,,,,
156,11/1/2023 13:45,102.3,99.5,66.6,,,,,,
157,11/1/2023 13:45,102.1,99.5,66.6,,,,,,
158,11/1/2023 13:46,102.2,99.5,66.56,,,,,,
159,11/1/2023 13:46,102.2,99.5,66.61,,,,,,
160,11/1/2023 13:46,102.2,99.5,66.6,,,,,,
161,11/1/2023 13:46,102.1,99.5,66.6,,,,,,
162,11/1/2023 13:46,102.4,99.5,66.6,,,,,,
163,11/1/2023 13:46,101.8,99.1,66.6,,,,,,
164,11/1/2023 13:46,101.5,98.7,66.6,,,,,,
165,11/1/2023 13:46,101.8,99.1,66.6,,,,,,
166,11/1/2023 13:46,101.5,98.7,66.6,,,,,,
167,11/1/2023 13:46,101.7,99.1,66.6,,,,,,
168,11/1/2023 13:46,101.6,99.1,66.6,,,,,,
169,11/1/2023 13:46,101.5,98.7,66.6,,,,,,
170,11/1/2023 13:47,101.4,98.7,66.61,,,,,,
171,11/1/2023 13:47,101.5,98.7,66.6,,,,,,
172,11/1/2023 13:47,101.5,98.7,66.6,,,,,,
173,11/1/2023 13:47,101.5,98.7,66.6,,,,,,
174,11/1/2023 13:47,101.5,98.7,66.6,,,,,,
175,11/1/2023 13:47,101.5,99.1,66.6,,,,,,
176,11/1/2023 13:47,101.4,98.7,66.6,,,,,,
177,11/1/2023 13:47,101.2,98.7,66.6,,,,,,
178,11/1/2023 13:47,101.3,98.7,66.61,,,,,,
179,11/1/2023 13:47,101.2,98.7,66.61,,,,,,
180,11/1/2023 13:47,101.2,98.4,66.6,,,,,,
181,11/1/2023 13:47,101.1,98.7,66.6,,,,,,
182,11/1/2023 13:48,101.1,98.4,66.6,,,,,,
183,11/1/2023 13:48,101.2,98.4,66.6,,,,,,
184,11/1/2023 13:48,101,98.4,66.6,,,,,,
185,11/1/2023 13:48,101.1,98.4,66.6,,,,,,
186,11/1/2023 13:48,101.1,98.4,66.61,,,,,,
187,11/1/2023 13:48,101,98.4,66.6,,,,,,
188,11/1/2023 13:48,101,98.4,66.61,,,,,,
189,11/1/2023 13:48,101,98.4,66.6,,,,,,
190,11/1/2023 13:48,100.8,98.4,66.61,,,,,,
191,11/1/2023 13:48,101,98.4,66.6,,,,,,
192,11/1/2023 13:48,101,98.4,66.6,,,,,,
193,11/1/2023 13:48,101,98.4,66.61,,,,,,
194,11/1/2023 13:49,101,98.4,66.61,,,,,,
195,11/1/2023 13:49,101,98.4,66.61,,,,,,
196,11/1/2023 13:49,100.9,98.4,66.6,,,,,,
197,11/1/2023 13:49,100.9,98.4,66.61,,,,,,
198,11/1/2023 13:49,101,98.4,66.61,,,,,,
199,11/1/2023 13:49,100.9,98.4,66.6,,,,,,
200,11/1/2023 13:49,100.9,98.4,66.61,,,,,,
201,11/1/2023 13:49,100.9,98.4,66.61,,,,,,
202,11/1/2023 13:49,100.9,98.4,66.6,,,,,,
203,11/1/2023 13:49,100.9,98.4,66.61,,,,,,
204,11/1/2023 13:49,100.9,98.4,66.6,,,,,,
205,11/1/2023 13:49,100.9,98.4,66.61,,,,,,
206,11/1/2023 13:50,100.9,98.4,66.6,,,,,,
207,11/1/2023 13:50,101,98.4,66.61,,,,,,
208,11/1/2023 13:50,101,98.4,66.61,,,,,,
209,11/1/2023 13:50,101,98.4,66.61,,,,,,
210,11/1/2023 13:50,100.9,98.4,66.61,,,,,,
211,11/1/2023 13:50,100.8,98.4,66.6,,,,,,
212,11/1/2023 13:50,100.9,98.4,66.6,,,,,,
213,11/1/2023 13:50,100.8,98.4,66.61,,,,,,
214,11/1/2023 13:50,100.9,98.4,66.61,,,,,,
215,11/1/2023 13:50,100.9,98.4,66.61,,,,,,
216,11/1/2023 13:50,100.9,98.4,66.61,,,,,,
217,11/1/2023 13:50,100.8,98.4,66.61,,,,,,
218,11/1/2023 13:51,100.8,98,66.61,,,,,,
219,11/1/2023 13:51,100.8,98,66.61,,,,,,
220,11/1/2023 13:51,100.8,98.4,66.61,,,,,,
221,11/1/2023 13:51,100.7,98,66.61,,,,,,
222,11/1/2023 13:51,100.7,98,66.61,,,,,,
223,11/1/2023 13:51,100.8,98.4,66.61,,,,,,
224,11/1/2023 13:51,100.8,98.4,66.61,,,,,,
225,11/1/2023 13:51,100.8,98.4,66.61,,,,,,
226,11/1/2023 13:51,100.8,98,66.61,,,,,,
227,11/1/2023 13:51,100.7,98,66.61,,,,,,
228,11/1/2023 13:51,100.8,98,66.61,,,,,,
229,11/1/2023 13:51,100.7,98,66.61,,,,,,
230,11/1/2023 13:52,100.8,98.4,66.61,,,,,,
231,11/1/2023 13:52,100.7,98,66.61,,,,,,
232,11/1/2023 13:52,100.7,98.4,66.61,,,,,,
233,11/1/2023 13:52,100.8,98.4,66.61,,,,,,
234,11/1/2023 13:52,100.8,98,66.61,,,,,,
235,11/1/2023 13:52,100.9,98.4,66.61,,,,,,
236,11/1/2023 13:52,100.9,98.4,66.61,,,,,,
