#,"Date Time, GMT-04:00","Full Range, μS/cm (LGR S/N: 10757734, SEN S/N: 10757734)","Temp, °F (LGR S/N: 10757734, SEN S/N: 10757734)",Coupler Detached (LGR S/N: 10757734),Coupler Attached (LGR S/N: 10757734),Host Connected (LGR S/N: 10757734),End Of File (LGR S/N: 10757734)
77,9/14/2022 11:51,83,78.28,,,,
78,9/14/2022 11:51,83,78.21,,,,
79,9/14/2022 11:51,83,78.22,,,,
80,9/14/2022 11:51,83,78.17,,,,
81,9/14/2022 11:51,83,78.22,,,,
82,9/14/2022 11:51,83,78.13,,,,
83,9/14/2022 11:51,83,78.1,,,,
84,9/14/2022 11:51,83,78.12,,,,
85,9/14/2022 11:51,83,78.1,,,,
86,9/14/2022 11:51,82.6,78.1,,,,
87,9/14/2022 11:51,82.6,78.04,,,,
88,9/14/2022 11:51,83,77.95,,,,
89,9/14/2022 11:52,82.6,78.01,,,,
90,9/14/2022 11:52,82.6,78.01,,,,
91,9/14/2022 11:52,83,78.01,,,,
92,9/14/2022 11:52,82.6,77.99,,,,
93,9/14/2022 11:52,82.6,78.01,,,,
94,9/14/2022 11:52,82.6,77.95,,,,
95,9/14/2022 11:52,82.2,77.95,,,,
96,9/14/2022 11:52,82.2,77.95,,,,
97,9/14/2022 11:52,82.2,77.94,,,,
98,9/14/2022 11:52,82.2,77.94,,,,
99,9/14/2022 11:52,82.2,77.92,,,,
100,9/14/2022 11:52,82.2,77.94,,,,
101,9/14/2022 11:53,82.2,77.9,,,,
102,9/14/2022 11:53,82.2,77.92,,,,
103,9/14/2022 11:53,82.2,77.94,,,,
104,9/14/2022 11:53,82.2,77.92,,,,
105,9/14/2022 11:53,82.2,77.9,,,,
106,9/14/2022 11:53,82.2,77.94,,,,
107,9/14/2022 11:53,82.2,77.92,,,,
108,9/14/2022 11:53,82.2,77.92,,,,
109,9/14/2022 11:53,82.2,77.92,,,,
110,9/14/2022 11:53,82.2,77.92,,,,
111,9/14/2022 11:53,82.2,77.94,,,,
112,9/14/2022 11:53,82.2,77.94,,,,
113,9/14/2022 11:54,83.4,77.94,,,,
114,9/14/2022 11:54,84.9,77.92,,,,
115,9/14/2022 11:54,104.6,77.92,,,,
116,9/14/2022 11:54,113,77.92,,,,
117,9/14/2022 11:54,124.4,77.92,,,,
118,9/14/2022 11:54,123.6,77.92,,,,
119,9/14/2022 11:54,123.2,77.92,,,,
120,9/14/2022 11:54,122.5,77.92,,,,
121,9/14/2022 11:54,130.1,77.9,,,,
122,9/14/2022 11:54,124.4,77.9,,,,
123,9/14/2022 11:54,125.9,77.9,,,,
124,9/14/2022 11:54,126.7,77.9,,,,
