Date,CO2
2024-01-05T13:13:40Z,679.7284
2024-01-05T13:13:50Z,658.7126
2024-01-05T13:14:00Z,640.7662
2024-01-05T13:14:10Z,709.6258
2024-01-05T13:14:20Z,679.3836
2024-01-05T13:14:30Z,658.5544
2024-01-05T13:14:40Z,641.5066
2024-01-05T13:14:50Z,627.8135
2024-01-05T13:15:00Z,614.0667
2024-01-05T13:15:10Z,692.8698
2024-01-05T13:15:20Z,668.1376
2024-01-05T13:15:30Z,652.5336
2024-01-05T13:15:40Z,639.4771
2024-01-05T13:15:50Z,628.2126
2024-01-05T13:16:00Z,617.6144
2024-01-05T13:16:10Z,703.9181
2024-01-05T13:16:20Z,678.6667
2024-01-05T13:16:30Z,664.05
2024-01-05T13:16:40Z,652.8214
2024-01-05T13:16:50Z,641.6098
2024-01-05T13:17:00Z,630.2932
2024-01-05T13:17:10Z,715.0395
2024-01-05T13:17:20Z,691.4404
2024-01-05T13:17:30Z,677.9286
2024-01-05T13:17:40Z,666.36
2024-01-05T13:17:50Z,656.5241
2024-01-05T13:18:00Z,645.7786
2024-01-05T13:18:10Z,729.9365
2024-01-05T13:18:20Z,707.0156
2024-01-05T13:18:30Z,693.5308
2024-01-05T13:18:40Z,682.4312
2024-01-05T13:18:50Z,672.0252
2024-01-05T13:19:00Z,662.4049
2024-01-05T13:19:10Z,748.4116
2024-01-05T13:19:20Z,725.8054
2024-01-05T13:19:30Z,712.5154
2024-01-05T13:19:40Z,702.2671
2024-01-05T13:19:50Z,691.4192
2024-01-05T13:20:00Z,682.7177
2024-01-05T13:20:10Z,770.0716
2024-01-05T13:20:20Z,746.9066
2024-01-05T13:20:30Z,733.0237
2024-01-05T13:20:40Z,721.8276
2024-01-05T13:20:50Z,710.6878
2024-01-05T13:21:00Z,702.3041
2024-01-05T13:21:10Z,788.2493
2024-01-05T13:21:20Z,765.543
2024-01-05T13:21:30Z,751.5484
2024-01-05T13:21:40Z,738.6402
2024-01-05T13:21:50Z,726.6205
2024-01-05T13:22:00Z,716.3979
2024-01-05T13:22:10Z,799.3823
2024-01-05T13:22:20Z,777.2607
2024-01-05T13:22:30Z,762.8045
2024-01-05T13:22:40Z,751.328
2024-01-05T13:22:50Z,740.5627
2024-01-05T13:23:00Z,731.1176
2024-01-05T13:23:10Z,816.8809
2024-01-05T13:23:20Z,795.0938
2024-01-05T13:23:30Z,782.8055
2024-01-05T13:23:40Z,771.9955
2024-01-05T13:23:50Z,762.0323
2024-01-05T13:24:00Z,751.9173
2024-01-05T13:24:10Z,840.7916
2024-01-05T13:24:20Z,817.4586
2024-01-05T13:24:30Z,803.1854
2024-01-05T13:24:40Z,792.336
2024-01-05T13:24:50Z,781.0474
2024-01-05T13:25:00Z,770.9946
2024-01-05T13:25:10Z,855.4069
2024-01-05T13:25:20Z,832.5598
2024-01-05T13:25:30Z,819.2791
2024-01-05T13:25:40Z,807.4714
2024-01-05T13:25:50Z,796.0333
2024-01-05T13:26:00Z,786.3159
2024-01-05T13:26:10Z,871.5553
