Date,LowSpC,FullSpC,time
2021-07-09T11:52:00Z,44.7,40.4,11:52:00
2021-07-09T11:52:00Z,44.7,40.4,11:52:00
2021-07-09T11:52:00Z,44.7,40.4,11:52:00
2021-07-09T11:52:00Z,44.7,40.8,11:52:00
2021-07-09T11:52:00Z,44.6,40.4,11:52:00
2021-07-09T11:52:00Z,44.6,40.4,11:52:00
2021-07-09T11:52:00Z,44.6,40.4,11:52:00
2021-07-09T11:52:00Z,44.7,40.4,11:52:00
2021-07-09T11:52:00Z,44.7,40.8,11:52:00
2021-07-09T11:52:00Z,87.3,83.5,11:52:00
2021-07-09T11:52:00Z,170.6,173.4,11:52:00
2021-07-09T11:52:00Z,201.8,203.1,11:52:00
2021-07-09T11:53:00Z,210.7,212.7,11:53:00
2021-07-09T11:53:00Z,165.8,166.2,11:53:00
2021-07-09T11:53:00Z,125.7,120.2,11:53:00
2021-07-09T11:53:00Z,141,140.7,11:53:00
2021-07-09T11:53:00Z,105.5,104.3,11:53:00
2021-07-09T11:53:00Z,104,102.4,11:53:00
2021-07-09T11:53:00Z,82.9,80.5,11:53:00
2021-07-09T11:53:00Z,83.8,80.8,11:53:00
2021-07-09T11:53:00Z,68.1,65.3,11:53:00
2021-07-09T11:53:00Z,69.2,66.1,11:53:00
2021-07-09T11:53:00Z,66,63.1,11:53:00
2021-07-09T11:53:00Z,60.5,57.4,11:53:00
2021-07-09T11:54:00Z,58.8,55.5,11:54:00
2021-07-09T11:54:00Z,54,50.2,11:54:00
2021-07-09T11:54:00Z,52.2,48.3,11:54:00
2021-07-09T11:54:00Z,55.6,52.1,11:54:00
2021-07-09T11:54:00Z,50.7,47.2,11:54:00
2021-07-09T11:54:00Z,49.2,45.7,11:54:00
2021-07-09T11:54:00Z,49.2,45.7,11:54:00
2021-07-09T11:54:00Z,48.2,44.9,11:54:00
2021-07-09T11:54:00Z,48.5,44.9,11:54:00
2021-07-09T11:54:00Z,47.2,43.4,11:54:00
2021-07-09T11:54:00Z,47.7,43.8,11:54:00
2021-07-09T11:54:00Z,46.2,42.3,11:54:00
2021-07-09T11:55:00Z,46.3,42.7,11:55:00
2021-07-09T11:55:00Z,45.8,42.3,11:55:00
2021-07-09T11:55:00Z,46.3,42.3,11:55:00
2021-07-09T11:55:00Z,45.7,41.9,11:55:00
2021-07-09T11:55:00Z,45.6,41.9,11:55:00
2021-07-09T11:55:00Z,45.6,41.9,11:55:00
2021-07-09T11:55:00Z,45.4,41.9,11:55:00
2021-07-09T11:55:00Z,45.2,41.5,11:55:00
2021-07-09T11:55:00Z,45.1,41.2,11:55:00
2021-07-09T11:55:00Z,45.1,41.2,11:55:00
2021-07-09T11:55:00Z,45.1,41.2,11:55:00
2021-07-09T11:55:00Z,45,41.2,11:55:00
2021-07-09T11:56:00Z,45,40.8,11:56:00
2021-07-09T11:56:00Z,45,40.8,11:56:00
2021-07-09T11:56:00Z,44.9,40.8,11:56:00
2021-07-09T11:56:00Z,44.8,41.2,11:56:00
2021-07-09T11:56:00Z,44.8,40.4,11:56:00
2021-07-09T11:56:00Z,44.9,40.8,11:56:00
2021-07-09T11:56:00Z,44.8,40.8,11:56:00
2021-07-09T11:56:00Z,44.7,40.8,11:56:00
2021-07-09T11:56:00Z,44.7,40.8,11:56:00
2021-07-09T11:56:00Z,44.9,40.8,11:56:00
2021-07-09T11:56:00Z,44.7,40.8,11:56:00
2021-07-09T11:56:00Z,44.7,41.2,11:56:00
2021-07-09T11:57:00Z,44.7,40.8,11:57:00
2021-07-09T11:57:00Z,44.7,40.8,11:57:00
2021-07-09T11:57:00Z,44.7,40.8,11:57:00
