"Plot Title: Brad_14cond"
"#","Date Time, GMT-04:00","Full Range, μS/cm (LGR S/N: 21415362, SEN S/N: 21415362)","Temp, °F (LGR S/N: 21415362, SEN S/N: 21415362)"
1,09/14/22 02:15:00 PM,6.4,98.78
2,09/14/22 02:30:00 PM,6.4,97.45
3,09/14/22 02:45:00 PM,6.4,98.64
4,09/14/22 03:00:00 PM,3.9,100.33
5,09/14/22 03:15:00 PM,6.4,99.50
6,09/14/22 03:30:00 PM,6.4,100.42
7,09/14/22 03:45:00 PM,6.4,94.66
8,09/14/22 04:00:00 PM,77.6,77.79
9,09/14/22 04:15:00 PM,77.2,77.81
10,09/14/22 04:30:00 PM,77.2,77.85
11,09/14/22 04:45:00 PM,77.2,77.92
12,09/14/22 05:00:00 PM,77.2,77.95
13,09/14/22 05:15:00 PM,77.2,77.99
14,09/14/22 05:30:00 PM,77.2,78.04
15,09/14/22 05:45:00 PM,77.2,78.06
16,09/14/22 06:00:00 PM,76.8,78.08
17,09/14/22 06:15:00 PM,77.2,78.08
18,09/14/22 06:30:00 PM,76.8,78.12
19,09/14/22 06:45:00 PM,76.8,78.12
20,09/14/22 07:00:00 PM,77.2,78.12
21,09/14/22 07:15:00 PM,77.2,78.12
22,09/14/22 07:30:00 PM,77.2,78.12
23,09/14/22 07:45:00 PM,77.2,78.08
24,09/14/22 08:00:00 PM,77.2,78.06
25,09/14/22 08:15:00 PM,77.2,78.06
26,09/14/22 08:30:00 PM,77.2,78.01
27,09/14/22 08:45:00 PM,77.2,77.99
28,09/14/22 09:00:00 PM,77.2,77.95
29,09/14/22 09:15:00 PM,77.2,77.90
30,09/14/22 09:30:00 PM,77.2,77.85
31,09/14/22 09:45:00 PM,76.8,77.81
32,09/14/22 10:00:00 PM,76.8,77.79
33,09/14/22 10:15:00 PM,76.8,77.74
34,09/14/22 10:30:00 PM,76.8,77.68
35,09/14/22 10:45:00 PM,76.8,77.65
36,09/14/22 11:00:00 PM,76.8,77.58
37,09/14/22 11:15:00 PM,76.8,77.54
38,09/14/22 11:30:00 PM,76.5,77.49
39,09/14/22 11:45:00 PM,76.5,77.41
40,09/15/22 12:00:00 AM,76.5,77.38
41,09/15/22 12:15:00 AM,76.5,77.31
42,09/15/22 12:30:00 AM,76.5,77.25
43,09/15/22 12:45:00 AM,76.5,77.18
44,09/15/22 01:00:00 AM,76.1,77.14
45,09/15/22 01:15:00 AM,76.1,77.07
46,09/15/22 01:30:00 AM,75.8,77.00
47,09/15/22 01:45:00 AM,76.1,76.98
48,09/15/22 02:00:00 AM,76.1,76.89
49,09/15/22 02:15:00 AM,75.8,76.84
50,09/15/22 02:30:00 AM,75.8,76.77
51,09/15/22 02:45:00 AM,75.8,76.69
52,09/15/22 03:00:00 AM,75.8,76.64
53,09/15/22 03:15:00 AM,75.8,76.57
54,09/15/22 03:30:00 AM,75.4,76.51
55,09/15/22 03:45:00 AM,75.8,76.44
56,09/15/22 04:00:00 AM,75.4,76.37
57,09/15/22 04:15:00 AM,75.4,76.32
58,09/15/22 04:30:00 AM,75.1,76.26
59,09/15/22 04:45:00 AM,75.1,76.23
60,09/15/22 05:00:00 AM,75.1,76.15
61,09/15/22 05:15:00 AM,75.1,76.10
62,09/15/22 05:30:00 AM,74.7,76.06
63,09/15/22 05:45:00 AM,74.7,75.99
64,09/15/22 06:00:00 AM,74.7,75.92
65,09/15/22 06:15:00 AM,74.7,75.87
66,09/15/22 06:30:00 AM,74.7,75.79
67,09/15/22 06:45:00 AM,74.3,75.76
