"Plot Title: Bradford_3DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20342023, SEN S/N: 20342023)","Temp, °F (LGR S/N: 20342023, SEN S/N: 20342023)"
1,12/08/22 10:00:00 AM,8.94,69.66
2,12/08/22 10:15:00 AM,8.87,71.24
3,12/08/22 10:30:00 AM,8.82,72.25
4,12/08/22 10:45:00 AM,8.77,72.86
5,12/08/22 11:00:00 AM,8.71,73.40
6,12/08/22 11:15:00 AM,8.67,74.01
7,12/08/22 11:30:00 AM,8.57,74.77
8,12/08/22 11:45:00 AM,8.47,75.92
9,12/08/22 12:00:00 PM,8.37,77.04
10,12/08/22 12:15:00 PM,8.30,78.01
11,12/08/22 12:30:00 PM,8.21,78.84
12,12/08/22 12:45:00 PM,8.17,79.48
13,12/08/22 01:00:00 PM,8.13,79.92
14,12/08/22 01:15:00 PM,8.07,80.46
15,12/08/22 01:30:00 PM,8.01,81.10
16,12/08/22 01:45:00 PM,7.95,82.04
17,12/08/22 02:00:00 PM,7.89,83.01
18,12/08/22 02:15:00 PM,7.85,83.77
19,12/08/22 02:30:00 PM,7.79,84.63
20,12/08/22 02:45:00 PM,7.70,85.24
21,12/08/22 03:00:00 PM,9.06,70.48
22,12/08/22 03:15:00 PM,9.52,65.91
23,12/08/22 03:30:00 PM,9.59,64.72
24,12/08/22 03:45:00 PM,9.59,64.44
25,12/08/22 04:00:00 PM,9.57,64.36
26,12/08/22 04:15:00 PM,9.55,64.40
27,12/08/22 04:30:00 PM,9.55,64.44
28,12/08/22 04:45:00 PM,9.53,64.47
29,12/08/22 05:00:00 PM,9.51,64.51
30,12/08/22 05:15:00 PM,9.52,64.54
31,12/08/22 05:30:00 PM,9.50,64.54
32,12/08/22 05:45:00 PM,9.51,64.54
33,12/08/22 06:00:00 PM,9.50,64.54
34,12/08/22 06:15:00 PM,9.50,64.62
35,12/08/22 06:30:00 PM,9.50,64.58
36,12/08/22 06:45:00 PM,9.50,64.54
37,12/08/22 07:00:00 PM,9.50,64.51
38,12/08/22 07:15:00 PM,9.53,64.51
39,12/08/22 07:30:00 PM,9.52,64.47
40,12/08/22 07:45:00 PM,9.52,64.47
41,12/08/22 08:00:00 PM,9.52,64.44
42,12/08/22 08:15:00 PM,9.53,64.40
43,12/08/22 08:30:00 PM,9.52,64.33
44,12/08/22 08:45:00 PM,9.53,64.29
45,12/08/22 09:00:00 PM,9.55,64.22
46,12/08/22 09:15:00 PM,9.56,64.11
47,12/08/22 09:30:00 PM,9.58,64.00
48,12/08/22 09:45:00 PM,9.58,63.90
49,12/08/22 10:00:00 PM,9.61,63.75
50,12/08/22 10:15:00 PM,9.63,63.64
51,12/08/22 10:30:00 PM,9.64,63.57
52,12/08/22 10:45:00 PM,9.64,63.46
53,12/08/22 11:00:00 PM,9.65,63.36
