"Plot Title: Bradford_8"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776668, SEN S/N: 10776668)","Temp, °F (LGR S/N: 10776668, SEN S/N: 10776668)"
1,09/13/21 01:55:50 PM,15.7282,76.354
2,09/13/21 02:10:50 PM,15.7350,74.619
3,09/13/21 02:25:50 PM,15.7318,74.619
4,09/13/21 02:40:50 PM,15.7318,74.619
5,09/13/21 02:55:50 PM,15.7270,74.619
6,09/13/21 03:10:50 PM,15.7254,74.619
7,09/13/21 03:25:50 PM,15.7202,74.446
8,09/13/21 03:40:50 PM,15.7141,74.619
9,09/13/21 03:55:50 PM,15.7125,74.619
10,09/13/21 04:10:50 PM,15.7077,74.619
11,09/13/21 04:25:50 PM,15.7061,74.619
12,09/13/21 04:40:50 PM,15.7029,74.619
13,09/13/21 04:55:50 PM,15.7014,74.619
14,09/13/21 05:10:50 PM,15.6966,74.619
15,09/13/21 05:25:50 PM,15.6966,74.619
16,09/13/21 05:40:50 PM,15.6934,74.619
17,09/13/21 05:55:50 PM,15.6918,74.619
18,09/13/21 06:10:50 PM,15.6934,74.619
19,09/13/21 06:25:50 PM,15.6902,74.619
20,09/13/21 06:40:50 PM,15.6884,74.619
21,09/13/21 06:55:50 PM,15.6853,74.619
22,09/13/21 07:10:50 PM,15.6853,74.619
23,09/13/21 07:25:50 PM,15.6841,74.791
24,09/13/21 07:40:50 PM,15.6889,74.791
25,09/13/21 07:55:50 PM,15.6889,74.791
26,09/13/21 08:10:50 PM,15.6922,74.791
27,09/13/21 08:25:50 PM,15.6938,74.791
28,09/13/21 08:40:50 PM,15.6970,74.791
29,09/13/21 08:55:50 PM,15.7018,74.791
30,09/13/21 09:10:50 PM,15.7034,74.791
31,09/13/21 09:25:50 PM,15.7066,74.791
32,09/13/21 09:40:50 PM,15.7082,74.791
33,09/13/21 09:55:50 PM,15.7145,74.791
34,09/13/21 10:10:50 PM,15.7130,74.791
35,09/13/21 10:25:50 PM,15.7145,74.791
36,09/13/21 10:40:50 PM,15.7161,74.791
37,09/13/21 10:55:50 PM,15.7177,74.791
38,09/13/21 11:10:50 PM,15.7198,74.964
39,09/13/21 11:25:50 PM,15.7182,74.964
40,09/13/21 11:40:50 PM,15.7182,74.964
41,09/13/21 11:55:50 PM,15.7150,74.964
42,09/14/21 12:10:50 AM,15.7150,74.964
43,09/14/21 12:25:50 AM,15.7102,74.964
44,09/14/21 12:40:50 AM,15.7086,74.964
45,09/14/21 12:55:50 AM,15.7038,74.964
46,09/14/21 01:10:50 AM,15.6990,74.964
47,09/14/21 01:25:50 AM,15.6958,74.964
48,09/14/21 01:40:50 AM,15.6942,74.964
49,09/14/21 01:55:50 AM,15.6911,74.964
50,09/14/21 02:10:50 AM,15.6893,74.964
51,09/14/21 02:25:50 AM,15.6893,74.964
52,09/14/21 02:40:50 AM,15.6845,74.964
53,09/14/21 02:55:50 AM,15.6861,74.964
54,09/14/21 03:10:50 AM,15.6861,74.964
55,09/14/21 03:25:50 AM,15.6829,74.964
56,09/14/21 03:40:50 AM,15.6797,74.964
57,09/14/21 03:55:50 AM,15.6813,74.964
58,09/14/21 04:10:50 AM,15.6797,74.964
59,09/14/21 04:25:50 AM,15.6781,74.964
60,09/14/21 04:40:50 AM,15.6765,74.964
61,09/14/21 04:55:50 AM,15.6781,74.964
62,09/14/21 05:10:50 AM,15.6781,74.964
63,09/14/21 05:25:50 AM,15.6793,74.791
64,09/14/21 05:40:50 AM,15.6793,74.791
65,09/14/21 05:55:50 AM,15.6793,74.791
66,09/14/21 06:10:50 AM,15.6825,74.791
67,09/14/21 06:25:50 AM,15.6825,74.791
68,09/14/21 06:40:50 AM,15.6821,74.619
69,09/14/21 06:55:50 AM,15.6868,74.619
70,09/14/21 07:10:50 AM,15.6918,74.619
71,09/14/21 07:25:50 AM,15.6918,74.619
72,09/14/21 07:40:50 AM,15.6934,74.619
73,09/14/21 07:55:50 AM,15.6961,74.446
74,09/14/21 08:10:50 AM,15.6929,74.446
75,09/14/21 08:25:50 AM,15.6961,74.446
76,09/14/21 08:40:50 AM,15.6961,74.446
77,09/14/21 08:55:50 AM,15.6961,74.446
78,09/14/21 09:10:50 AM,15.6993,74.446
79,09/14/21 09:25:50 AM,15.6973,74.271
80,09/14/21 09:40:50 AM,15.7021,74.271
81,09/14/21 09:55:50 AM,15.6989,74.271
82,09/14/21 10:10:50 AM,15.6989,74.271
83,09/14/21 10:25:50 AM,15.6989,74.271
84,09/14/21 10:40:50 AM,15.6993,74.446
85,09/14/21 10:55:50 AM,15.7009,74.446
86,09/14/21 11:10:50 AM,15.6993,74.446
87,09/14/21 11:25:50 AM,15.6977,74.446
