"Plot Title: Bradford_5LL"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248124, SEN S/N: 21248124)","Temp, °F (LGR S/N: 21248124, SEN S/N: 21248124)"
1,11/01/23 10:00:00 AM,15.5473,69.449
2,11/01/23 11:00:00 AM,15.5485,69.278
3,11/01/23 12:00:00 PM,15.5454,69.278
4,11/01/23 01:00:00 PM,15.5333,69.278
5,11/01/23 02:00:00 PM,15.5253,69.107
6,11/01/23 03:00:00 PM,15.5298,69.107
7,11/01/23 04:00:00 PM,15.5359,69.107
8,11/01/23 05:00:00 PM,15.5401,68.934
9,11/01/23 06:00:00 PM,15.5552,68.934
10,11/01/23 07:00:00 PM,15.5715,68.763
11,11/01/23 08:00:00 PM,15.5836,68.763
12,11/01/23 09:00:00 PM,15.5939,68.592
13,11/01/23 10:00:00 PM,15.5995,68.421
14,11/01/23 11:00:00 PM,15.6040,68.421
15,11/02/23 12:00:00 AM,15.6066,68.248
16,11/02/23 01:00:00 AM,15.6108,68.077
17,11/02/23 02:00:00 AM,15.6059,67.906
18,11/02/23 03:00:00 AM,15.6040,67.735
19,11/02/23 04:00:00 AM,15.6050,67.564
20,11/02/23 05:00:00 AM,15.6108,67.392
21,11/02/23 06:00:00 AM,15.6149,67.221
22,11/02/23 07:00:00 AM,15.6267,67.050
23,11/02/23 08:00:00 AM,15.6349,66.708
24,11/02/23 09:00:00 AM,15.6396,66.708
25,11/02/23 10:00:00 AM,15.6391,66.537
26,11/02/23 11:00:00 AM,15.6387,66.366
27,11/02/23 12:00:00 PM,15.6312,66.366
28,11/02/23 01:00:00 PM,15.6187,66.193
29,11/02/23 02:00:00 PM,15.6081,66.193
30,11/02/23 03:00:00 PM,15.6081,66.193
31,11/02/23 04:00:00 PM,15.6065,66.193
32,11/02/23 05:00:00 PM,15.6095,66.193
33,11/02/23 06:00:00 PM,15.6156,66.193
34,11/02/23 07:00:00 PM,15.6232,66.193
35,11/02/23 08:00:00 PM,15.6277,66.193
36,11/02/23 09:00:00 PM,15.6277,66.193
37,11/02/23 10:00:00 PM,15.6319,66.022
38,11/02/23 11:00:00 PM,15.6288,66.022
39,11/03/23 12:00:00 AM,15.6258,66.022
40,11/03/23 01:00:00 AM,15.6178,65.851
41,11/03/23 02:00:00 AM,15.6103,65.851
42,11/03/23 03:00:00 AM,15.6053,65.680
43,11/03/23 04:00:00 AM,15.6084,65.680
44,11/03/23 05:00:00 AM,15.6084,65.680
45,11/03/23 06:00:00 AM,15.6140,65.509
46,11/03/23 07:00:00 AM,15.6155,65.509
47,11/03/23 08:00:00 AM,15.6262,65.509
48,11/03/23 09:00:00 AM,15.6272,65.338
49,11/03/23 10:00:00 AM,15.6288,65.338
50,11/03/23 11:00:00 AM,15.6258,65.338
51,11/03/23 12:00:00 PM,15.6075,65.338
52,11/03/23 01:00:00 PM,15.5939,65.338
53,11/03/23 02:00:00 PM,15.5856,65.680
54,11/03/23 03:00:00 PM,15.5872,65.680
55,11/03/23 04:00:00 PM,15.5887,65.680
56,11/03/23 05:00:00 PM,15.5860,65.851
57,11/03/23 06:00:00 PM,15.5905,65.851
58,11/03/23 07:00:00 PM,15.5936,65.851
59,11/03/23 08:00:00 PM,15.5950,65.851
60,11/03/23 09:00:00 PM,15.5955,66.022
61,11/03/23 10:00:00 PM,15.5985,66.022
62,11/03/23 11:00:00 PM,15.5940,66.022
63,11/04/23 12:00:00 AM,15.5879,66.022
64,11/04/23 01:00:00 AM,15.5818,66.022
65,11/04/23 02:00:00 AM,15.5727,66.022
66,11/04/23 03:00:00 AM,15.5610,66.193
67,11/04/23 04:00:00 AM,15.5610,66.193
68,11/04/23 05:00:00 AM,15.5610,66.193
69,11/04/23 06:00:00 AM,15.5668,66.022
70,11/04/23 07:00:00 AM,15.5697,66.022
71,11/04/23 08:00:00 AM,15.5804,66.022
72,11/04/23 09:00:00 AM,15.5773,66.022
73,11/04/23 10:00:00 AM,15.5804,66.022
74,11/04/23 11:00:00 AM,15.5773,66.022
75,11/04/23 12:00:00 PM,15.5576,66.022
76,11/04/23 01:00:00 PM,15.5409,66.022
77,11/04/23 02:00:00 PM,15.5228,66.022
78,11/04/23 03:00:00 PM,15.5137,66.022
79,11/04/23 04:00:00 PM,15.5121,66.022
80,11/04/23 05:00:00 PM,15.5076,66.022
81,11/04/23 06:00:00 PM,15.5061,66.022
82,11/04/23 07:00:00 PM,15.5061,66.022
83,11/04/23 08:00:00 PM,15.5137,66.022
84,11/04/23 09:00:00 PM,15.5121,66.022
85,11/04/23 10:00:00 PM,15.5121,66.022
86,11/04/23 11:00:00 PM,15.5137,66.022
87,11/05/23 12:00:00 AM,15.5090,66.022
88,11/05/23 01:00:00 AM,15.5061,66.022
