"Plot Title: Bradford_5con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 10778436, SEN S/N: 10778436)","Temp, °F (LGR S/N: 10778436, SEN S/N: 10778436)"
1,02/02/23 02:30:00 PM,57.2,69.35
2,02/02/23 02:45:00 PM,59.5,69.46
3,02/02/23 03:00:00 PM,59.5,69.75
4,02/02/23 03:15:00 PM,59.9,69.85
5,02/02/23 03:30:00 PM,59.1,69.98
6,02/02/23 03:45:00 PM,58.8,69.91
7,02/02/23 04:00:00 PM,58.4,69.69
8,02/02/23 04:15:00 PM,58.4,69.73
9,02/02/23 04:30:00 PM,58.8,69.62
10,02/02/23 04:45:00 PM,59.2,69.58
11,02/02/23 05:00:00 PM,58.8,69.51
12,02/02/23 05:15:00 PM,58.4,69.42
13,02/02/23 05:30:00 PM,58.8,69.31
14,02/02/23 05:45:00 PM,58.4,69.19
15,02/02/23 06:00:00 PM,58.4,69.08
16,02/02/23 06:15:00 PM,58.4,68.95
17,02/02/23 06:30:00 PM,58.4,68.88
18,02/02/23 06:45:00 PM,58.4,68.79
19,02/02/23 07:00:00 PM,58.4,68.72
20,02/02/23 07:15:00 PM,58.8,68.63
21,02/02/23 07:30:00 PM,58.4,68.56
22,02/02/23 07:45:00 PM,58.4,68.45
23,02/02/23 08:00:00 PM,58.1,68.36
24,02/02/23 08:15:00 PM,58.1,68.23
25,02/02/23 08:30:00 PM,57.7,68.14
26,02/02/23 08:45:00 PM,58.1,68.04
27,02/02/23 09:00:00 PM,58.1,67.95
28,02/02/23 09:15:00 PM,58.1,67.87
29,02/02/23 09:30:00 PM,57.7,67.75
30,02/02/23 09:45:00 PM,57.7,67.69
31,02/02/23 10:00:00 PM,57.7,67.59
32,02/02/23 10:15:00 PM,57.3,67.55
33,02/02/23 10:30:00 PM,56.9,67.46
34,02/02/23 10:45:00 PM,56.9,67.42
35,02/02/23 11:00:00 PM,56.9,67.39
36,02/02/23 11:15:00 PM,56.9,67.37
37,02/02/23 11:30:00 PM,56.9,67.32
38,02/02/23 11:45:00 PM,56.6,67.30
39,02/03/23 12:00:00 AM,56.6,67.21
40,02/03/23 12:15:00 AM,56.6,67.15
41,02/03/23 12:30:00 AM,56.9,67.12
42,02/03/23 12:45:00 AM,56.9,67.06
43,02/03/23 01:00:00 AM,56.6,67.06
44,02/03/23 01:15:00 AM,56.6,67.06
45,02/03/23 01:30:00 AM,56.9,67.06
46,02/03/23 01:45:00 AM,56.9,67.05
47,02/03/23 02:00:00 AM,56.9,67.05
48,02/03/23 02:15:00 AM,56.6,67.01
49,02/03/23 02:30:00 AM,56.9,67.01
50,02/03/23 02:45:00 AM,56.9,67.05
51,02/03/23 03:00:00 AM,56.6,67.05
52,02/03/23 03:15:00 AM,56.6,67.06
53,02/03/23 03:30:00 AM,56.9,67.06
54,02/03/23 03:45:00 AM,56.6,67.06
55,02/03/23 04:00:00 AM,56.9,67.08
56,02/03/23 04:15:00 AM,56.9,67.08
57,02/03/23 04:30:00 AM,56.9,67.06
58,02/03/23 04:45:00 AM,56.9,67.06
59,02/03/23 05:00:00 AM,56.9,67.05
60,02/03/23 05:15:00 AM,56.9,67.01
61,02/03/23 05:30:00 AM,56.9,67.01
62,02/03/23 05:45:00 AM,56.9,66.97
63,02/03/23 06:00:00 AM,56.9,66.99
64,02/03/23 06:15:00 AM,56.9,67.01
65,02/03/23 06:30:00 AM,56.9,66.99
66,02/03/23 06:45:00 AM,56.6,66.99
67,02/03/23 07:00:00 AM,56.9,66.99
68,02/03/23 07:15:00 AM,55.0,66.85
69,02/03/23 07:30:00 AM,54.3,66.58
70,02/03/23 07:45:00 AM,59.3,66.43
71,02/03/23 08:00:00 AM,56.6,66.31
72,02/03/23 08:15:00 AM,53.1,66.11
73,02/03/23 08:30:00 AM,51.6,65.91
74,02/03/23 08:45:00 AM,50.5,65.68
75,02/03/23 09:00:00 AM,51.2,65.50
76,02/03/23 09:15:00 AM,51.2,65.37
77,02/03/23 09:30:00 AM,50.5,65.25
78,02/03/23 09:45:00 AM,50.9,65.17
79,02/03/23 10:00:00 AM,50.1,65.01
80,02/03/23 10:15:00 AM,49.7,64.89
81,02/03/23 10:30:00 AM,50.1,64.72
82,02/03/23 10:45:00 AM,50.1,64.62
83,02/03/23 11:00:00 AM,50.5,64.45
84,02/03/23 11:15:00 AM,50.9,64.36
85,02/03/23 11:30:00 AM,50.9,64.13
86,02/03/23 11:45:00 AM,50.9,63.99
87,02/03/23 12:00:00 PM,50.9,63.84
88,02/03/23 12:15:00 PM,50.9,63.75
89,02/03/23 12:30:00 PM,50.9,63.73
90,02/03/23 12:45:00 PM,51.3,63.68
91,02/03/23 01:00:00 PM,51.3,63.81
92,02/03/23 01:15:00 PM,51.3,63.88
93,02/03/23 01:30:00 PM,51.3,63.88
94,02/03/23 01:45:00 PM,51.7,63.84
95,02/03/23 02:00:00 PM,51.3,63.81
96,02/03/23 02:15:00 PM,51.3,63.75
97,02/03/23 02:30:00 PM,51.7,63.75
98,02/03/23 02:45:00 PM,51.7,63.75
99,02/03/23 03:00:00 PM,52.0,63.82
100,02/03/23 03:15:00 PM,53.2,63.91
101,02/03/23 03:30:00 PM,52.8,63.95
102,02/03/23 03:45:00 PM,54.0,63.90
103,02/03/23 04:00:00 PM,54.4,63.91
104,02/03/23 04:15:00 PM,55.5,63.90
105,02/03/23 04:30:00 PM,55.9,63.82
106,02/03/23 04:45:00 PM,57.1,63.73
107,02/03/23 05:00:00 PM,57.8,63.63
108,02/03/23 05:15:00 PM,58.2,63.50
109,02/03/23 05:30:00 PM,62.5,63.36
