"Plot Title: Bradford_5aLL"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 20501581, SEN S/N: 20501581)","Temp, °F (LGR S/N: 20501581, SEN S/N: 20501581)"
1,11/01/23 10:00:00 AM,15.8787,67.564
2,11/01/23 11:00:00 AM,15.8750,67.050
3,11/01/23 12:00:00 PM,15.8735,67.050
4,11/01/23 01:00:00 PM,15.8589,67.050
5,11/01/23 02:00:00 PM,15.8531,67.050
6,11/01/23 03:00:00 PM,15.8531,67.050
7,11/01/23 04:00:00 PM,15.8634,67.050
8,11/01/23 05:00:00 PM,15.8718,66.879
9,11/01/23 06:00:00 PM,15.8864,66.879
10,11/01/23 07:00:00 PM,15.9021,66.708
11,11/01/23 08:00:00 PM,15.9150,66.537
12,11/01/23 09:00:00 PM,15.9249,66.366
13,11/01/23 10:00:00 PM,15.9260,66.193
14,11/01/23 11:00:00 PM,15.9331,66.022
15,11/02/23 12:00:00 AM,15.9296,65.680
16,11/02/23 01:00:00 AM,15.9293,65.509
17,11/02/23 02:00:00 AM,15.9259,65.167
18,11/02/23 03:00:00 AM,15.9241,64.996
19,11/02/23 04:00:00 AM,15.9264,64.652
20,11/02/23 05:00:00 AM,15.9305,64.481
21,11/02/23 06:00:00 AM,15.9373,64.139
22,11/02/23 07:00:00 AM,15.9443,63.968
23,11/02/23 08:00:00 AM,15.9527,63.797
24,11/02/23 09:00:00 AM,15.9555,63.626
25,11/02/23 10:00:00 AM,15.9555,63.626
26,11/02/23 11:00:00 AM,15.9524,63.626
27,11/02/23 12:00:00 PM,15.9481,63.626
28,11/02/23 01:00:00 PM,15.9367,63.797
29,11/02/23 02:00:00 PM,15.9253,63.968
30,11/02/23 03:00:00 PM,15.9299,64.139
31,11/02/23 04:00:00 PM,15.9244,64.310
32,11/02/23 05:00:00 PM,15.9288,64.310
33,11/02/23 06:00:00 PM,15.9363,64.481
34,11/02/23 07:00:00 PM,15.9408,64.481
35,11/02/23 08:00:00 PM,15.9495,64.481
36,11/02/23 09:00:00 PM,15.9454,64.652
37,11/02/23 10:00:00 PM,15.9510,64.481
38,11/02/23 11:00:00 PM,15.9452,64.481
39,11/03/23 12:00:00 AM,15.9423,64.481
40,11/03/23 01:00:00 AM,15.9360,64.310
41,11/03/23 02:00:00 AM,15.9273,64.310
42,11/03/23 03:00:00 AM,15.9215,64.310
43,11/03/23 04:00:00 AM,15.9256,64.139
44,11/03/23 05:00:00 AM,15.9227,64.139
45,11/03/23 06:00:00 AM,15.9282,63.968
46,11/03/23 07:00:00 AM,15.9296,63.968
47,11/03/23 08:00:00 AM,15.9367,63.797
48,11/03/23 09:00:00 AM,15.9367,63.797
49,11/03/23 10:00:00 AM,15.9396,63.797
50,11/03/23 11:00:00 AM,15.9356,63.968
51,11/03/23 12:00:00 PM,15.9209,63.968
52,11/03/23 01:00:00 PM,15.9066,64.139
53,11/03/23 02:00:00 PM,15.8979,64.139
54,11/03/23 03:00:00 PM,15.8982,64.310
55,11/03/23 04:00:00 PM,15.9014,64.481
56,11/03/23 05:00:00 PM,15.8985,64.481
57,11/03/23 06:00:00 PM,15.9043,64.481
58,11/03/23 07:00:00 PM,15.9074,64.652
59,11/03/23 08:00:00 PM,15.9089,64.652
60,11/03/23 09:00:00 PM,15.9060,64.652
61,11/03/23 10:00:00 PM,15.9074,64.652
62,11/03/23 11:00:00 PM,15.9034,64.825
63,11/04/23 12:00:00 AM,15.8961,64.825
64,11/04/23 01:00:00 AM,15.8929,64.652
65,11/04/23 02:00:00 AM,15.8841,64.652
66,11/04/23 03:00:00 AM,15.8710,64.652
67,11/04/23 04:00:00 AM,15.8693,64.481
68,11/04/23 05:00:00 AM,15.8664,64.481
69,11/04/23 06:00:00 AM,15.8708,64.481
70,11/04/23 07:00:00 AM,15.8748,64.310
71,11/04/23 08:00:00 AM,15.8850,64.310
72,11/04/23 09:00:00 AM,15.8832,64.139
73,11/04/23 10:00:00 AM,15.8818,64.139
74,11/04/23 11:00:00 AM,15.8777,64.310
75,11/04/23 12:00:00 PM,15.8647,64.310
76,11/04/23 01:00:00 PM,15.8486,64.310
77,11/04/23 02:00:00 PM,15.8313,64.481
78,11/04/23 03:00:00 PM,15.8226,64.481
79,11/04/23 04:00:00 PM,15.8197,64.481
80,11/04/23 05:00:00 PM,15.8200,64.652
81,11/04/23 06:00:00 PM,15.8185,64.652
82,11/04/23 07:00:00 PM,15.8185,64.652
83,11/04/23 08:00:00 PM,15.8258,64.652
84,11/04/23 09:00:00 PM,15.8243,64.652
85,11/04/23 10:00:00 PM,15.8255,64.481
86,11/04/23 11:00:00 PM,15.8226,64.481
87,11/05/23 12:00:00 AM,15.8165,64.310
88,11/05/23 01:00:00 AM,15.8148,64.139
89,11/05/23 02:00:00 AM,15.8056,63.968
90,11/05/23 03:00:00 AM,15.7995,63.797
91,11/05/23 04:00:00 AM,15.7993,63.626
92,11/05/23 05:00:00 AM,15.8035,63.455
93,11/05/23 06:00:00 AM,15.8046,63.282
94,11/05/23 07:00:00 AM,15.8159,63.111
95,11/05/23 08:00:00 AM,15.8233,63.111
96,11/05/23 09:00:00 AM,15.8288,62.940
97,11/05/23 10:00:00 AM,15.8216,62.940
98,11/05/23 11:00:00 AM,15.8130,63.111
99,11/05/23 12:00:00 PM,15.7955,63.111
100,11/05/23 01:00:00 PM,15.7784,63.282
101,11/05/23 02:00:00 PM,15.7669,63.455
102,11/05/23 03:00:00 PM,15.7597,63.455
103,11/05/23 04:00:00 PM,15.7599,63.626
104,11/05/23 05:00:00 PM,15.7585,63.626
105,11/05/23 06:00:00 PM,15.7602,63.797
106,11/05/23 07:00:00 PM,15.7704,63.797
107,11/05/23 08:00:00 PM,15.7718,63.797
108,11/05/23 09:00:00 PM,15.7821,63.797
109,11/05/23 10:00:00 PM,15.7862,63.626
110,11/05/23 11:00:00 PM,15.7859,63.455
111,11/06/23 12:00:00 AM,15.7885,63.282
112,11/06/23 01:00:00 AM,15.7868,63.111
113,11/06/23 02:00:00 AM,15.7824,63.111
114,11/06/23 03:00:00 AM,15.7792,62.940
115,11/06/23 04:00:00 AM,15.7772,62.598
116,11/06/23 05:00:00 AM,15.7830,62.598
117,11/06/23 06:00:00 AM,15.7827,62.425
118,11/06/23 07:00:00 AM,15.7898,62.254
119,11/06/23 08:00:00 AM,15.7953,62.083
