"Plot Title: Bradford_6cond"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondLo)","Full Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondHi)","Temp, °F (LGR S/N: 10757733, SEN S/N: 10757733, LBL: Temp)"
1,09/28/23 03:00:00 PM,105.2,76.3,91.71
2,09/28/23 04:00:00 PM,104.4,75.9,91.71
3,09/28/23 05:00:00 PM,104.4,75.6,91.65
4,09/28/23 06:00:00 PM,104.2,75.6,91.56
5,09/28/23 07:00:00 PM,104.0,75.6,91.47
6,09/28/23 08:00:00 PM,103.8,75.6,91.38
7,09/28/23 09:00:00 PM,103.6,75.2,91.33
8,09/28/23 10:00:00 PM,103.4,75.2,91.26
9,09/28/23 11:00:00 PM,103.2,74.9,91.17
10,09/29/23 12:00:00 AM,102.9,74.9,91.13
11,09/29/23 01:00:00 AM,102.8,74.5,91.06
12,09/29/23 02:00:00 AM,102.6,74.2,90.97
13,09/29/23 03:00:00 AM,102.6,74.5,90.91
14,09/29/23 04:00:00 AM,102.3,74.2,90.90
15,09/29/23 05:00:00 AM,102.2,74.2,90.86
16,09/29/23 06:00:00 AM,102.2,74.2,90.82
17,09/29/23 07:00:00 AM,102.1,74.2,90.79
18,09/29/23 08:00:00 AM,102.1,74.2,90.82
19,09/29/23 09:00:00 AM,102.4,74.2,90.91
20,09/29/23 10:00:00 AM,102.7,74.5,91.08
21,09/29/23 11:00:00 AM,103.5,75.2,91.36
22,09/29/23 12:00:00 PM,104.2,75.9,91.65
23,09/29/23 01:00:00 PM,104.8,75.9,91.85
24,09/29/23 02:00:00 PM,105.4,76.3,92.03
25,09/29/23 03:00:00 PM,106.0,77.0,92.19
26,09/29/23 04:00:00 PM,106.0,77.0,92.16
27,09/29/23 05:00:00 PM,105.9,77.0,92.05
28,09/29/23 06:00:00 PM,105.8,76.6,91.94
29,09/29/23 07:00:00 PM,105.5,76.3,91.85
30,09/29/23 08:00:00 PM,113.2,82.8,91.71
31,09/29/23 09:00:00 PM,104.9,76.3,91.63
32,09/29/23 10:00:00 PM,104.7,75.9,91.54
