"Plot Title: Bradford_1"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776674, SEN S/N: 10776674)","Temp, °F (LGR S/N: 10776674, SEN S/N: 10776674)","Coupler Detached (LGR S/N: 10776674, SEN S/N: 10776674)","Coupler Attached (LGR S/N: 10776674, SEN S/N: 10776674)","Stopped (LGR S/N: 10776674, SEN S/N: 10776674)","End Of File (LGR S/N: 10776674, SEN S/N: 10776674)"
1,06/21/22 03:45:00 PM,15.0741,78.449,Logged,,,
2,06/21/22 04:00:00 PM,15.0726,78.449,,,,
3,06/21/22 04:15:00 PM,15.0680,78.449,,,,
4,06/21/22 04:30:00 PM,15.0633,78.449,,,,
5,06/21/22 04:45:00 PM,15.0587,78.449,,,,
6,06/21/22 05:00:00 PM,15.0603,78.449,,,,
7,06/21/22 05:15:00 PM,15.0556,78.449,,,,
8,06/21/22 05:30:00 PM,15.0525,78.449,,,,
9,06/21/22 05:45:00 PM,15.0494,78.449,,,,
10,06/21/22 06:00:00 PM,15.0464,78.449,,,,
11,06/21/22 06:15:00 PM,15.0478,78.449,,,,
12,06/21/22 06:30:00 PM,15.0448,78.449,,,,
13,06/21/22 06:45:00 PM,15.0448,78.449,,,,
14,06/21/22 07:00:00 PM,15.0417,78.449,,,,
15,06/21/22 07:15:00 PM,15.0417,78.449,,,,
16,06/21/22 07:30:00 PM,15.0464,78.449,,,,
17,06/21/22 07:45:00 PM,15.0448,78.449,,,,
18,06/21/22 08:00:00 PM,15.0432,78.449,,,,
19,06/21/22 08:15:00 PM,15.0464,78.449,,,,
20,06/21/22 08:30:00 PM,15.0478,78.449,,,,
21,06/21/22 08:45:00 PM,15.0474,78.274,,,,
22,06/21/22 09:00:00 PM,15.0458,78.274,,,,
23,06/21/22 09:15:00 PM,15.0443,78.274,,,,
24,06/21/22 09:30:00 PM,15.0458,78.274,,,,
25,06/21/22 09:45:00 PM,15.0458,78.274,,,,
26,06/21/22 10:00:00 PM,15.0453,78.098,,,,
27,06/21/22 10:15:00 PM,15.0500,78.098,,,,
28,06/21/22 10:30:00 PM,15.0530,78.098,,,,
29,06/21/22 10:45:00 PM,15.0561,78.098,,,,
30,06/21/22 11:00:00 PM,15.0561,78.098,,,,
31,06/21/22 11:15:00 PM,15.0556,77.923,,,,
32,06/21/22 11:30:00 PM,15.0556,77.923,,,,
33,06/21/22 11:45:00 PM,15.0525,77.923,,,,
34,06/22/22 12:00:00 AM,15.0520,77.749,,,,
35,06/22/22 12:15:00 AM,15.0504,77.749,,,,
36,06/22/22 12:30:00 AM,15.0474,77.749,,,,
37,06/22/22 12:45:00 AM,15.0504,77.749,,,,
38,06/22/22 01:00:00 AM,15.0484,77.574,,,,
39,06/22/22 01:15:00 AM,15.0468,77.574,,,,
40,06/22/22 01:30:00 AM,15.0484,77.574,,,,
41,06/22/22 01:45:00 AM,15.0494,77.400,,,,
42,06/22/22 02:00:00 AM,15.0464,77.400,,,,
43,06/22/22 02:15:00 AM,15.0478,77.400,,,,
44,06/22/22 02:30:00 AM,15.0443,77.225,,,,
45,06/22/22 02:45:00 AM,15.0411,77.225,,,,
46,06/22/22 03:00:00 AM,15.0397,77.225,,,,
47,06/22/22 03:15:00 AM,15.0397,77.225,,,,
48,06/22/22 03:30:00 AM,15.0377,77.050,,,,
49,06/22/22 03:45:00 AM,15.0330,77.050,,,,
50,06/22/22 04:00:00 AM,15.0314,77.050,,,,
51,06/22/22 04:15:00 AM,15.0324,76.876,,,,
52,06/22/22 04:30:00 AM,15.0308,76.876,,,,
53,06/22/22 04:45:00 AM,15.0294,76.876,,,,
54,06/22/22 05:00:00 AM,15.0274,76.703,,,,
55,06/22/22 05:15:00 AM,15.0304,76.703,,,,
56,06/22/22 05:30:00 AM,15.0268,76.528,,,,
57,06/22/22 05:45:00 AM,15.0284,76.528,,,,
58,06/22/22 06:00:00 AM,15.0298,76.528,,,,
59,06/22/22 06:15:00 AM,15.0298,76.528,,,,
60,06/22/22 06:30:00 AM,15.0310,76.354,,,,
61,06/22/22 06:45:00 AM,15.0294,76.354,,,,
62,06/22/22 07:00:00 AM,15.0355,76.354,,,,
63,06/22/22 07:15:00 AM,15.0335,76.181,,,,
64,06/22/22 07:30:00 AM,15.0350,76.181,,,,
65,06/22/22 07:45:00 AM,15.0350,76.181,,,,
66,06/22/22 08:00:00 AM,15.0381,76.181,,,,
67,06/22/22 08:15:00 AM,15.0366,76.181,,,,
68,06/22/22 08:30:00 AM,15.0361,76.006,,,,
