"Plot Title: Bradford_1"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776674, SEN S/N: 10776674)","Temp, °F (LGR S/N: 10776674, SEN S/N: 10776674)","Coupler Detached (LGR S/N: 10776674)","Coupler Attached (LGR S/N: 10776674)","Stopped (LGR S/N: 10776674)","End Of File (LGR S/N: 10776674)"
1,04/16/21 11:00:00 AM,14.6513,77.225,Logged,,,
2,04/16/21 11:15:00 AM,14.6066,77.225,,,,
3,04/16/21 11:30:00 AM,14.6157,77.225,,,,
4,04/16/21 11:45:00 AM,14.6214,77.050,,,,
5,04/16/21 12:00:00 PM,14.6265,77.749,,,,
6,04/16/21 12:15:00 PM,14.6213,80.735,,,,
7,04/16/21 12:30:00 PM,15.4900,69.793,,,,
8,04/16/21 12:45:00 PM,15.4665,67.050,,,,
9,04/16/21 01:00:00 PM,15.4655,66.708,,,,
10,04/16/21 01:15:00 PM,15.4728,66.537,,,,
11,04/16/21 01:30:00 PM,15.4697,66.537,,,,
12,04/16/21 01:45:00 PM,15.4588,66.537,,,,
13,04/16/21 02:00:00 PM,15.4604,66.537,,,,
14,04/16/21 02:15:00 PM,15.4665,66.537,,,,
15,04/16/21 02:30:00 PM,15.4604,66.537,,,,
16,04/16/21 02:45:00 PM,15.4558,66.537,,,,
17,04/16/21 03:00:00 PM,15.4542,66.537,,,,
18,04/16/21 03:15:00 PM,15.4449,66.537,,,,
19,04/16/21 03:30:00 PM,15.4481,66.537,,,,
20,04/16/21 03:45:00 PM,15.4496,66.537,,,,
21,04/16/21 04:00:00 PM,15.4512,66.537,,,,
22,04/16/21 04:15:00 PM,15.4542,66.537,,,,
23,04/16/21 04:30:00 PM,15.4558,66.537,,,,
24,04/16/21 04:45:00 PM,15.4651,66.537,,,,
25,04/16/21 05:00:00 PM,15.4604,66.537,,,,
26,04/16/21 05:15:00 PM,15.4542,66.537,,,,
27,04/16/21 05:30:00 PM,15.4496,66.537,,,,
28,04/16/21 05:45:00 PM,15.4574,66.537,,,,
29,04/16/21 06:00:00 PM,15.4758,66.537,,,,
30,04/16/21 06:15:00 PM,15.4722,66.366,,,,
31,04/16/21 06:30:00 PM,15.4738,66.366,,,,
32,04/16/21 06:45:00 PM,15.4847,66.366,,,,
33,04/16/21 07:00:00 PM,15.4768,66.366,,,,
34,04/16/21 07:15:00 PM,15.4738,66.366,,,,
35,04/16/21 07:30:00 PM,15.4754,66.366,,,,
36,04/16/21 07:45:00 PM,15.4815,66.366,,,,
37,04/16/21 08:00:00 PM,15.4800,66.366,,,,
38,04/16/21 08:15:00 PM,15.4847,66.366,,,,
39,04/16/21 08:30:00 PM,15.4877,66.366,,,,
40,04/16/21 08:45:00 PM,15.4861,66.366,,,,
41,04/16/21 09:00:00 PM,15.4938,66.366,,,,
42,04/16/21 09:15:00 PM,15.4964,66.193,,,,
43,04/16/21 09:30:00 PM,15.5026,66.193,,,,
44,04/16/21 09:45:00 PM,15.5041,66.193,,,,
45,04/16/21 10:00:00 PM,15.5026,66.193,,,,
46,04/16/21 10:15:00 PM,15.5073,66.193,,,,
47,04/16/21 10:30:00 PM,15.5073,66.193,,,,
48,04/16/21 10:45:00 PM,15.5041,66.193,,,,
49,04/16/21 11:00:00 PM,15.5073,66.193,,,,
50,04/16/21 11:15:00 PM,15.5073,66.193,,,,
51,04/16/21 11:30:00 PM,15.5150,66.193,,,,
52,04/16/21 11:45:00 PM,15.5134,66.193,,,,
53,04/17/21 12:00:00 AM,15.5196,66.193,,,,
54,04/17/21 12:15:00 AM,15.5180,66.193,,,,
55,04/17/21 12:30:00 AM,15.5257,66.193,,,,
56,04/17/21 12:45:00 AM,15.5237,66.022,,,,
57,04/17/21 01:00:00 AM,15.5222,66.022,,,,
58,04/17/21 01:15:00 AM,15.5237,66.022,,,,
59,04/17/21 01:30:00 AM,15.5176,66.022,,,,
60,04/17/21 01:45:00 AM,15.5206,66.022,,,,
61,04/17/21 02:00:00 AM,15.5144,66.022,,,,
62,04/17/21 02:15:00 AM,15.5114,66.022,,,,
63,04/17/21 02:30:00 AM,15.5222,66.022,,,,
64,04/17/21 02:45:00 AM,15.5083,66.022,,,,
65,04/17/21 03:00:00 AM,15.5109,65.851,,,,
66,04/17/21 03:15:00 AM,15.5140,65.851,,,,
67,04/17/21 03:30:00 AM,15.5156,65.851,,,,
68,04/17/21 03:45:00 AM,15.5247,65.851,,,,
69,04/17/21 04:00:00 AM,15.5309,65.851,,,,
70,04/17/21 04:15:00 AM,15.5325,65.851,,,,
71,04/17/21 04:30:00 AM,15.5340,65.851,,,,
72,04/17/21 04:45:00 AM,15.5356,65.851,,,,
73,04/17/21 05:00:00 AM,15.5372,65.851,,,,
74,04/17/21 05:15:00 AM,15.5463,65.851,,,,
75,04/17/21 05:30:00 AM,15.5428,65.680,,,,
76,04/17/21 05:45:00 AM,15.5412,65.680,,,,
77,04/17/21 06:00:00 AM,15.5335,65.680,,,,
78,04/17/21 06:15:00 AM,15.5428,65.680,,,,
79,04/17/21 06:30:00 AM,15.5428,65.680,,,,
80,04/17/21 06:45:00 AM,15.5644,65.680,,,,
81,04/17/21 07:00:00 AM,15.5644,65.680,,,,
82,04/17/21 07:15:00 AM,15.5485,65.509,,,,
