"Plot Title: DG3"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342066, SEN S/N: 20342066)","Full Range, μS/cm (LGR S/N: 20342066, SEN S/N: 20342066)","Temp, °F (LGR S/N: 20342066, SEN S/N: 20342066)","Coupler Detached (LGR S/N: 20342066, SEN S/N: 20342066)","Coupler Attached (LGR S/N: 20342066, SEN S/N: 20342066)","Stopped (LGR S/N: 20342066, SEN S/N: 20342066)","End Of File (LGR S/N: 20342066, SEN S/N: 20342066)"
1,04/16/25 09:00:00 AM,0.5,-1.3,61.99,Logged,,,
2,04/16/25 10:00:00 AM,0.6,-1.3,65.75,,,,
3,04/16/25 11:00:00 AM,0.6,-1.3,67.48,,,,
4,04/16/25 12:00:00 PM,0.6,-1.3,72.95,,,,
5,04/16/25 01:00:00 PM,0.6,-1.3,72.39,,,,
6,04/16/25 02:00:00 PM,0.5,-1.3,71.96,,,,
7,04/16/25 03:00:00 PM,0.6,-1.3,72.30,,,,
8,04/16/25 04:00:00 PM,0.6,-1.3,71.64,,,,
9,04/16/25 05:00:00 PM,0.5,-1.3,72.28,,,,
10,04/16/25 06:00:00 PM,16.7,16.3,67.44,,,,
11,04/16/25 07:00:00 PM,1.9,16.4,62.69,,,,
12,04/16/25 08:00:00 PM,0.2,4.6,58.84,,,,
13,04/16/25 09:00:00 PM,0.0,-3.1,56.57,,,,
14,04/16/25 10:00:00 PM,-0.0,4.7,55.06,,,,
15,04/16/25 11:00:00 PM,0.2,-4.6,53.35,,,,
16,04/17/25 12:00:00 AM,0.6,-4.6,52.32,,,,
17,04/17/25 01:00:00 AM,0.4,-3.9,51.55,,,,
18,04/17/25 02:00:00 AM,1.3,-4.2,50.76,,,,
19,04/17/25 03:00:00 AM,0.8,-4.6,50.22,,,,
20,04/17/25 04:00:00 AM,1.6,-4.2,49.21,,,,
21,04/17/25 05:00:00 AM,-0.1,4.7,48.43,,,,
22,04/17/25 06:00:00 AM,0.3,-3.9,48.07,,,,
23,04/17/25 07:00:00 AM,1.5,-4.2,49.10,,,,
24,04/17/25 08:00:00 AM,0.5,16.5,54.23,,,,
25,04/17/25 09:00:00 AM,19.7,-1.3,61.52,,,,
26,04/17/25 10:00:00 AM,2.1,-3.5,64.90,,,,
27,04/17/25 11:00:00 AM,0.6,-1.3,71.40,,,,
28,04/17/25 12:00:00 PM,0.6,-1.3,75.67,,,,
29,04/17/25 01:00:00 PM,0.6,-1.3,74.61,,,,
30,04/17/25 02:00:00 PM,0.5,-1.3,75.33,,,,
31,04/17/25 03:00:00 PM,0.6,-3.5,74.98,,,,
32,04/17/25 04:00:00 PM,0.6,-1.3,74.08,,,,
33,04/17/25 05:00:00 PM,1.8,-1.3,72.57,,,,
34,04/17/25 06:00:00 PM,7.0,-1.3,69.39,,,,
35,04/17/25 07:00:00 PM,0.6,-1.3,68.13,,,,
36,04/17/25 08:00:00 PM,0.6,-1.3,67.03,,,,
37,04/17/25 09:00:00 PM,13.0,8.3,61.97,,,,
38,04/17/25 10:00:00 PM,55.4,53.7,60.48,,,,
39,04/17/25 11:00:00 PM,1.9,-3.9,58.15,,,,
40,04/18/25 12:00:00 AM,2.1,-3.1,56.91,,,,
41,04/18/25 01:00:00 AM,2.9,-2.4,56.84,,,,
42,04/18/25 02:00:00 AM,62.9,61.3,55.04,,,,
43,04/18/25 03:00:00 AM,44.9,42.1,54.99,,,,
44,04/18/25 04:00:00 AM,30.0,26.2,53.22,,,,
45,04/18/25 05:00:00 AM,14.3,8.8,52.74,,,,
46,04/18/25 06:00:00 AM,5.5,-0.5,52.29,,,,
47,04/18/25 07:00:00 AM,9.8,3.9,54.03,,,,
48,04/18/25 08:00:00 AM,0.2,4.6,59.95,,,,
49,04/18/25 09:00:00 AM,0.6,10.4,71.02,,,,
50,04/18/25 10:00:00 AM,0.6,10.4,74.80,,,,
51,04/18/25 11:00:00 AM,0.6,-1.4,79.07,,,,
52,04/18/25 12:00:00 PM,0.6,-1.4,79.66,,,,
53,04/18/25 01:00:00 PM,0.6,-1.4,79.56,,,,
54,04/18/25 02:00:00 PM,0.6,-3.5,79.92,,,,
55,04/18/25 03:00:00 PM,0.6,-1.4,80.33,,,,
56,04/18/25 04:00:00 PM,0.6,-1.4,80.15,,,,
57,04/18/25 05:00:00 PM,0.6,-1.4,78.55,,,,
58,04/18/25 06:00:00 PM,0.6,-3.5,76.86,,,,
59,04/18/25 07:00:00 PM,1.8,10.4,73.83,,,,
60,04/18/25 08:00:00 PM,40.4,38.3,71.20,,,,
61,04/18/25 09:00:00 PM,1.8,-1.3,69.46,,,,
62,04/18/25 10:00:00 PM,19.6,4.6,67.62,,,,
63,04/18/25 11:00:00 PM,1.9,10.5,64.89,,,,
64,04/19/25 12:00:00 AM,0.4,-3.9,62.60,,,,
65,04/19/25 01:00:00 AM,8.1,3.1,60.89,,,,
66,04/19/25 02:00:00 AM,4.2,-2.0,59.85,,,,
67,04/19/25 03:00:00 AM,-0.3,4.6,58.93,,,,
68,04/19/25 04:00:00 AM,-0.0,-3.1,58.42,,,,
69,04/19/25 05:00:00 AM,2.3,-3.5,57.25,,,,
70,04/19/25 06:00:00 AM,5.4,0.2,57.13,,,,
71,04/19/25 07:00:00 AM,4.8,-0.9,59.11,,,,
72,04/19/25 08:00:00 AM,1.3,-4.3,65.03,,,,
73,04/19/25 09:00:00 AM,0.6,-1.3,73.89,,,,
74,04/19/25 10:00:00 AM,0.6,-3.5,76.03,,,,
75,04/19/25 11:00:00 AM,0.6,-1.4,78.39,,,,
76,04/19/25 12:00:00 PM,1.8,-3.6,80.73,,,,
77,04/19/25 01:00:00 PM,0.6,-1.4,81.18,,,,
78,04/19/25 02:00:00 PM,0.6,-1.4,81.57,,,,
79,04/19/25 03:00:00 PM,0.6,-1.4,81.50,,,,
80,04/19/25 04:00:00 PM,0.6,-1.4,82.29,,,,
81,04/19/25 05:00:00 PM,0.5,-1.4,79.75,,,,
82,04/19/25 06:00:00 PM,0.6,-1.3,77.41,,,,
83,04/19/25 07:00:00 PM,0.6,-1.3,74.14,,,,
84,04/19/25 08:00:00 PM,0.6,-1.3,72.19,,,,
85,04/19/25 09:00:00 PM,1.8,-1.3,70.07,,,,
86,04/19/25 10:00:00 PM,0.6,-1.3,68.29,,,,
87,04/19/25 11:00:00 PM,2.1,-3.5,66.87,,,,
88,04/20/25 12:00:00 AM,0.6,-1.3,64.87,,,,
89,04/20/25 01:00:00 AM,0.6,-1.3,62.15,,,,
90,04/20/25 02:00:00 AM,0.5,-1.3,60.24,,,,
91,04/20/25 03:00:00 AM,0.6,-1.3,58.84,,,,
92,04/20/25 04:00:00 AM,1.9,-1.3,57.94,,,,
93,04/20/25 05:00:00 AM,4.9,10.6,56.25,,,,
94,04/20/25 06:00:00 AM,16.8,10.6,56.03,,,,
95,04/20/25 07:00:00 AM,16.8,4.6,58.44,,,,
96,04/20/25 08:00:00 AM,1.8,-1.3,66.13,,,,
97,04/20/25 09:00:00 AM,0.6,-1.3,73.00,,,,
