"Plot Title: 5_DO_02102024_5"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20342022, SEN S/N: 20342022)","Temp, °F (LGR S/N: 20342022, SEN S/N: 20342022)","Coupler Attached (LGR S/N: 20342022, SEN S/N: 20342022)","Host Connected (LGR S/N: 20342022, SEN S/N: 20342022)","Stopped (LGR S/N: 20342022, SEN S/N: 20342022)","End Of File (LGR S/N: 20342022, SEN S/N: 20342022)"
1,01/03/25 12:00:00 PM,8.55,51.80,,,,
2,01/03/25 01:00:00 PM,8.09,55.18,,,,
3,01/03/25 02:00:00 PM,8.26,54.75,,,,
4,01/03/25 03:00:00 PM,8.23,55.44,,,,
5,01/03/25 04:00:00 PM,8.11,55.72,,,,
6,01/03/25 05:00:00 PM,7.96,56.12,,,,
7,01/03/25 06:00:00 PM,8.01,54.79,,,,
8,01/03/25 07:00:00 PM,8.34,52.70,,,,
9,01/03/25 08:00:00 PM,8.53,51.04,,,,
10,01/03/25 09:00:00 PM,8.65,50.25,,,,
11,01/03/25 10:00:00 PM,8.58,49.64,,,,
12,01/03/25 11:00:00 PM,8.82,48.92,,,,
13,01/04/25 12:00:00 AM,8.91,48.45,,,,
14,01/04/25 01:00:00 AM,9.04,47.52,,,,
15,01/04/25 02:00:00 AM,9.08,47.16,,,,
16,01/04/25 03:00:00 AM,9.03,47.48,,,,
17,01/04/25 04:00:00 AM,9.04,47.23,,,,
18,01/04/25 05:00:00 AM,9.19,46.69,,,,
19,01/04/25 06:00:00 AM,9.20,46.36,,,,
20,01/04/25 07:00:00 AM,9.28,45.97,,,,
21,01/04/25 08:00:00 AM,9.42,45.39,,,,
22,01/04/25 09:00:00 AM,9.32,46.11,,,,
23,01/04/25 10:00:00 AM,9.15,47.30,,,,
24,01/04/25 11:00:00 AM,9.08,48.52,,,,
25,01/04/25 12:00:00 PM,8.82,50.97,,,,
26,01/04/25 01:00:00 PM,8.40,54.00,,,,
27,01/04/25 02:00:00 PM,8.59,53.17,,,,
28,01/04/25 03:00:00 PM,8.49,53.92,,,,
29,01/04/25 04:00:00 PM,8.44,54.36,,,,
30,01/04/25 05:00:00 PM,8.32,54.97,,,,
31,01/04/25 06:00:00 PM,8.40,53.35,,,,
32,01/04/25 07:00:00 PM,8.65,51.12,,,,
33,01/04/25 08:00:00 PM,8.85,49.17,,,,
34,01/04/25 09:00:00 PM,8.90,48.13,,,,
35,01/04/25 10:00:00 PM,9.01,47.59,,,,
36,01/04/25 11:00:00 PM,9.30,46.18,,,,
37,01/05/25 12:00:00 AM,9.39,45.64,,,,
38,01/05/25 01:00:00 AM,9.50,45.10,,,,
39,01/05/25 02:00:00 AM,9.55,44.67,,,,
40,01/05/25 03:00:00 AM,9.62,44.31,,,,
41,01/05/25 04:00:00 AM,9.33,45.90,,,,
42,01/05/25 05:00:00 AM,9.34,45.86,,,,
43,01/05/25 06:00:00 AM,9.51,44.92,,,,
44,01/05/25 07:00:00 AM,9.60,44.42,,,,
45,01/05/25 08:00:00 AM,9.71,43.92,,,,
46,01/05/25 09:00:00 AM,9.73,43.88,,,,
47,01/05/25 10:00:00 AM,9.40,45.97,,,,
48,01/05/25 11:00:00 AM,9.05,48.78,,,,
49,01/05/25 12:00:00 PM,8.66,51.91,,,,
50,01/05/25 01:00:00 PM,8.18,55.62,,,,
51,01/05/25 02:00:00 PM,8.34,55.15,,,,
