"Plot Title: 6_DO_02082024_6"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733141, SEN S/N: 10733141)","Temp, °F (LGR S/N: 10733141, SEN S/N: 10733141)","Coupler Attached (LGR S/N: 10733141, SEN S/N: 10733141)","Stopped (LGR S/N: 10733141, SEN S/N: 10733141)","End Of File (LGR S/N: 10733141, SEN S/N: 10733141)"
1,04/16/25 01:00:00 PM,3.96,66.27,,,
2,04/16/25 02:00:00 PM,4.09,67.10,,,
3,04/16/25 03:00:00 PM,4.08,67.53,,,
4,04/16/25 04:00:00 PM,3.96,67.71,,,
5,04/16/25 05:00:00 PM,3.87,67.35,,,
6,04/16/25 06:00:00 PM,3.75,66.49,,,
7,04/16/25 07:00:00 PM,3.71,65.66,,,
8,04/16/25 08:00:00 PM,3.66,64.72,,,
9,04/16/25 09:00:00 PM,3.50,63.97,,,
10,04/16/25 10:00:00 PM,3.61,63.21,,,
11,04/16/25 11:00:00 PM,3.67,62.67,,,
12,04/17/25 12:00:00 AM,3.64,62.24,,,
13,04/17/25 01:00:00 AM,3.65,61.88,,,
14,04/17/25 02:00:00 AM,3.70,61.56,,,
15,04/17/25 03:00:00 AM,3.74,61.23,,,
16,04/17/25 04:00:00 AM,3.73,60.91,,,
17,04/17/25 05:00:00 AM,3.75,60.58,,,
18,04/17/25 06:00:00 AM,3.76,60.33,,,
19,04/17/25 07:00:00 AM,3.75,60.15,,,
20,04/17/25 08:00:00 AM,3.74,60.33,,,
21,04/17/25 09:00:00 AM,3.69,61.12,,,
22,04/17/25 10:00:00 AM,3.87,62.38,,,
23,04/17/25 11:00:00 AM,3.97,63.54,,,
24,04/17/25 12:00:00 PM,4.07,64.83,,,
25,04/17/25 01:00:00 PM,4.13,66.24,,,
26,04/17/25 02:00:00 PM,4.21,67.32,,,
27,04/17/25 03:00:00 PM,4.21,67.78,,,
28,04/17/25 04:00:00 PM,4.13,68.18,,,
29,04/17/25 05:00:00 PM,4.03,67.93,,,
30,04/17/25 06:00:00 PM,3.91,67.03,,,
31,04/17/25 07:00:00 PM,3.83,66.16,,,
32,04/17/25 08:00:00 PM,3.77,65.44,,,
33,04/17/25 09:00:00 PM,3.70,64.87,,,
34,04/17/25 10:00:00 PM,3.69,64.36,,,
35,04/17/25 11:00:00 PM,3.70,63.93,,,
36,04/18/25 12:00:00 AM,3.72,63.57,,,
37,04/18/25 01:00:00 AM,3.71,63.28,,,
38,04/18/25 02:00:00 AM,3.72,63.00,,,
39,04/18/25 03:00:00 AM,3.72,62.78,,,
40,04/18/25 04:00:00 AM,3.74,62.53,,,
41,04/18/25 05:00:00 AM,3.74,62.24,,,
42,04/18/25 06:00:00 AM,3.75,61.99,,,
43,04/18/25 07:00:00 AM,3.75,61.84,,,
44,04/18/25 08:00:00 AM,3.77,61.99,,,
45,04/18/25 09:00:00 AM,3.79,62.67,,,
46,04/18/25 10:00:00 AM,3.86,63.79,,,
47,04/18/25 11:00:00 AM,3.93,64.90,,,
48,04/18/25 12:00:00 PM,4.05,66.16,,,
49,04/18/25 01:00:00 PM,4.10,67.71,,,
50,04/18/25 02:00:00 PM,4.23,68.83,,,
51,04/18/25 03:00:00 PM,4.20,69.33,,,
52,04/18/25 04:00:00 PM,4.12,69.69,,,
53,04/18/25 05:00:00 PM,4.02,69.48,,,
54,04/18/25 06:00:00 PM,3.79,68.54,,,
55,04/18/25 07:00:00 PM,3.77,67.68,,,
56,04/18/25 08:00:00 PM,3.72,66.92,,,
57,04/18/25 09:00:00 PM,3.64,66.27,,,
58,04/18/25 10:00:00 PM,3.63,65.80,,,
59,04/18/25 11:00:00 PM,3.62,65.44,,,
60,04/19/25 12:00:00 AM,3.64,65.05,,,
61,04/19/25 01:00:00 AM,3.63,64.72,,,
62,04/19/25 02:00:00 AM,3.60,64.44,,,
63,04/19/25 03:00:00 AM,3.64,64.18,,,
64,04/19/25 04:00:00 AM,3.65,63.93,,,
65,04/19/25 05:00:00 AM,3.60,63.68,,,
66,04/19/25 06:00:00 AM,3.67,63.43,,,
67,04/19/25 07:00:00 AM,3.69,63.21,,,
68,04/19/25 08:00:00 AM,3.71,63.28,,,
69,04/19/25 09:00:00 AM,3.73,63.86,,,
70,04/19/25 10:00:00 AM,3.78,64.83,,,
71,04/19/25 11:00:00 AM,3.88,65.84,,,
72,04/19/25 12:00:00 PM,3.95,66.96,,,
73,04/19/25 01:00:00 PM,4.09,68.43,,,
74,04/19/25 02:00:00 PM,4.21,69.62,,,
75,04/19/25 03:00:00 PM,4.20,70.12,,,
76,04/19/25 04:00:00 PM,4.10,70.45,,,
77,04/19/25 05:00:00 PM,3.91,70.30,,,
78,04/19/25 06:00:00 PM,3.78,69.48,,,
79,04/19/25 07:00:00 PM,3.69,68.40,,,
80,04/19/25 08:00:00 PM,3.62,67.57,,,
81,04/19/25 09:00:00 PM,3.59,66.78,,,
82,04/19/25 10:00:00 PM,3.58,66.20,,,
83,04/19/25 11:00:00 PM,3.57,65.73,,,
84,04/20/25 12:00:00 AM,3.57,65.37,,,
85,04/20/25 01:00:00 AM,3.58,65.01,,,
86,04/20/25 02:00:00 AM,3.60,64.72,,,
87,04/20/25 03:00:00 AM,3.61,64.36,,,
88,04/20/25 04:00:00 AM,3.62,64.08,,,
89,04/20/25 05:00:00 AM,3.62,63.79,,,
