"Plot Title: 6_DO_02082024_DO"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21446090, SEN S/N: 21446090)","Temp, °F (LGR S/N: 21446090, SEN S/N: 21446090)","Coupler Attached (LGR S/N: 21446090, SEN S/N: 21446090)","Stopped (LGR S/N: 21446090, SEN S/N: 21446090)","End Of File (LGR S/N: 21446090, SEN S/N: 21446090)"
1,08/23/24 02:00:00 PM,0.70,78.69,,,
2,08/23/24 03:00:00 PM,0.64,78.94,,,
3,08/23/24 04:00:00 PM,0.63,78.84,,,
4,08/23/24 05:00:00 PM,0.62,78.51,,,
5,08/23/24 06:00:00 PM,1.24,78.04,,,
6,08/23/24 07:00:00 PM,1.26,77.76,,,
7,08/23/24 08:00:00 PM,1.09,77.50,,,
8,08/23/24 09:00:00 PM,1.00,77.29,,,
9,08/23/24 10:00:00 PM,0.97,77.11,,,
10,08/23/24 11:00:00 PM,0.95,77.00,,,
11,08/24/24 12:00:00 AM,0.93,76.86,,,
12,08/24/24 01:00:00 AM,0.89,76.75,,,
13,08/24/24 02:00:00 AM,0.88,76.64,,,
14,08/24/24 03:00:00 AM,0.87,76.57,,,
15,08/24/24 04:00:00 AM,0.88,76.46,,,
16,08/24/24 05:00:00 AM,0.87,76.32,,,
17,08/24/24 06:00:00 AM,0.86,76.21,,,
18,08/24/24 07:00:00 AM,0.87,76.03,,,
19,08/24/24 08:00:00 AM,0.86,75.96,,,
20,08/24/24 09:00:00 AM,0.87,75.99,,,
21,08/24/24 10:00:00 AM,0.85,76.10,,,
22,08/24/24 11:00:00 AM,0.85,76.50,,,
23,08/24/24 12:00:00 PM,0.83,77.11,,,
24,08/24/24 01:00:00 PM,0.82,77.83,,,
25,08/24/24 02:00:00 PM,0.82,78.15,,,
26,08/24/24 03:00:00 PM,0.81,78.87,,,
27,08/24/24 04:00:00 PM,0.80,79.02,,,
28,08/24/24 05:00:00 PM,0.80,79.16,,,
29,08/24/24 06:00:00 PM,0.80,78.87,,,
30,08/24/24 07:00:00 PM,0.79,78.51,,,
31,08/24/24 08:00:00 PM,0.79,78.22,,,
32,08/24/24 09:00:00 PM,0.79,77.90,,,
33,08/24/24 10:00:00 PM,0.80,77.68,,,
34,08/24/24 11:00:00 PM,0.79,77.50,,,
35,08/25/24 12:00:00 AM,0.78,77.40,,,
36,08/25/24 01:00:00 AM,0.80,77.25,,,
37,08/25/24 02:00:00 AM,0.79,77.07,,,
38,08/25/24 03:00:00 AM,0.78,76.93,,,
39,08/25/24 04:00:00 AM,0.77,76.86,,,
40,08/25/24 05:00:00 AM,0.78,76.75,,,
41,08/25/24 06:00:00 AM,0.77,76.64,,,
42,08/25/24 07:00:00 AM,0.75,76.53,,,
43,08/25/24 08:00:00 AM,0.74,76.46,,,
44,08/25/24 09:00:00 AM,0.73,76.53,,,
45,08/25/24 10:00:00 AM,0.74,76.75,,,
46,08/25/24 11:00:00 AM,0.71,77.07,,,
47,08/25/24 12:00:00 PM,0.71,77.61,,,
48,08/25/24 01:00:00 PM,0.70,77.97,,,
49,08/25/24 02:00:00 PM,0.73,78.22,,,
50,08/25/24 03:00:00 PM,0.73,78.58,,,
51,08/25/24 04:00:00 PM,0.73,79.27,,,
52,08/25/24 05:00:00 PM,0.74,79.23,,,
53,08/25/24 06:00:00 PM,0.72,79.02,,,
54,08/25/24 07:00:00 PM,0.70,78.84,,,
55,08/25/24 08:00:00 PM,0.69,78.55,,,
56,08/25/24 09:00:00 PM,0.70,78.33,,,
57,08/25/24 10:00:00 PM,0.70,78.08,,,
58,08/25/24 11:00:00 PM,0.67,77.86,,,
59,08/26/24 12:00:00 AM,0.71,77.65,,,
60,08/26/24 01:00:00 AM,0.69,77.43,,,
61,08/26/24 02:00:00 AM,0.70,77.22,,,
62,08/26/24 03:00:00 AM,0.69,77.04,,,
63,08/26/24 04:00:00 AM,0.71,76.82,,,
64,08/26/24 05:00:00 AM,0.69,76.64,,,
65,08/26/24 06:00:00 AM,0.71,76.46,,,
66,08/26/24 07:00:00 AM,0.70,76.32,,,
67,08/26/24 08:00:00 AM,0.70,76.21,,,
68,08/26/24 09:00:00 AM,0.66,76.28,,,
