"Plot Title: 6a_DO_02082024_6a"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 10733151, SEN S/N: 10733151)","Temp, °F (LGR S/N: 10733151, SEN S/N: 10733151)","Coupler Attached (LGR S/N: 10733151, SEN S/N: 10733151)","Stopped (LGR S/N: 10733151, SEN S/N: 10733151)","End Of File (LGR S/N: 10733151, SEN S/N: 10733151)"
1,08/23/24 02:00:00 PM,-0.01,79.02,,,
2,08/23/24 03:00:00 PM,-0.01,78.48,,,
3,08/23/24 04:00:00 PM,-0.01,78.44,,,
4,08/23/24 05:00:00 PM,-0.01,78.12,,,
5,08/23/24 06:00:00 PM,1.08,77.54,,,
6,08/23/24 07:00:00 PM,0.69,78.04,,,
7,08/23/24 08:00:00 PM,0.42,77.72,,,
8,08/23/24 09:00:00 PM,0.38,77.43,,,
9,08/23/24 10:00:00 PM,0.37,77.25,,,
10,08/23/24 11:00:00 PM,0.23,77.07,,,
11,08/24/24 12:00:00 AM,0.07,76.86,,,
12,08/24/24 01:00:00 AM,0.04,76.68,,,
13,08/24/24 02:00:00 AM,0.09,76.64,,,
14,08/24/24 03:00:00 AM,0.07,76.60,,,
15,08/24/24 04:00:00 AM,0.04,76.53,,,
16,08/24/24 05:00:00 AM,0.03,76.46,,,
17,08/24/24 06:00:00 AM,0.03,76.35,,,
18,08/24/24 07:00:00 AM,0.03,76.21,,,
19,08/24/24 08:00:00 AM,0.02,76.14,,,
20,08/24/24 09:00:00 AM,0.00,76.10,,,
21,08/24/24 10:00:00 AM,0.00,76.17,,,
22,08/24/24 11:00:00 AM,0.00,76.53,,,
23,08/24/24 12:00:00 PM,0.00,76.60,,,
24,08/24/24 01:00:00 PM,0.00,76.89,,,
25,08/24/24 02:00:00 PM,0.00,77.29,,,
26,08/24/24 03:00:00 PM,0.00,77.61,,,
27,08/24/24 04:00:00 PM,0.00,77.68,,,
28,08/24/24 05:00:00 PM,0.00,77.83,,,
29,08/24/24 06:00:00 PM,0.02,77.86,,,
30,08/24/24 07:00:00 PM,0.02,77.86,,,
31,08/24/24 08:00:00 PM,0.01,77.97,,,
32,08/24/24 09:00:00 PM,0.01,77.94,,,
33,08/24/24 10:00:00 PM,0.01,77.86,,,
34,08/24/24 11:00:00 PM,0.00,77.72,,,
35,08/25/24 12:00:00 AM,0.00,77.65,,,
36,08/25/24 01:00:00 AM,0.00,77.58,,,
37,08/25/24 02:00:00 AM,0.00,77.54,,,
38,08/25/24 03:00:00 AM,0.00,77.50,,,
39,08/25/24 04:00:00 AM,0.00,77.47,,,
40,08/25/24 05:00:00 AM,0.00,77.40,,,
41,08/25/24 06:00:00 AM,0.00,77.32,,,
42,08/25/24 07:00:00 AM,0.00,77.25,,,
43,08/25/24 08:00:00 AM,0.00,77.18,,,
44,08/25/24 09:00:00 AM,0.00,77.25,,,
45,08/25/24 10:00:00 AM,0.00,77.47,,,
46,08/25/24 11:00:00 AM,-0.01,77.65,,,
47,08/25/24 12:00:00 PM,-0.01,78.22,,,
48,08/25/24 01:00:00 PM,-0.01,78.62,,,
49,08/25/24 02:00:00 PM,-0.01,78.22,,,
50,08/25/24 03:00:00 PM,-0.01,78.66,,,
51,08/25/24 04:00:00 PM,-0.01,78.73,,,
52,08/25/24 05:00:00 PM,-0.01,78.69,,,
53,08/25/24 06:00:00 PM,-0.01,78.80,,,
54,08/25/24 07:00:00 PM,0.00,78.76,,,
55,08/25/24 08:00:00 PM,0.00,78.66,,,
56,08/25/24 09:00:00 PM,-0.01,78.62,,,
57,08/25/24 10:00:00 PM,-0.01,78.58,,,
58,08/25/24 11:00:00 PM,-0.01,78.55,,,
59,08/26/24 12:00:00 AM,-0.01,78.44,,,
60,08/26/24 01:00:00 AM,0.00,78.30,,,
61,08/26/24 02:00:00 AM,-0.01,78.12,,,
62,08/26/24 03:00:00 AM,-0.01,77.94,,,
63,08/26/24 04:00:00 AM,-0.01,77.76,,,
64,08/26/24 05:00:00 AM,-0.01,77.61,,,
65,08/26/24 06:00:00 AM,-0.01,77.47,,,
66,08/26/24 07:00:00 AM,-0.01,77.32,,,
67,08/26/24 08:00:00 AM,-0.01,77.25,,,
68,08/26/24 09:00:00 AM,-0.01,77.32,,,
69,08/26/24 10:00:00 AM,-0.01,77.68,,,
70,08/26/24 11:00:00 AM,-0.01,77.79,,,
71,08/26/24 12:00:00 PM,-0.01,78.66,,,
72,08/26/24 01:00:00 PM,-0.01,78.87,,,
73,08/26/24 02:00:00 PM,-0.01,79.16,,,
74,08/26/24 03:00:00 PM,-0.01,79.30,,,
75,08/26/24 04:00:00 PM,-0.01,79.38,,,
76,08/26/24 05:00:00 PM,-0.01,79.20,,,
77,08/26/24 06:00:00 PM,4.06,79.81,,,
78,08/26/24 07:00:00 PM,5.19,81.90,,,
79,08/26/24 08:00:00 PM,2.51,79.81,,,
80,08/26/24 09:00:00 PM,1.69,79.12,,,
81,08/26/24 10:00:00 PM,1.12,78.76,,,
82,08/26/24 11:00:00 PM,0.80,78.66,,,
83,08/27/24 12:00:00 AM,0.58,78.58,,,
84,08/27/24 01:00:00 AM,0.41,78.40,,,
85,08/27/24 02:00:00 AM,0.32,78.19,,,
86,08/27/24 03:00:00 AM,0.27,78.04,,,
87,08/27/24 04:00:00 AM,0.22,77.90,,,
88,08/27/24 05:00:00 AM,0.26,77.83,,,
89,08/27/24 06:00:00 AM,0.28,77.76,,,
90,08/27/24 07:00:00 AM,0.24,77.65,,,
91,08/27/24 08:00:00 AM,0.21,77.58,,,
92,08/27/24 09:00:00 AM,0.18,77.61,,,
93,08/27/24 10:00:00 AM,0.17,77.72,,,
94,08/27/24 11:00:00 AM,0.15,77.97,,,
95,08/27/24 12:00:00 PM,0.15,78.37,,,
96,08/27/24 01:00:00 PM,0.16,78.87,,,
97,08/27/24 02:00:00 PM,0.15,79.27,,,
98,08/27/24 03:00:00 PM,0.13,79.81,,,
99,08/27/24 04:00:00 PM,3.07,82.69,,,
100,08/27/24 05:00:00 PM,2.02,81.32,,,
101,08/27/24 06:00:00 PM,1.56,80.42,,,
102,08/27/24 07:00:00 PM,1.34,80.17,,,
103,08/27/24 08:00:00 PM,1.21,80.10,,,
104,08/27/24 09:00:00 PM,1.08,79.92,,,
105,08/27/24 10:00:00 PM,0.95,79.70,,,
106,08/27/24 11:00:00 PM,0.80,79.66,,,
107,08/28/24 12:00:00 AM,0.69,79.70,,,
108,08/28/24 01:00:00 AM,0.60,79.74,,,
