"Plot Title: Brad9_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20358767, SEN S/N: 20358767)","Temp, °F (LGR S/N: 20358767, SEN S/N: 20358767)","Coupler Attached (LGR S/N: 20358767, SEN S/N: 20358767)","Coupler Detached (LGR S/N: 20358767, SEN S/N: 20358767)","Stopped (LGR S/N: 20358767, SEN S/N: 20358767)","End Of File (LGR S/N: 20358767, SEN S/N: 20358767)"
1,01/05/24 04:00:00 PM,6.37,53.67,,,,
2,01/05/24 05:00:00 PM,6.42,53.24,,,,
3,01/05/24 06:00:00 PM,6.31,53.24,,,,
4,01/05/24 07:00:00 PM,6.33,53.17,,,,
5,01/05/24 08:00:00 PM,6.38,53.10,,,,
6,01/05/24 09:00:00 PM,6.39,53.10,,,,
7,01/05/24 10:00:00 PM,6.39,53.17,,,,
8,01/05/24 11:00:00 PM,6.39,53.31,,,,
9,01/06/24 12:00:00 AM,6.37,53.49,,,,
10,01/06/24 01:00:00 AM,6.36,53.67,,,,
11,01/06/24 02:00:00 AM,6.33,53.89,,,,
12,01/06/24 03:00:00 AM,6.31,54.07,,,,
13,01/06/24 04:00:00 AM,6.29,54.25,,,,
14,01/06/24 05:00:00 AM,6.28,54.43,,,,
15,01/06/24 06:00:00 AM,6.39,54.79,,,,
16,01/06/24 07:00:00 AM,6.38,55.18,,,,
17,01/06/24 08:00:00 AM,6.37,55.62,,,,
18,01/06/24 09:00:00 AM,6.29,56.01,,,,
19,01/06/24 10:00:00 AM,6.19,56.44,,,,
20,01/06/24 11:00:00 AM,6.14,56.91,,,,
21,01/06/24 12:00:00 PM,6.09,57.34,,,,
22,01/06/24 01:00:00 PM,6.04,57.88,,,,
23,01/06/24 02:00:00 PM,5.97,58.46,,,,
24,01/06/24 03:00:00 PM,5.91,59.04,,,,
25,01/06/24 04:00:00 PM,5.85,59.36,,,,
26,01/06/24 05:00:00 PM,5.80,59.47,,,,
27,01/06/24 06:00:00 PM,5.77,59.40,,,,
28,01/06/24 07:00:00 PM,5.77,59.07,,,,
29,01/06/24 08:00:00 PM,5.76,58.75,,,,
30,01/06/24 09:00:00 PM,5.77,58.46,,,,
31,01/06/24 10:00:00 PM,5.78,58.24,,,,
32,01/06/24 11:00:00 PM,5.79,58.06,,,,
33,01/07/24 12:00:00 AM,5.81,57.88,,,,
34,01/07/24 01:00:00 AM,5.82,57.74,,,,
35,01/07/24 02:00:00 AM,5.84,57.56,,,,
