"Plot Title: Brad9_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20358767, SEN S/N: 20358767)","Temp, °F (LGR S/N: 20358767, SEN S/N: 20358767)","Coupler Attached (LGR S/N: 20358767, SEN S/N: 20358767)","Coupler Detached (LGR S/N: 20358767, SEN S/N: 20358767)","Host Connected (LGR S/N: 20358767, SEN S/N: 20358767)","End Of File (LGR S/N: 20358767, SEN S/N: 20358767)"
1,04/18/24 04:00:00 PM,5.45,72.00,,,,
2,04/18/24 05:00:00 PM,5.40,71.60,,,,
3,04/18/24 06:00:00 PM,5.36,71.64,,,,
4,04/18/24 07:00:00 PM,5.32,71.60,,,,
5,04/18/24 08:00:00 PM,5.32,71.28,,,,
6,04/18/24 09:00:00 PM,5.32,71.02,,,,
7,04/18/24 10:00:00 PM,5.34,70.63,,,,
8,04/18/24 11:00:00 PM,5.36,70.20,,,,
9,04/19/24 12:00:00 AM,5.40,69.69,,,,
10,04/19/24 01:00:00 AM,5.44,69.19,,,,
11,04/19/24 02:00:00 AM,5.48,68.65,,,,
12,04/19/24 03:00:00 AM,5.53,68.11,,,,
13,04/19/24 04:00:00 AM,5.58,67.71,,,,
14,04/19/24 05:00:00 AM,5.61,67.42,,,,
15,04/19/24 06:00:00 AM,5.65,67.21,,,,
16,04/19/24 07:00:00 AM,5.68,67.10,,,,
17,04/19/24 08:00:00 AM,5.75,67.17,,,,
18,04/19/24 09:00:00 AM,5.71,67.46,,,,
19,04/19/24 10:00:00 AM,5.73,67.93,,,,
20,04/19/24 11:00:00 AM,5.72,68.76,,,,
21,04/19/24 12:00:00 PM,5.69,69.55,,,,
22,04/19/24 01:00:00 PM,5.67,70.59,,,,
23,04/19/24 02:00:00 PM,5.59,71.49,,,,
24,04/19/24 03:00:00 PM,5.48,72.03,,,,
25,04/19/24 04:00:00 PM,5.34,72.54,,,,
26,04/19/24 05:00:00 PM,5.22,72.86,,,,
27,04/19/24 06:00:00 PM,5.12,73.08,,,,
28,04/19/24 07:00:00 PM,5.04,73.08,,,,
29,04/19/24 08:00:00 PM,5.03,72.82,,,,
30,04/19/24 09:00:00 PM,5.04,72.36,,,,
31,04/19/24 10:00:00 PM,5.08,71.78,,,,
32,04/19/24 11:00:00 PM,5.09,71.20,,,,
33,04/20/24 12:00:00 AM,5.16,70.63,,,,
34,04/20/24 01:00:00 AM,5.21,70.05,,,,
35,04/20/24 02:00:00 AM,5.28,69.44,,,,
36,04/20/24 03:00:00 AM,5.33,69.08,,,,
37,04/20/24 04:00:00 AM,5.39,68.68,,,,
38,04/20/24 05:00:00 AM,5.43,68.36,,,,
39,04/20/24 06:00:00 AM,5.46,68.18,,,,
40,04/20/24 07:00:00 AM,5.48,68.11,,,,
41,04/20/24 08:00:00 AM,5.52,68.14,,,,
42,04/20/24 09:00:00 AM,5.53,68.40,,,,
43,04/20/24 10:00:00 AM,5.54,68.86,,,,
44,04/20/24 11:00:00 AM,5.55,69.69,,,,
45,04/20/24 12:00:00 PM,5.53,70.59,,,,
46,04/20/24 01:00:00 PM,5.48,71.56,,,,
47,04/20/24 02:00:00 PM,5.40,72.46,,,,
48,04/20/24 03:00:00 PM,5.30,72.93,,,,
49,04/20/24 04:00:00 PM,5.15,73.33,,,,
50,04/20/24 05:00:00 PM,5.03,73.65,,,,
51,04/20/24 06:00:00 PM,4.91,73.83,,,,
52,04/20/24 07:00:00 PM,4.83,73.83,,,,
53,04/20/24 08:00:00 PM,4.80,73.58,,,,
54,04/20/24 09:00:00 PM,4.76,73.18,,,,
