"Plot Title: Bradford13_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10926097, SEN S/N: 10926097)","Temp, °F (LGR S/N: 10926097, SEN S/N: 10926097)","Coupler Attached (LGR S/N: 10926097, SEN S/N: 10926097)","Stopped (LGR S/N: 10926097, SEN S/N: 10926097)","End Of File (LGR S/N: 10926097, SEN S/N: 10926097)"
1,02/09/24 02:00:00 PM,8.80,59.58,,,
2,02/09/24 03:00:00 PM,8.69,59.94,,,
3,02/09/24 04:00:00 PM,8.60,60.44,,,
4,02/09/24 05:00:00 PM,8.45,60.76,,,
5,02/09/24 06:00:00 PM,8.32,61.20,,,
6,02/09/24 07:00:00 PM,8.22,61.41,,,
7,02/09/24 08:00:00 PM,8.19,61.41,,,
8,02/09/24 09:00:00 PM,8.20,61.27,,,
9,02/09/24 10:00:00 PM,8.24,60.98,,,
10,02/09/24 11:00:00 PM,8.29,60.58,,,
11,02/10/24 12:00:00 AM,8.34,60.19,,,
12,02/10/24 01:00:00 AM,8.38,59.76,,,
13,02/10/24 02:00:00 AM,8.44,59.29,,,
14,02/10/24 03:00:00 AM,8.48,58.89,,,
15,02/10/24 04:00:00 AM,8.54,58.50,,,
16,02/10/24 05:00:00 AM,8.58,58.14,,,
17,02/10/24 06:00:00 AM,8.62,57.78,,,
18,02/10/24 07:00:00 AM,8.68,57.42,,,
19,02/10/24 08:00:00 AM,8.71,57.16,,,
20,02/10/24 09:00:00 AM,8.80,57.27,,,
21,02/10/24 10:00:00 AM,8.82,57.85,,,
22,02/10/24 11:00:00 AM,8.82,58.50,,,
23,02/10/24 12:00:00 PM,8.76,59.54,,,
24,02/10/24 01:00:00 PM,8.70,60.62,,,
25,02/10/24 02:00:00 PM,8.59,61.23,,,
26,02/10/24 03:00:00 PM,8.47,61.88,,,
27,02/10/24 04:00:00 PM,8.32,62.06,,,
28,02/10/24 05:00:00 PM,8.18,62.38,,,
29,02/10/24 06:00:00 PM,8.05,62.64,,,
30,02/10/24 07:00:00 PM,7.96,62.82,,,
31,02/10/24 08:00:00 PM,7.93,62.92,,,
32,02/10/24 09:00:00 PM,7.91,62.82,,,
33,02/10/24 10:00:00 PM,7.94,62.56,,,
34,02/10/24 11:00:00 PM,7.76,62.20,,,
35,02/11/24 12:00:00 AM,8.02,61.88,,,
36,02/11/24 01:00:00 AM,8.08,61.45,,,
37,02/11/24 02:00:00 AM,8.13,61.02,,,
38,02/11/24 03:00:00 AM,8.17,60.69,,,
39,02/11/24 04:00:00 AM,8.22,60.33,,,
40,02/11/24 05:00:00 AM,8.26,59.97,,,
41,02/11/24 06:00:00 AM,8.29,59.68,,,
42,02/11/24 07:00:00 AM,8.33,59.40,,,
43,02/11/24 08:00:00 AM,8.39,59.29,,,
44,02/11/24 09:00:00 AM,8.44,59.58,,,
45,02/11/24 10:00:00 AM,8.47,60.22,,,
46,02/11/24 11:00:00 AM,8.42,61.38,,,
47,02/11/24 12:00:00 PM,8.37,62.46,,,
48,02/11/24 01:00:00 PM,8.27,63.32,,,
49,02/11/24 02:00:00 PM,8.14,64.11,,,
50,02/11/24 03:00:00 PM,8.00,64.58,,,
51,02/11/24 04:00:00 PM,7.89,64.94,,,
52,02/11/24 05:00:00 PM,7.77,65.19,,,
53,02/11/24 06:00:00 PM,6.98,65.41,,,
54,02/11/24 07:00:00 PM,7.56,65.55,,,
55,02/11/24 08:00:00 PM,7.51,65.66,,,
56,02/11/24 09:00:00 PM,7.50,65.59,,,
57,02/11/24 10:00:00 PM,7.52,65.37,,,
58,02/11/24 11:00:00 PM,7.57,65.08,,,
59,02/12/24 12:00:00 AM,7.60,64.72,,,
60,02/12/24 01:00:00 AM,7.63,64.44,,,
61,02/12/24 02:00:00 AM,7.67,64.15,,,
62,02/12/24 03:00:00 AM,7.70,63.97,,,
63,02/12/24 04:00:00 AM,7.72,63.82,,,
64,02/12/24 05:00:00 AM,7.75,63.54,,,
65,02/12/24 06:00:00 AM,7.77,63.28,,,
66,02/12/24 07:00:00 AM,7.81,63.10,,,
67,02/12/24 08:00:00 AM,7.83,63.00,,,
68,02/12/24 09:00:00 AM,7.85,63.14,,,
69,02/12/24 10:00:00 AM,7.92,63.68,,,
