"Plot Title: 13_SpC_"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10757734, SEN S/N: 10757734)","Full Range, μS/cm (LGR S/N: 10757734, SEN S/N: 10757734)","Temp, °F (LGR S/N: 10757734, SEN S/N: 10757734)","Coupler Detached (LGR S/N: 10757734, SEN S/N: 10757734)","Coupler Attached (LGR S/N: 10757734, SEN S/N: 10757734)","Stopped (LGR S/N: 10757734, SEN S/N: 10757734)","End Of File (LGR S/N: 10757734, SEN S/N: 10757734)"
1,07/11/24 04:00:00 PM,11.3,11.2,85.19,Logged,,,
2,07/11/24 05:00:00 PM,7.5,7.5,84.61,,,,
3,07/11/24 06:00:00 PM,3.7,6.0,84.33,,,,
4,07/11/24 07:00:00 PM,1.9,13.8,83.52,,,,
5,07/11/24 08:00:00 PM,18.7,6.0,81.88,,,,
6,07/11/24 09:00:00 PM,18.8,6.0,79.97,,,,
7,07/11/24 10:00:00 PM,2.8,16.1,79.34,,,,
8,07/11/24 11:00:00 PM,3.9,6.0,78.78,,,,
9,07/12/24 12:00:00 AM,18.8,6.0,77.81,,,,
10,07/12/24 01:00:00 AM,4.7,6.0,76.96,,,,
11,07/12/24 02:00:00 AM,2.8,6.0,76.33,,,,
12,07/12/24 03:00:00 AM,7.4,6.0,75.87,,,,
13,07/12/24 04:00:00 AM,2.8,6.0,75.38,,,,
14,07/12/24 05:00:00 AM,1.7,32.0,75.33,,,,
15,07/12/24 06:00:00 AM,2.8,32.0,74.89,,,,
16,07/12/24 07:00:00 AM,1.9,32.0,76.24,,,,
17,07/12/24 08:00:00 AM,1.9,31.9,79.05,,,,
18,07/12/24 09:00:00 AM,2.5,5.9,89.67,,,,
19,07/12/24 10:00:00 AM,2.5,5.9,92.55,,,,
20,07/12/24 11:00:00 AM,3.7,6.0,85.96,,,,
21,07/12/24 12:00:00 PM,3.7,6.0,87.06,,,,
22,07/12/24 01:00:00 PM,3.7,5.9,90.72,,,,
23,07/12/24 02:00:00 PM,2.5,5.9,94.51,,,,
24,07/12/24 03:00:00 PM,3.7,5.9,89.58,,,,
25,07/12/24 04:00:00 PM,3.7,5.9,87.55,,,,
