"Plot Title: Bradford_14cond"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21415362, SEN S/N: 21415362)","Temp, °F (LGR S/N: 21415362, SEN S/N: 21415362)"
1,11/01/23 12:00:00 PM,98.4,67.46
2,11/01/23 01:00:00 PM,98.8,67.66
3,11/01/23 02:00:00 PM,99.1,67.82
4,11/01/23 03:00:00 PM,98.4,67.73
5,11/01/23 04:00:00 PM,99.2,67.48
6,11/01/23 05:00:00 PM,98.4,67.19
7,11/01/23 06:00:00 PM,97.7,66.83
8,11/01/23 07:00:00 PM,97.4,66.45
9,11/01/23 08:00:00 PM,97.0,66.06
10,11/01/23 09:00:00 PM,96.7,65.62
11,11/01/23 10:00:00 PM,96.3,65.17
12,11/01/23 11:00:00 PM,96.0,64.74
13,11/02/23 12:00:00 AM,95.6,64.31
14,11/02/23 01:00:00 AM,95.3,63.84
15,11/02/23 02:00:00 AM,94.9,63.41
16,11/02/23 03:00:00 AM,93.8,62.96
17,11/02/23 04:00:00 AM,93.9,62.56
18,11/02/23 05:00:00 AM,93.9,62.19
19,11/02/23 06:00:00 AM,93.5,61.86
20,11/02/23 07:00:00 AM,92.8,61.54
21,11/02/23 08:00:00 AM,93.5,61.36
22,11/02/23 09:00:00 AM,93.9,61.38
23,11/02/23 10:00:00 AM,93.9,61.56
24,11/02/23 11:00:00 AM,95.4,61.93
25,11/02/23 12:00:00 PM,96.1,62.42
26,11/02/23 01:00:00 PM,97.5,63.09
27,11/02/23 02:00:00 PM,98.6,63.70
28,11/02/23 03:00:00 PM,99.4,63.91
29,11/02/23 04:00:00 PM,99.7,63.95
30,11/02/23 05:00:00 PM,100.5,63.93
31,11/02/23 06:00:00 PM,100.1,63.82
32,11/02/23 07:00:00 PM,99.7,63.68
33,11/02/23 08:00:00 PM,99.7,63.61
34,11/02/23 09:00:00 PM,100.1,63.52
35,11/02/23 10:00:00 PM,100.1,63.36
36,11/02/23 11:00:00 PM,100.1,63.18
37,11/03/23 12:00:00 AM,100.2,63.00
38,11/03/23 01:00:00 AM,100.5,62.78
39,11/03/23 02:00:00 AM,100.6,62.51
40,11/03/23 03:00:00 AM,100.6,62.26
41,11/03/23 04:00:00 AM,100.6,62.10
42,11/03/23 05:00:00 AM,101.0,61.97
43,11/03/23 06:00:00 AM,101.7,61.86
44,11/03/23 07:00:00 AM,102.1,61.74
45,11/03/23 08:00:00 AM,102.1,61.72
46,11/03/23 09:00:00 AM,102.8,61.90
47,11/03/23 10:00:00 AM,103.5,62.29
48,11/03/23 11:00:00 AM,105.0,62.78
49,11/03/23 12:00:00 PM,105.7,63.36
50,11/03/23 01:00:00 PM,106.8,64.04
51,11/03/23 02:00:00 PM,107.5,64.58
52,11/03/23 03:00:00 PM,106.7,64.81
53,11/03/23 04:00:00 PM,106.4,64.98
54,11/03/23 05:00:00 PM,106.0,65.10
55,11/03/23 06:00:00 PM,106.0,65.16
56,11/03/23 07:00:00 PM,106.0,65.16
57,11/03/23 08:00:00 PM,106.0,65.14
58,11/03/23 09:00:00 PM,106.4,65.07
59,11/03/23 10:00:00 PM,106.4,64.98
60,11/03/23 11:00:00 PM,106.7,64.83
61,11/04/23 12:00:00 AM,106.4,64.69
62,11/04/23 01:00:00 AM,106.0,64.58
63,11/04/23 02:00:00 AM,106.0,64.44
64,11/04/23 03:00:00 AM,106.0,64.26
65,11/04/23 04:00:00 AM,106.0,64.09
66,11/04/23 05:00:00 AM,106.0,63.99
67,11/04/23 06:00:00 AM,106.1,63.82
68,11/04/23 07:00:00 AM,106.1,63.68
69,11/04/23 08:00:00 AM,106.1,63.59
70,11/04/23 09:00:00 AM,106.4,63.57
71,11/04/23 10:00:00 AM,107.2,63.66
72,11/04/23 11:00:00 AM,108.3,63.86
73,11/04/23 12:00:00 PM,109.4,64.18
74,11/04/23 01:00:00 PM,110.5,64.56
75,11/04/23 02:00:00 PM,111.6,64.90
76,11/04/23 03:00:00 PM,111.6,65.10
77,11/04/23 04:00:00 PM,111.2,65.19
