"Plot Title: Bradford_15con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342064, SEN S/N: 20342064)","Temp, °F (LGR S/N: 20342064, SEN S/N: 20342064)","Coupler Detached (LGR S/N: 20342064, SEN S/N: 20342064)","Coupler Attached (LGR S/N: 20342064, SEN S/N: 20342064)","Stopped (LGR S/N: 20342064, SEN S/N: 20342064)","End Of File (LGR S/N: 20342064, SEN S/N: 20342064)"
1,04/16/25 10:00:00 AM,84.7,62.08,,,,
2,04/16/25 11:00:00 AM,87.5,64.71,,,,
3,04/16/25 12:00:00 PM,88.6,65.75,,,,
4,04/16/25 01:00:00 PM,88.6,65.91,,,,
5,04/16/25 02:00:00 PM,88.9,65.86,,,,
6,04/16/25 03:00:00 PM,90.3,67.10,,,,
7,04/16/25 04:00:00 PM,89.3,66.34,,,,
8,04/16/25 05:00:00 PM,85.2,66.51,,,,
9,04/16/25 06:00:00 PM,34.3,65.17,,,,
10,04/16/25 07:00:00 PM,1.8,64.29,,,,
11,04/16/25 08:00:00 PM,3.7,62.24,,,,
12,04/16/25 09:00:00 PM,7.8,60.10,,,,
13,04/16/25 10:00:00 PM,11.1,59.00,,,,
14,04/16/25 11:00:00 PM,13.7,57.88,,,,
15,04/17/25 12:00:00 AM,13.7,56.41,,,,
16,04/17/25 01:00:00 AM,13.0,56.97,,,,
17,04/17/25 02:00:00 AM,12.6,56.12,,,,
18,04/17/25 03:00:00 AM,26.0,56.37,,,,
19,04/17/25 04:00:00 AM,41.6,55.67,,,,
20,04/17/25 05:00:00 AM,75.4,55.74,,,,
21,04/17/25 06:00:00 AM,79.5,55.76,,,,
22,04/17/25 07:00:00 AM,80.2,55.65,,,,
23,04/17/25 08:00:00 AM,80.6,56.57,,,,
24,04/17/25 09:00:00 AM,82.0,58.19,,,,
25,04/17/25 10:00:00 AM,83.7,60.51,,,,
26,04/17/25 11:00:00 AM,87.2,63.77,,,,
27,04/17/25 12:00:00 PM,89.3,66.20,,,,
28,04/17/25 01:00:00 PM,55.3,67.46,,,,
29,04/17/25 02:00:00 PM,9.2,68.50,,,,
30,04/17/25 03:00:00 PM,53.8,69.48,,,,
31,04/17/25 04:00:00 PM,-0.4,69.31,,,,
32,04/17/25 05:00:00 PM,-0.4,70.95,,,,
33,04/17/25 06:00:00 PM,-0.4,67.80,,,,
34,04/17/25 07:00:00 PM,-0.4,66.20,,,,
35,04/17/25 08:00:00 PM,-0.4,65.25,,,,
36,04/17/25 09:00:00 PM,-0.4,63.73,,,,
37,04/17/25 10:00:00 PM,-0.4,62.38,,,,
38,04/17/25 11:00:00 PM,-0.4,61.74,,,,
39,04/18/25 12:00:00 AM,11.8,60.04,,,,
40,04/18/25 01:00:00 AM,-0.4,58.68,,,,
41,04/18/25 02:00:00 AM,-0.4,57.61,,,,
42,04/18/25 03:00:00 AM,-0.4,57.07,,,,
43,04/18/25 04:00:00 AM,11.9,56.41,,,,
44,04/18/25 05:00:00 AM,-0.4,55.90,,,,
45,04/18/25 06:00:00 AM,-0.4,55.36,,,,
46,04/18/25 07:00:00 AM,11.9,56.41,,,,
47,04/18/25 08:00:00 AM,-4.1,61.03,,,,
48,04/18/25 09:00:00 AM,-0.4,66.24,,,,
49,04/18/25 10:00:00 AM,-0.4,70.81,,,,
50,04/18/25 11:00:00 AM,-3.0,72.21,,,,
51,04/18/25 12:00:00 PM,-0.5,75.79,,,,
52,04/18/25 01:00:00 PM,-0.5,77.27,,,,
53,04/18/25 02:00:00 PM,-0.5,77.83,,,,
54,04/18/25 03:00:00 PM,-0.5,77.97,,,,
55,04/18/25 04:00:00 PM,-3.0,76.78,,,,
56,04/18/25 05:00:00 PM,-0.5,76.64,,,,
57,04/18/25 06:00:00 PM,-0.5,73.81,,,,
58,04/18/25 07:00:00 PM,-0.4,72.12,,,,
59,04/18/25 08:00:00 PM,-0.4,70.41,,,,
60,04/18/25 09:00:00 PM,-3.0,68.90,,,,
61,04/18/25 10:00:00 PM,-0.4,67.50,,,,
62,04/18/25 11:00:00 PM,-0.4,66.13,,,,
63,04/19/25 12:00:00 AM,-0.4,64.85,,,,
64,04/19/25 01:00:00 AM,-0.4,63.48,,,,
65,04/19/25 02:00:00 AM,11.8,62.35,,,,
66,04/19/25 03:00:00 AM,11.8,61.57,,,,
67,04/19/25 04:00:00 AM,-0.4,60.46,,,,
68,04/19/25 05:00:00 AM,-0.4,59.86,,,,
69,04/19/25 06:00:00 AM,-0.4,59.29,,,,
70,04/19/25 07:00:00 AM,-0.4,60.64,,,,
71,04/19/25 08:00:00 AM,-0.4,65.68,,,,
72,04/19/25 09:00:00 AM,-0.4,70.14,,,,
73,04/19/25 10:00:00 AM,-0.5,74.98,,,,
74,04/19/25 11:00:00 AM,-0.5,75.25,,,,
