"Plot Title: Bradford_3con"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778446, SEN S/N: 10778446)","Full Range, μS/cm (LGR S/N: 10778446, SEN S/N: 10778446)","Temp, °F (LGR S/N: 10778446, SEN S/N: 10778446)","Coupler Detached (LGR S/N: 10778446, SEN S/N: 10778446)","Coupler Attached (LGR S/N: 10778446, SEN S/N: 10778446)","Stopped (LGR S/N: 10778446, SEN S/N: 10778446)","End Of File (LGR S/N: 10778446, SEN S/N: 10778446)"
1,03/04/24 01:00:00 PM,94.4,90.6,64.72,Logged,,,
2,03/04/24 02:00:00 PM,94.9,91.3,65.23,,,,
3,03/04/24 03:00:00 PM,95.3,91.7,65.66,,,,
4,03/04/24 04:00:00 PM,95.9,92.5,66.13,,,,
5,03/04/24 05:00:00 PM,95.9,92.4,66.42,,,,
6,03/04/24 06:00:00 PM,96.1,92.4,66.63,,,,
7,03/04/24 07:00:00 PM,96.2,92.4,66.79,,,,
8,03/04/24 08:00:00 PM,96.4,92.8,66.88,,,,
9,03/04/24 09:00:00 PM,96.5,92.8,66.85,,,,
10,03/04/24 10:00:00 PM,96.7,93.2,66.65,,,,
11,03/04/24 11:00:00 PM,96.8,93.2,66.40,,,,
12,03/05/24 12:00:00 AM,96.8,92.8,66.16,,,,
13,03/05/24 01:00:00 AM,96.9,92.9,65.93,,,,
14,03/05/24 02:00:00 AM,97.1,93.3,65.71,,,,
15,03/05/24 03:00:00 AM,97.1,93.3,65.50,,,,
16,03/05/24 04:00:00 AM,97.4,93.7,65.32,,,,
17,03/05/24 05:00:00 AM,97.4,93.7,65.17,,,,
18,03/05/24 06:00:00 AM,97.6,93.7,65.01,,,,
19,03/05/24 07:00:00 AM,98.1,94.9,64.87,,,,
20,03/05/24 08:00:00 AM,97.8,94.1,64.78,,,,
21,03/05/24 09:00:00 AM,98.1,94.5,64.71,,,,
22,03/05/24 10:00:00 AM,98.4,94.5,64.74,,,,
23,03/05/24 11:00:00 AM,98.7,95.2,64.89,,,,
24,03/05/24 12:00:00 PM,99.2,95.6,65.08,,,,
25,03/05/24 01:00:00 PM,99.5,96.0,65.28,,,,
26,03/05/24 02:00:00 PM,100.1,96.4,65.41,,,,
27,03/05/24 03:00:00 PM,100.4,96.8,65.59,,,,
28,03/05/24 04:00:00 PM,100.7,97.1,65.79,,,,
29,03/05/24 05:00:00 PM,102.0,98.7,65.93,,,,
30,03/05/24 06:00:00 PM,101.3,97.5,66.00,,,,
31,03/05/24 07:00:00 PM,101.5,97.9,66.02,,,,
32,03/05/24 08:00:00 PM,101.6,97.9,66.00,,,,
33,03/05/24 09:00:00 PM,102.0,98.7,65.95,,,,
34,03/05/24 10:00:00 PM,101.6,98.7,65.88,,,,
35,03/05/24 11:00:00 PM,101.0,97.5,65.82,,,,
36,03/06/24 12:00:00 AM,100.1,96.7,65.79,,,,
37,03/06/24 01:00:00 AM,99.5,96.0,65.77,,,,
38,03/06/24 02:00:00 AM,99.4,95.6,65.73,,,,
39,03/06/24 03:00:00 AM,99.4,95.6,65.71,,,,
40,03/06/24 04:00:00 AM,98.9,95.6,65.71,,,,
41,03/06/24 05:00:00 AM,98.4,94.4,65.70,,,,
42,03/06/24 06:00:00 AM,97.9,94.0,65.70,,,,
43,03/06/24 07:00:00 AM,97.3,93.6,65.66,,,,
44,03/06/24 08:00:00 AM,97.0,93.6,65.64,,,,
45,03/06/24 09:00:00 AM,96.7,92.9,65.71,,,,
46,03/06/24 10:00:00 AM,96.6,92.9,65.86,,,,
47,03/06/24 11:00:00 AM,96.8,93.2,66.09,,,,
48,03/06/24 12:00:00 PM,96.8,93.2,66.40,,,,
49,03/06/24 01:00:00 PM,97.3,93.6,66.79,,,,
50,03/06/24 02:00:00 PM,97.5,93.9,67.26,,,,
51,03/06/24 03:00:00 PM,97.8,93.9,67.80,,,,
52,03/06/24 04:00:00 PM,98.3,94.7,68.34,,,,
53,03/06/24 05:00:00 PM,98.8,95.4,68.63,,,,
54,03/06/24 06:00:00 PM,99.2,95.4,68.88,,,,
55,03/06/24 07:00:00 PM,99.4,95.4,68.95,,,,
56,03/06/24 08:00:00 PM,99.7,95.8,68.95,,,,
57,03/06/24 09:00:00 PM,99.7,95.8,68.88,,,,
58,03/06/24 10:00:00 PM,99.9,96.2,68.72,,,,
59,03/06/24 11:00:00 PM,99.8,96.2,68.47,,,,
60,03/07/24 12:00:00 AM,99.8,96.2,68.16,,,,
61,03/07/24 01:00:00 AM,99.8,96.2,67.80,,,,
62,03/07/24 02:00:00 AM,99.7,96.3,67.48,,,,
63,03/07/24 03:00:00 AM,99.7,96.3,67.23,,,,
64,03/07/24 04:00:00 AM,99.6,95.9,66.96,,,,
65,03/07/24 05:00:00 AM,99.5,96.3,66.70,,,,
66,03/07/24 06:00:00 AM,99.5,95.5,66.38,,,,
67,03/07/24 07:00:00 AM,99.3,95.6,66.07,,,,
68,03/07/24 08:00:00 AM,99.1,95.6,65.80,,,,
69,03/07/24 09:00:00 AM,99.0,95.6,65.66,,,,
70,03/07/24 10:00:00 AM,99.1,95.6,65.79,,,,
71,03/07/24 11:00:00 AM,99.6,95.6,66.02,,,,
72,03/07/24 12:00:00 PM,100.2,96.7,66.43,,,,
73,03/07/24 01:00:00 PM,101.0,97.4,66.97,,,,
