"Plot Title: Bradford_5a_con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 10778438, SEN S/N: 10778438)","Temp, °F (LGR S/N: 10778438, SEN S/N: 10778438)"
1,03/14/23 12:30:00 PM,128.4,62.31
2,03/14/23 12:45:00 PM,128.4,62.40
3,03/14/23 01:00:00 PM,129.1,62.40
4,03/14/23 01:15:00 PM,129.1,62.46
5,03/14/23 01:30:00 PM,129.1,62.46
6,03/14/23 01:45:00 PM,129.9,62.47
7,03/14/23 02:00:00 PM,129.5,62.53
8,03/14/23 02:15:00 PM,129.5,62.55
9,03/14/23 02:30:00 PM,130.3,62.55
10,03/14/23 02:45:00 PM,130.3,62.55
11,03/14/23 03:00:00 PM,130.3,62.55
12,03/14/23 03:15:00 PM,130.6,62.55
13,03/14/23 03:30:00 PM,130.3,62.53
14,03/14/23 03:45:00 PM,130.3,62.51
15,03/14/23 04:00:00 PM,130.7,62.47
16,03/14/23 04:15:00 PM,130.7,62.47
17,03/14/23 04:30:00 PM,130.7,62.46
18,03/14/23 04:45:00 PM,130.7,62.44
19,03/14/23 05:00:00 PM,131.0,62.46
20,03/14/23 05:15:00 PM,130.7,62.46
21,03/14/23 05:30:00 PM,130.7,62.44
22,03/14/23 05:45:00 PM,130.7,62.38
23,03/14/23 06:00:00 PM,130.7,62.37
24,03/14/23 06:15:00 PM,130.7,62.33
25,03/14/23 06:30:00 PM,130.7,62.31
26,03/14/23 06:45:00 PM,130.7,62.29
27,03/14/23 07:00:00 PM,130.7,62.24
28,03/14/23 07:15:00 PM,130.3,62.19
29,03/14/23 07:30:00 PM,130.3,62.17
30,03/14/23 07:45:00 PM,130.3,62.10
31,03/14/23 08:00:00 PM,130.3,62.08
32,03/14/23 08:15:00 PM,129.9,61.97
33,03/14/23 08:30:00 PM,129.5,61.97
34,03/14/23 08:45:00 PM,129.2,61.92
35,03/14/23 09:00:00 PM,129.2,61.86
36,03/14/23 09:15:00 PM,129.2,61.81
37,03/14/23 09:30:00 PM,129.2,61.74
38,03/14/23 09:45:00 PM,129.2,61.72
39,03/14/23 10:00:00 PM,129.2,61.66
40,03/14/23 10:15:00 PM,129.2,61.59
41,03/14/23 10:30:00 PM,129.2,61.63
42,03/14/23 10:45:00 PM,129.2,61.52
43,03/14/23 11:00:00 PM,128.8,61.50
44,03/14/23 11:15:00 PM,129.2,61.48
45,03/14/23 11:30:00 PM,128.8,61.41
46,03/14/23 11:45:00 PM,128.4,61.34
47,03/15/23 12:00:00 AM,128.4,61.27
48,03/15/23 12:15:00 AM,128.1,61.20
49,03/15/23 12:30:00 AM,128.5,61.14
50,03/15/23 12:45:00 AM,128.1,61.14
51,03/15/23 01:00:00 AM,128.1,61.07
52,03/15/23 01:15:00 AM,127.7,60.98
53,03/15/23 01:30:00 AM,127.7,60.96
54,03/15/23 01:45:00 AM,127.7,60.89
55,03/15/23 02:00:00 AM,127.3,60.78
56,03/15/23 02:15:00 AM,127.3,60.75
57,03/15/23 02:30:00 AM,127.3,60.67
58,03/15/23 02:45:00 AM,127.0,60.62
59,03/15/23 03:00:00 AM,127.0,60.60
60,03/15/23 03:15:00 AM,127.0,60.55
61,03/15/23 03:30:00 AM,127.0,60.55
62,03/15/23 03:45:00 AM,126.6,60.42
63,03/15/23 04:00:00 AM,126.6,60.35
64,03/15/23 04:15:00 AM,126.2,60.35
65,03/15/23 04:30:00 AM,126.2,60.31
66,03/15/23 04:45:00 AM,126.2,60.31
67,03/15/23 05:00:00 AM,126.2,60.24
68,03/15/23 05:15:00 AM,126.2,60.24
69,03/15/23 05:30:00 AM,125.9,60.12
70,03/15/23 05:45:00 AM,125.9,60.15
71,03/15/23 06:00:00 AM,125.5,60.10
72,03/15/23 06:15:00 AM,125.5,59.95
73,03/15/23 06:30:00 AM,125.1,59.88
74,03/15/23 06:45:00 AM,125.1,59.86
75,03/15/23 07:00:00 AM,125.1,59.79
76,03/15/23 07:15:00 AM,125.1,59.76
77,03/15/23 07:30:00 AM,125.1,59.68
78,03/15/23 07:45:00 AM,124.7,59.65
79,03/15/23 08:00:00 AM,124.4,59.59
80,03/15/23 08:15:00 AM,124.8,59.50
81,03/15/23 08:30:00 AM,124.8,59.47
82,03/15/23 08:45:00 AM,124.4,59.40
83,03/15/23 09:00:00 AM,124.4,59.40
84,03/15/23 09:15:00 AM,124.4,59.43
85,03/15/23 09:30:00 AM,124.4,59.38
86,03/15/23 09:45:00 AM,124.4,59.31
87,03/15/23 10:00:00 AM,124.4,59.36
88,03/15/23 10:15:00 AM,124.4,59.36
89,03/15/23 10:30:00 AM,123.6,59.23
90,03/15/23 10:45:00 AM,124.0,59.23
91,03/15/23 11:00:00 AM,124.0,59.23
92,03/15/23 11:15:00 AM,124.4,59.29
93,03/15/23 11:30:00 AM,124.4,59.31
94,03/15/23 11:45:00 AM,124.0,59.31
95,03/15/23 12:00:00 PM,124.4,59.34
96,03/15/23 12:15:00 PM,124.4,59.38
97,03/15/23 12:30:00 PM,124.4,59.40
98,03/15/23 12:45:00 PM,124.0,59.45
99,03/15/23 01:00:00 PM,124.4,59.50
100,03/15/23 01:15:00 PM,124.4,59.58
101,03/15/23 01:30:00 PM,124.4,59.61
102,03/15/23 01:45:00 PM,124.4,59.67
103,03/15/23 02:00:00 PM,124.4,59.68
104,03/15/23 02:15:00 PM,124.4,59.74
105,03/15/23 02:30:00 PM,124.7,59.79
106,03/15/23 02:45:00 PM,124.3,59.83
107,03/15/23 03:00:00 PM,124.3,59.83
108,03/15/23 03:15:00 PM,124.3,59.83
109,03/15/23 03:30:00 PM,125.5,59.86
110,03/15/23 03:45:00 PM,124.3,59.83
111,03/15/23 04:00:00 PM,124.3,59.83
112,03/15/23 04:15:00 PM,124.3,59.83
113,03/15/23 04:30:00 PM,124.3,59.81
114,03/15/23 04:45:00 PM,124.7,59.83
115,03/15/23 05:00:00 PM,124.3,59.81
116,03/15/23 05:15:00 PM,124.3,59.83
117,03/15/23 05:30:00 PM,124.3,59.81
118,03/15/23 05:45:00 PM,124.3,59.79
119,03/15/23 06:00:00 PM,124.3,59.79
120,03/15/23 06:15:00 PM,124.4,59.76
121,03/15/23 06:30:00 PM,124.4,59.74
122,03/15/23 06:45:00 PM,124.0,59.74
123,03/15/23 07:00:00 PM,123.6,59.67
124,03/15/23 07:15:00 PM,123.6,59.61
125,03/15/23 07:30:00 PM,123.6,59.58
126,03/15/23 07:45:00 PM,123.2,59.54
127,03/15/23 08:00:00 PM,123.2,59.50
128,03/15/23 08:15:00 PM,123.2,59.45
129,03/15/23 08:30:00 PM,122.8,59.43
130,03/15/23 08:45:00 PM,122.8,59.38
131,03/15/23 09:00:00 PM,122.5,59.31
132,03/15/23 09:15:00 PM,122.5,59.27
133,03/15/23 09:30:00 PM,122.1,59.22
134,03/15/23 09:45:00 PM,122.1,59.16
135,03/15/23 10:00:00 PM,122.1,59.13
136,03/15/23 10:15:00 PM,122.1,59.07
137,03/15/23 10:30:00 PM,122.1,59.00
138,03/15/23 10:45:00 PM,121.7,58.95
139,03/15/23 11:00:00 PM,121.7,58.93
140,03/15/23 11:15:00 PM,121.4,58.86
141,03/15/23 11:30:00 PM,121.4,58.78
142,03/15/23 11:45:00 PM,121.4,58.78
143,03/16/23 12:00:00 AM,121.0,58.71
144,03/16/23 12:15:00 AM,121.0,58.66
145,03/16/23 12:30:00 AM,120.6,58.55
146,03/16/23 12:45:00 AM,120.6,58.51
147,03/16/23 01:00:00 AM,120.2,58.42
148,03/16/23 01:15:00 AM,120.6,58.41
149,03/16/23 01:30:00 AM,119.9,58.32
150,03/16/23 01:45:00 AM,120.2,58.26
151,03/16/23 02:00:00 AM,119.9,58.21
152,03/16/23 02:15:00 AM,119.5,58.14
153,03/16/23 02:30:00 AM,119.5,58.05
154,03/16/23 02:45:00 AM,119.5,57.96
155,03/16/23 03:00:00 AM,119.5,57.88
156,03/16/23 03:15:00 AM,119.1,57.83
157,03/16/23 03:30:00 AM,118.8,57.74
158,03/16/23 03:45:00 AM,118.8,57.70
159,03/16/23 04:00:00 AM,118.8,57.61
160,03/16/23 04:15:00 AM,118.4,57.54
161,03/16/23 04:30:00 AM,118.4,57.43
162,03/16/23 04:45:00 AM,118.4,57.40
163,03/16/23 05:00:00 AM,118.0,57.31
164,03/16/23 05:15:00 AM,118.0,57.25
165,03/16/23 05:30:00 AM,118.0,57.18
166,03/16/23 05:45:00 AM,118.0,57.11
167,03/16/23 06:00:00 AM,117.7,57.07
168,03/16/23 06:15:00 AM,117.7,56.93
169,03/16/23 06:30:00 AM,117.7,56.89
170,03/16/23 06:45:00 AM,117.3,56.80
171,03/16/23 07:00:00 AM,117.3,56.73
172,03/16/23 07:15:00 AM,116.9,56.66
173,03/16/23 07:30:00 AM,116.9,56.62
174,03/16/23 07:45:00 AM,116.9,56.59
175,03/16/23 08:00:00 AM,116.9,56.62
176,03/16/23 08:15:00 AM,117.3,56.62
177,03/16/23 08:30:00 AM,116.9,56.59
178,03/16/23 08:45:00 AM,116.9,56.57
179,03/16/23 09:00:00 AM,116.9,56.57
180,03/16/23 09:15:00 AM,116.9,56.70
181,03/16/23 09:30:00 AM,116.9,56.79
182,03/16/23 09:45:00 AM,116.9,56.79
183,03/16/23 10:00:00 AM,117.3,56.88
184,03/16/23 10:15:00 AM,117.3,56.95
185,03/16/23 10:30:00 AM,117.7,57.02
186,03/16/23 10:45:00 AM,117.6,57.11
187,03/16/23 11:00:00 AM,117.6,57.16
188,03/16/23 11:15:00 AM,117.6,57.31
189,03/16/23 11:30:00 AM,118.0,57.38
190,03/16/23 11:45:00 AM,118.0,57.47
191,03/16/23 12:00:00 PM,118.0,57.67
192,03/16/23 12:15:00 PM,118.4,57.78
193,03/16/23 12:30:00 PM,118.4,57.78
194,03/16/23 12:45:00 PM,118.4,57.96
195,03/16/23 01:00:00 PM,118.7,58.05
196,03/16/23 01:15:00 PM,118.7,58.10
197,03/16/23 01:30:00 PM,118.7,58.19
198,03/16/23 01:45:00 PM,119.1,58.33
199,03/16/23 02:00:00 PM,119.1,58.32
200,03/16/23 02:15:00 PM,119.1,58.35
201,03/16/23 02:30:00 PM,119.1,58.41
202,03/16/23 02:45:00 PM,119.5,58.48
203,03/16/23 03:00:00 PM,119.5,58.51
204,03/16/23 03:15:00 PM,119.5,58.64
205,03/16/23 03:30:00 PM,119.5,58.69
206,03/16/23 03:45:00 PM,119.4,58.78
207,03/16/23 04:00:00 PM,119.4,58.86
208,03/16/23 04:15:00 PM,119.4,58.87
209,03/16/23 04:30:00 PM,119.4,58.87
210,03/16/23 04:45:00 PM,119.8,58.95
211,03/16/23 05:00:00 PM,119.4,58.95
212,03/16/23 05:15:00 PM,119.4,58.95
213,03/16/23 05:30:00 PM,119.4,58.95
214,03/16/23 05:45:00 PM,119.4,58.98
215,03/16/23 06:00:00 PM,119.4,58.98
216,03/16/23 06:15:00 PM,119.4,58.98
217,03/16/23 06:30:00 PM,119.4,58.98
218,03/16/23 06:45:00 PM,119.4,59.00
219,03/16/23 07:00:00 PM,119.4,59.00
220,03/16/23 07:15:00 PM,119.4,58.98
221,03/16/23 07:30:00 PM,119.4,58.95
222,03/16/23 07:45:00 PM,119.4,58.91
