"Plot Title: Bradford_5_cond"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342071, SEN S/N: 20342071)","Full Range, μS/cm (LGR S/N: 20342071, SEN S/N: 20342071)","Temp, °F (LGR S/N: 20342071, SEN S/N: 20342071)","Coupler Detached (LGR S/N: 20342071, SEN S/N: 20342071)","Coupler Attached (LGR S/N: 20342071, SEN S/N: 20342071)","Stopped (LGR S/N: 20342071, SEN S/N: 20342071)","End Of File (LGR S/N: 20342071, SEN S/N: 20342071)"
1,01/27/25 11:00:00 AM,64.4,63.3,50.68,Logged,,,
2,01/27/25 12:00:00 PM,61.9,58.8,51.71,,,,
3,01/27/25 01:00:00 PM,60.9,57.3,52.45,,,,
4,01/27/25 02:00:00 PM,61.4,57.6,53.46,,,,
5,01/27/25 03:00:00 PM,62.0,58.3,54.18,,,,
6,01/27/25 04:00:00 PM,62.6,58.7,54.64,,,,
7,01/27/25 05:00:00 PM,62.6,58.7,54.77,,,,
8,01/27/25 06:00:00 PM,62.6,58.7,54.81,,,,
9,01/27/25 07:00:00 PM,62.5,58.7,54.72,,,,
10,01/27/25 08:00:00 PM,62.4,58.3,54.59,,,,
11,01/27/25 09:00:00 PM,62.3,58.3,54.48,,,,
12,01/27/25 10:00:00 PM,62.0,58.3,54.34,,,,
13,01/27/25 11:00:00 PM,62.0,58.3,54.21,,,,
14,01/28/25 12:00:00 AM,62.0,58.3,54.21,,,,
15,01/28/25 01:00:00 AM,62.0,58.3,54.23,,,,
16,01/28/25 02:00:00 AM,62.0,58.3,54.19,,,,
17,01/28/25 03:00:00 AM,62.0,58.3,54.18,,,,
18,01/28/25 04:00:00 AM,62.0,58.3,54.21,,,,
19,01/28/25 05:00:00 AM,62.0,58.3,54.25,,,,
20,01/28/25 06:00:00 AM,62.0,58.3,54.30,,,,
21,01/28/25 07:00:00 AM,62.0,58.3,54.28,,,,
22,01/28/25 08:00:00 AM,62.0,58.3,54.25,,,,
23,01/28/25 09:00:00 AM,62.1,58.3,54.37,,,,
24,01/28/25 10:00:00 AM,62.4,58.7,54.73,,,,
25,01/28/25 11:00:00 AM,62.8,59.0,55.24,,,,
26,01/28/25 12:00:00 PM,63.4,59.8,55.96,,,,
