"Plot Title: Bradford_9_cond_replace"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342065, SEN S/N: 20342065)","Temp, °F (LGR S/N: 20342065, SEN S/N: 20342065)","Coupler Detached (LGR S/N: 20342065, SEN S/N: 20342065)","Coupler Attached (LGR S/N: 20342065, SEN S/N: 20342065)","Stopped (LGR S/N: 20342065, SEN S/N: 20342065)","End Of File (LGR S/N: 20342065, SEN S/N: 20342065)"
1,03/25/24 04:00:00 PM,134.8,63.52,Logged,,,
2,03/25/24 05:00:00 PM,135.2,63.77,,,,
3,03/25/24 06:00:00 PM,135.2,63.79,,,,
4,03/25/24 07:00:00 PM,135.2,63.68,,,,
5,03/25/24 08:00:00 PM,135.2,63.55,,,,
6,03/25/24 09:00:00 PM,135.2,63.45,,,,
7,03/25/24 10:00:00 PM,135.2,63.23,,,,
8,03/25/24 11:00:00 PM,134.9,63.07,,,,
9,03/26/24 12:00:00 AM,134.9,62.92,,,,
10,03/26/24 01:00:00 AM,135.3,62.80,,,,
11,03/26/24 02:00:00 AM,136.0,62.74,,,,
12,03/26/24 03:00:00 AM,136.4,62.67,,,,
13,03/26/24 04:00:00 AM,136.4,62.64,,,,
14,03/26/24 05:00:00 AM,136.0,62.53,,,,
15,03/26/24 06:00:00 AM,136.0,62.47,,,,
16,03/26/24 07:00:00 AM,135.7,62.38,,,,
17,03/26/24 08:00:00 AM,134.9,62.35,,,,
18,03/26/24 09:00:00 AM,135.3,62.51,,,,
19,03/26/24 10:00:00 AM,136.0,62.87,,,,
20,03/26/24 11:00:00 AM,136.7,63.54,,,,
21,03/26/24 12:00:00 PM,137.4,64.11,,,,
22,03/26/24 01:00:00 PM,138.8,64.83,,,,
23,03/26/24 02:00:00 PM,139.5,65.46,,,,
24,03/26/24 03:00:00 PM,140.5,65.98,,,,
25,03/26/24 04:00:00 PM,141.2,66.24,,,,
26,03/26/24 05:00:00 PM,141.6,66.51,,,,
27,03/26/24 06:00:00 PM,141.6,66.60,,,,
28,03/26/24 07:00:00 PM,141.6,66.54,,,,
29,03/26/24 08:00:00 PM,141.6,66.45,,,,
30,03/26/24 09:00:00 PM,142.0,66.31,,,,
31,03/26/24 10:00:00 PM,141.2,66.16,,,,
32,03/26/24 11:00:00 PM,140.9,65.97,,,,
33,03/27/24 12:00:00 AM,140.9,65.80,,,,
34,03/27/24 01:00:00 AM,140.9,65.73,,,,
35,03/27/24 02:00:00 AM,140.9,65.70,,,,
36,03/27/24 03:00:00 AM,141.3,65.59,,,,
37,03/27/24 04:00:00 AM,140.9,65.55,,,,
38,03/27/24 05:00:00 AM,140.9,65.52,,,,
39,03/27/24 06:00:00 AM,140.6,65.44,,,,
40,03/27/24 07:00:00 AM,140.9,65.43,,,,
41,03/27/24 08:00:00 AM,140.9,65.39,,,,
42,03/27/24 09:00:00 AM,139.8,65.39,,,,
43,03/27/24 10:00:00 AM,138.4,65.32,,,,
44,03/27/24 11:00:00 AM,140.2,65.43,,,,
45,03/27/24 12:00:00 PM,140.6,65.48,,,,
46,03/27/24 01:00:00 PM,140.6,65.57,,,,
47,03/27/24 02:00:00 PM,140.9,65.62,,,,
48,03/27/24 03:00:00 PM,140.9,65.66,,,,
49,03/27/24 04:00:00 PM,141.3,65.59,,,,
50,03/27/24 05:00:00 PM,141.3,65.52,,,,
51,03/27/24 06:00:00 PM,140.9,65.46,,,,
52,03/27/24 07:00:00 PM,140.2,65.43,,,,
53,03/27/24 08:00:00 PM,139.8,65.35,,,,
54,03/27/24 09:00:00 PM,139.5,65.25,,,,
55,03/27/24 10:00:00 PM,139.5,65.14,,,,
56,03/27/24 11:00:00 PM,139.5,65.08,,,,
57,03/28/24 12:00:00 AM,139.5,64.94,,,,
58,03/28/24 01:00:00 AM,146.9,64.83,,,,
59,03/28/24 02:00:00 AM,148.3,64.72,,,,
60,03/28/24 03:00:00 AM,144.7,64.65,,,,
61,03/28/24 04:00:00 AM,137.0,64.58,,,,
62,03/28/24 05:00:00 AM,134.0,64.51,,,,
63,03/28/24 06:00:00 AM,134.4,64.40,,,,
64,03/28/24 07:00:00 AM,134.0,64.29,,,,
65,03/28/24 08:00:00 AM,134.4,64.13,,,,
66,03/28/24 09:00:00 AM,134.1,64.04,,,,
67,03/28/24 10:00:00 AM,134.4,64.06,,,,
68,03/28/24 11:00:00 AM,134.8,64.38,,,,
69,03/28/24 12:00:00 PM,134.7,64.94,,,,
70,03/28/24 01:00:00 PM,135.0,65.70,,,,
71,03/28/24 02:00:00 PM,134.2,66.40,,,,
72,03/28/24 03:00:00 PM,135.7,66.88,,,,
73,03/28/24 04:00:00 PM,135.7,67.06,,,,
74,03/28/24 05:00:00 PM,135.3,67.01,,,,
75,03/28/24 06:00:00 PM,135.3,66.78,,,,
76,03/28/24 07:00:00 PM,135.0,66.49,,,,
77,03/28/24 08:00:00 PM,134.3,66.02,,,,
78,03/28/24 09:00:00 PM,133.6,65.44,,,,
79,03/28/24 10:00:00 PM,156.1,64.96,,,,
80,03/28/24 11:00:00 PM,155.0,64.51,,,,
81,03/29/24 12:00:00 AM,153.6,64.04,,,,
82,03/29/24 01:00:00 AM,154.7,63.55,,,,
83,03/29/24 02:00:00 AM,153.3,63.09,,,,
84,03/29/24 03:00:00 AM,153.0,62.64,,,,
85,03/29/24 04:00:00 AM,129.4,62.08,,,,
86,03/29/24 05:00:00 AM,128.4,61.56,,,,
87,03/29/24 06:00:00 AM,127.7,60.96,,,,
88,03/29/24 07:00:00 AM,127.0,60.37,,,,
89,03/29/24 08:00:00 AM,126.3,59.97,,,,
90,03/29/24 09:00:00 AM,125.9,59.79,,,,
91,03/29/24 10:00:00 AM,126.3,59.94,,,,
92,03/29/24 11:00:00 AM,127.3,60.48,,,,
93,03/29/24 12:00:00 PM,128.4,61.25,,,,
94,03/29/24 01:00:00 PM,129.8,62.22,,,,
95,03/29/24 02:00:00 PM,131.2,62.94,,,,
96,03/29/24 03:00:00 PM,131.5,63.52,,,,
97,03/29/24 04:00:00 PM,132.6,63.77,,,,
98,03/29/24 05:00:00 PM,132.6,63.84,,,,
99,03/29/24 06:00:00 PM,133.0,63.64,,,,
100,03/29/24 07:00:00 PM,133.0,63.36,,,,
101,03/29/24 08:00:00 PM,133.4,62.91,,,,
102,03/29/24 09:00:00 PM,131.3,62.35,,,,
103,03/29/24 10:00:00 PM,130.9,61.79,,,,
104,03/29/24 11:00:00 PM,129.9,61.27,,,,
105,03/30/24 12:00:00 AM,131.4,60.75,,,,
106,03/30/24 01:00:00 AM,129.2,60.30,,,,
107,03/30/24 02:00:00 AM,127.4,59.85,,,,
108,03/30/24 03:00:00 AM,127.1,59.43,,,,
109,03/30/24 04:00:00 AM,126.7,59.00,,,,
110,03/30/24 05:00:00 AM,126.4,58.66,,,,
111,03/30/24 06:00:00 AM,125.7,58.28,,,,
112,03/30/24 07:00:00 AM,125.3,57.92,,,,
113,03/30/24 08:00:00 AM,130.1,57.78,,,,
114,03/30/24 09:00:00 AM,126.1,57.96,,,,
115,03/30/24 10:00:00 AM,126.4,58.41,,,,
116,03/30/24 11:00:00 AM,128.2,59.22,,,,
117,03/30/24 12:00:00 PM,128.8,60.17,,,,
118,03/30/24 01:00:00 PM,129.9,61.12,,,,
119,03/30/24 02:00:00 PM,131.7,61.95,,,,
120,03/30/24 03:00:00 PM,144.8,62.78,,,,
121,03/30/24 04:00:00 PM,148.1,63.25,,,,
122,03/30/24 05:00:00 PM,140.0,63.50,,,,
123,03/30/24 06:00:00 PM,142.2,63.50,,,,
124,03/30/24 07:00:00 PM,140.0,63.36,,,,
125,03/30/24 08:00:00 PM,144.5,62.96,,,,
126,03/30/24 09:00:00 PM,156.3,62.56,,,,
127,03/30/24 10:00:00 PM,148.9,62.10,,,,
