"Plot Title: Bradford_9_cond_replace"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342065, SEN S/N: 20342065)","Temp, °F (LGR S/N: 20342065, SEN S/N: 20342065)","Coupler Detached (LGR S/N: 20342065, SEN S/N: 20342065)","Coupler Attached (LGR S/N: 20342065, SEN S/N: 20342065)","Stopped (LGR S/N: 20342065, SEN S/N: 20342065)","End Of File (LGR S/N: 20342065, SEN S/N: 20342065)"
1,02/09/24 01:00:00 PM,124.0,56.12,Logged,,,
2,02/09/24 02:00:00 PM,125.0,56.77,,,,
3,02/09/24 03:00:00 PM,125.7,57.38,,,,
4,02/09/24 04:00:00 PM,126.4,57.79,,,,
5,02/09/24 05:00:00 PM,127.2,57.97,,,,
6,02/09/24 06:00:00 PM,127.2,58.06,,,,
7,02/09/24 07:00:00 PM,126.8,57.88,,,,
8,02/09/24 08:00:00 PM,126.5,57.54,,,,
9,02/09/24 09:00:00 PM,126.1,57.20,,,,
10,02/09/24 10:00:00 PM,125.8,56.88,,,,
11,02/09/24 11:00:00 PM,125.8,56.64,,,,
12,02/10/24 12:00:00 AM,125.4,56.44,,,,
13,02/10/24 01:00:00 AM,124.7,56.32,,,,
14,02/10/24 02:00:00 AM,124.7,56.16,,,,
15,02/10/24 03:00:00 AM,124.4,55.98,,,,
16,02/10/24 04:00:00 AM,124.4,55.78,,,,
17,02/10/24 05:00:00 AM,124.0,55.62,,,,
18,02/10/24 06:00:00 AM,123.7,55.44,,,,
19,02/10/24 07:00:00 AM,123.7,55.24,,,,
20,02/10/24 08:00:00 AM,123.3,55.13,,,,
21,02/10/24 09:00:00 AM,123.3,55.17,,,,
22,02/10/24 10:00:00 AM,124.4,55.53,,,,
23,02/10/24 11:00:00 AM,124.7,56.07,,,,
24,02/10/24 12:00:00 PM,126.1,56.88,,,,
25,02/10/24 01:00:00 PM,127.2,57.63,,,,
26,02/10/24 02:00:00 PM,128.2,58.39,,,,
27,02/10/24 03:00:00 PM,128.9,58.96,,,,
28,02/10/24 04:00:00 PM,130.0,59.38,,,,
29,02/10/24 05:00:00 PM,130.0,59.50,,,,
30,02/10/24 06:00:00 PM,130.0,59.52,,,,
31,02/10/24 07:00:00 PM,130.0,59.31,,,,
32,02/10/24 08:00:00 PM,129.7,59.00,,,,
33,02/10/24 09:00:00 PM,129.0,58.68,,,,
34,02/10/24 10:00:00 PM,129.0,58.37,,,,
35,02/10/24 11:00:00 PM,128.3,58.12,,,,
36,02/11/24 12:00:00 AM,128.3,58.01,,,,
37,02/11/24 01:00:00 AM,128.3,57.87,,,,
38,02/11/24 02:00:00 AM,127.9,57.69,,,,
39,02/11/24 03:00:00 AM,127.6,57.51,,,,
40,02/11/24 04:00:00 AM,128.0,57.33,,,,
41,02/11/24 05:00:00 AM,127.2,57.15,,,,
42,02/11/24 06:00:00 AM,127.2,57.02,,,,
43,02/11/24 07:00:00 AM,126.9,56.86,,,,
44,02/11/24 08:00:00 AM,126.2,56.70,,,,
45,02/11/24 09:00:00 AM,126.5,56.77,,,,
46,02/11/24 10:00:00 AM,127.2,57.16,,,,
47,02/11/24 11:00:00 AM,128.3,57.87,,,,
48,02/11/24 12:00:00 PM,129.7,58.89,,,,
49,02/11/24 01:00:00 PM,131.1,59.85,,,,
50,02/11/24 02:00:00 PM,132.1,60.75,,,,
51,02/11/24 03:00:00 PM,133.2,61.30,,,,
52,02/11/24 04:00:00 PM,133.5,61.63,,,,
53,02/11/24 05:00:00 PM,133.9,61.79,,,,
54,02/11/24 06:00:00 PM,133.9,61.72,,,,
55,02/11/24 07:00:00 PM,133.9,61.56,,,,
56,02/11/24 08:00:00 PM,133.5,61.34,,,,
57,02/11/24 09:00:00 PM,133.6,61.11,,,,
58,02/11/24 10:00:00 PM,133.2,60.91,,,,
59,02/11/24 11:00:00 PM,133.2,60.73,,,,
60,02/12/24 12:00:00 AM,132.9,60.57,,,,
61,02/12/24 01:00:00 AM,132.5,60.46,,,,
62,02/12/24 02:00:00 AM,132.1,60.37,,,,
63,02/12/24 03:00:00 AM,132.5,60.30,,,,
64,02/12/24 04:00:00 AM,132.5,60.30,,,,
65,02/12/24 05:00:00 AM,132.2,60.22,,,,
66,02/12/24 06:00:00 AM,132.2,60.13,,,,
67,02/12/24 07:00:00 AM,132.5,60.04,,,,
68,02/12/24 08:00:00 AM,132.5,60.03,,,,
69,02/12/24 09:00:00 AM,132.2,60.12,,,,
70,02/12/24 10:00:00 AM,132.9,60.37,,,,
71,02/12/24 11:00:00 AM,133.6,60.87,,,,
72,02/12/24 12:00:00 PM,133.9,61.34,,,,
73,02/12/24 01:00:00 PM,134.6,61.72,,,,
74,02/12/24 02:00:00 PM,135.3,62.10,,,,
75,02/12/24 03:00:00 PM,135.3,62.49,,,,
76,02/12/24 04:00:00 PM,136.4,62.91,,,,
77,02/12/24 05:00:00 PM,136.7,63.10,,,,
78,02/12/24 06:00:00 PM,131.2,63.25,,,,
79,02/12/24 07:00:00 PM,134.5,63.30,,,,
80,02/12/24 08:00:00 PM,134.5,63.12,,,,
81,02/12/24 09:00:00 PM,134.1,63.03,,,,
82,02/12/24 10:00:00 PM,134.5,62.94,,,,
83,02/12/24 11:00:00 PM,134.5,62.78,,,,
84,02/13/24 12:00:00 AM,134.2,62.56,,,,
85,02/13/24 01:00:00 AM,133.8,62.24,,,,
86,02/13/24 02:00:00 AM,133.5,61.92,,,,
87,02/13/24 03:00:00 AM,132.8,61.57,,,,
88,02/13/24 04:00:00 AM,132.1,61.21,,,,
89,02/13/24 05:00:00 AM,132.1,60.87,,,,
90,02/13/24 06:00:00 AM,131.4,60.60,,,,
