"Plot Title: Bradford_6DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20358767, SEN S/N: 20358767)","Temp, °F (LGR S/N: 20358767, SEN S/N: 20358767)"
1,03/13/23 03:00:00 PM,3.69,65.34
2,03/13/23 03:15:00 PM,3.66,65.34
3,03/13/23 03:30:00 PM,3.64,65.34
4,03/13/23 03:45:00 PM,3.62,65.37
5,03/13/23 04:00:00 PM,3.59,65.41
6,03/13/23 04:15:00 PM,3.59,65.41
7,03/13/23 04:30:00 PM,3.60,65.48
8,03/13/23 04:45:00 PM,3.54,65.44
9,03/13/23 05:00:00 PM,3.50,65.37
10,03/13/23 05:15:00 PM,3.44,65.30
11,03/13/23 05:30:00 PM,3.41,65.23
12,03/13/23 05:45:00 PM,3.38,65.12
13,03/13/23 06:00:00 PM,3.36,65.01
14,03/13/23 06:15:00 PM,3.36,64.87
15,03/13/23 06:30:00 PM,3.35,64.76
16,03/13/23 06:45:00 PM,3.34,64.62
17,03/13/23 07:00:00 PM,3.33,64.47
18,03/13/23 07:15:00 PM,3.34,64.33
19,03/13/23 07:30:00 PM,3.34,64.18
20,03/13/23 07:45:00 PM,3.36,64.08
21,03/13/23 08:00:00 PM,3.34,63.97
22,03/13/23 08:15:00 PM,3.35,63.90
23,03/13/23 08:30:00 PM,3.36,63.79
24,03/13/23 08:45:00 PM,3.35,63.72
25,03/13/23 09:00:00 PM,3.33,63.68
26,03/13/23 09:15:00 PM,3.35,63.61
27,03/13/23 09:30:00 PM,3.35,63.57
28,03/13/23 09:45:00 PM,3.35,63.50
29,03/13/23 10:00:00 PM,3.36,63.43
30,03/13/23 10:15:00 PM,3.38,63.36
31,03/13/23 10:30:00 PM,3.39,63.25
32,03/13/23 10:45:00 PM,3.38,63.18
33,03/13/23 11:00:00 PM,3.38,63.10
34,03/13/23 11:15:00 PM,3.39,63.07
35,03/13/23 11:30:00 PM,3.38,63.00
36,03/13/23 11:45:00 PM,3.39,62.92
37,03/14/23 12:00:00 AM,3.38,62.85
38,03/14/23 12:15:00 AM,3.39,62.78
39,03/14/23 12:30:00 AM,3.40,62.74
40,03/14/23 12:45:00 AM,3.40,62.67
41,03/14/23 01:00:00 AM,3.39,62.56
42,03/14/23 01:15:00 AM,3.40,62.49
43,03/14/23 01:30:00 AM,3.40,62.42
44,03/14/23 01:45:00 AM,3.42,62.31
45,03/14/23 02:00:00 AM,3.42,62.24
46,03/14/23 02:15:00 AM,3.43,62.13
47,03/14/23 02:30:00 AM,3.45,62.06
48,03/14/23 02:45:00 AM,3.45,61.95
49,03/14/23 03:00:00 AM,3.44,61.84
50,03/14/23 03:15:00 AM,3.45,61.77
51,03/14/23 03:30:00 AM,3.44,61.66
52,03/14/23 03:45:00 AM,3.46,61.56
53,03/14/23 04:00:00 AM,3.47,61.45
54,03/14/23 04:15:00 AM,3.49,61.38
55,03/14/23 04:30:00 AM,3.50,61.30
56,03/14/23 04:45:00 AM,3.49,61.23
57,03/14/23 05:00:00 AM,3.50,61.16
58,03/14/23 05:15:00 AM,3.51,61.09
59,03/14/23 05:30:00 AM,3.50,61.02
60,03/14/23 05:45:00 AM,3.50,60.94
61,03/14/23 06:00:00 AM,3.52,60.87
62,03/14/23 06:15:00 AM,3.50,60.80
63,03/14/23 06:30:00 AM,3.47,60.73
64,03/14/23 06:45:00 AM,3.51,60.66
65,03/14/23 07:00:00 AM,3.51,60.58
66,03/14/23 07:15:00 AM,3.50,60.51
67,03/14/23 07:30:00 AM,3.51,60.44
68,03/14/23 07:45:00 AM,3.54,60.44
69,03/14/23 08:00:00 AM,3.56,60.44
70,03/14/23 08:15:00 AM,3.57,60.48
71,03/14/23 08:30:00 AM,3.60,60.48
