Date,Rep,V,CDOM,CO2
6/2/2023 15:00,0,13.15,4509,34.87531
6/2/2023 16:00,1,13.1,17.09,36.69844
6/2/2023 17:00,2,13.09,14,38.09064
6/2/2023 18:00,3,13.06,13.05,38.33396
6/2/2023 19:00,4,13.05,8.88,34.4145
6/2/2023 20:00,5,13.04,12.88,38.42847
6/2/2023 21:00,6,13.03,12.92,39.3017
6/2/2023 22:00,7,13.02,12.58,39.72164
6/2/2023 23:00,8,13.01,12.51,40.40681
6/3/2023 0:00,9,13.01,8.8,40.45101
6/3/2023 1:00,10,13,11.6,40.72379
6/3/2023 2:00,11,12.99,12.39,40.76126
6/3/2023 3:00,12,12.98,9.72,41.29391
6/3/2023 4:00,13,12.97,11.84,41.11703
6/3/2023 5:00,14,12.97,13.95,41.09492
6/3/2023 6:00,15,12.97,9.06,41.64065
6/3/2023 7:00,16,12.97,12.73,40.92039
6/3/2023 8:00,17,12.97,13.12,41.16035
6/3/2023 9:00,18,12.98,8.84,40.92037
6/3/2023 10:00,19,12.99,8.78,41.47404
6/3/2023 11:00,20,13,12.24,41.11411
6/3/2023 12:00,21,13.03,11.29,40.50629
6/3/2023 13:00,22,13.03,8.85,40.19161
6/3/2023 14:00,23,13,9.29,38.88643
6/3/2023 15:00,24,13.01,13.73,38.17906
6/3/2023 16:00,25,13.02,8.88,38.51053
6/3/2023 17:00,26,13,9.41,38.06857
6/3/2023 18:00,27,13,13.03,38.12381
6/3/2023 19:00,28,12.99,9.38,38.02503
6/3/2023 20:00,29,12.98,10.34,38.08492
6/3/2023 21:00,30,12.97,11.72,38.21869
6/3/2023 22:00,31,12.97,8.75,36.75994
6/3/2023 23:00,32,12.96,13.08,36.9257
6/4/2023 0:00,33,12.95,8.85,37.05832
6/4/2023 1:00,34,12.94,8.99,36.89494
6/4/2023 2:00,35,12.93,17.74,37.89367
6/4/2023 3:00,36,12.93,11.51,37.67883
6/4/2023 4:00,37,12.92,13.4,37.57942
6/4/2023 5:00,38,12.91,10.71,38.83973
6/4/2023 6:00,39,12.91,11.57,39.55565
6/4/2023 7:00,40,12.91,13.18,41.05562
6/4/2023 8:00,41,12.91,21.56,41.6955
6/4/2023 9:00,42,12.93,21.75,41.58476
6/4/2023 10:00,43,12.94,15.27,41.25256
6/4/2023 11:00,44,12.93,13.33,41.3595
6/4/2023 12:00,45,12.92,11.23,40.5284
6/4/2023 13:00,46,12.92,9.5,40.25212
6/4/2023 14:00,47,12.94,14.41,38.83757
6/4/2023 15:00,48,12.92,12.06,40.24862
6/4/2023 16:00,49,12.91,13.18,40.63834
6/4/2023 17:00,50,12.91,13.11,39.68848
6/4/2023 18:00,51,12.9,11.88,41.27985
6/4/2023 19:00,52,12.89,12.86,41.14183
6/4/2023 20:00,53,12.89,8.82,41.03109
6/4/2023 21:00,54,12.88,12.84,40.90411
6/4/2023 22:00,55,12.88,13.11,41.36329
6/4/2023 23:00,56,12.87,8.67,42.24916
6/5/2023 0:00,57,12.87,10.53,43.6887
6/5/2023 1:00,58,12.87,8.75,43.91017
6/5/2023 2:00,59,12.86,9.08,44.40847
6/5/2023 3:00,60,12.86,11.9,44.68531
6/5/2023 4:00,61,12.84,12.88,44.85141
6/5/2023 5:00,62,12.84,12.87,44.85141
6/5/2023 6:00,63,12.84,8.8,45.40508
6/5/2023 7:00,64,12.84,8.81,40.80963
6/5/2023 8:00,65,12.84,12.29,45.40508
6/5/2023 9:00,66,12.86,25.98,44.24237
6/5/2023 10:00,67,12.86,11.69,42.96893
6/5/2023 11:00,68,12.87,13.47,42.74609
6/5/2023 12:00,69,12.94,9.59,41.74457
6/5/2023 13:00,70,12.89,9.46,44.84378
6/5/2023 13:20,0,12.88,NAN,31.23969
6/5/2023 13:20,1,12.87,5.490035,31.7811
6/5/2023 13:20,2,12.87,5.598988,31.97998
6/5/2023 13:20,3,12.87,5.91576,32.4109
6/5/2023 13:21,4,12.87,6.408067,31.60431
6/5/2023 13:21,5,12.87,5229.196,32.70922
6/5/2023 13:21,6,12.88,2675.307,15.34004
6/5/2023 13:21,7,12.87,8.248729,27.5051
6/5/2023 13:21,8,12.87,7.866159,26.38914
6/5/2023 14:00,0,12.92,1144.611,32.43454
6/5/2023 15:00,1,12.88,6.821283,32.7856
6/5/2023 16:00,2,12.87,7.503411,32.88531
6/5/2023 17:00,3,12.86,8.185539,31.11923
6/5/2023 18:00,4,12.85,5.457026,30.00552
6/5/2023 19:00,5,12.84,7.503411,33.40978
6/5/2023 20:00,6,12.84,5.457026,32.20527
6/5/2023 21:00,7,12.83,5.457026,35.29943
6/5/2023 22:00,8,12.82,5.457026,42.41526
6/5/2023 23:00,9,12.81,8.185539,42.526
6/6/2023 0:00,10,12.8,5.457412,38.15241
6/6/2023 1:00,11,12.8,8.186757,40.5733
6/6/2023 2:00,12,12.79,8.187618,40.47382
6/6/2023 3:00,13,12.78,7.50573,40.17535
6/6/2023 4:00,14,12.78,8.188301,40.4296
6/6/2023 5:00,15,12.77,5.458886,18.59733
6/6/2023 6:00,16,12.76,8.188684,19.49273
6/6/2023 7:00,17,12.76,5.460296,19.61432
6/6/2023 8:00,18,12.76,6.141666,18.08883
6/6/2023 9:00,19,12.78,8.187437,38.6388
6/6/2023 10:00,20,12.78,8.185545,38.06219
6/6/2023 11:00,21,12.8,8.185543,37.81897
6/6/2023 12:00,22,12.87,6.821285,36.32714
6/6/2023 13:00,23,12.82,6.139157,36.28096
6/6/2023 14:00,24,12.81,8.185543,35.19695
6/6/2023 15:00,25,12.81,14.3247,34.15674
6/6/2023 16:00,26,12.8,8.185543,33.8259
6/6/2023 17:00,27,12.8,5.457028,33.17401
6/6/2023 18:00,28,12.79,5.457028,33.91765
6/6/2023 19:00,29,12.78,5.457028,32.61414
