Date,,,FDOM,CO2
8/16/2023 0:00,4471,11.95,1.868239,
8/16/2023 1:00,4472,11.95,1.86981,
8/16/2023 2:00,4473,11.94,1.847271,
8/16/2023 3:00,4474,11.94,4.190643,
8/16/2023 4:00,4475,11.94,3.938911,
8/16/2023 5:00,4476,11.93,3.875979,
8/16/2023 6:00,4477,11.93,3.836648,
8/16/2023 7:00,4478,11.93,3.726514,
8/16/2023 8:00,4479,11.93,3.742248,
8/16/2023 10:00,4480,12.93,3.152818,
8/16/2023 11:00,4481,12.97,2.948166,
8/16/2023 12:00,4482,12.95,2.971448,
8/16/2023 13:00,4483,12.96,2.873922,
8/16/2023 14:00,4484,12.94,2.893293,
8/16/2023 15:00,4485,12.93,1.899486,
8/16/2023 16:00,4486,12.93,1.911609,
8/16/2023 17:00,4487,12.93,1.812347,
8/16/2023 18:00,4488,12.92,1.807726,
8/16/2023 19:00,4489,12.92,1.940251,
8/16/2023 20:00,4490,12.92,1.820869,
8/16/2023 21:00,4491,12.91,1.745692,
8/16/2023 22:00,4492,12.91,1.807705,
8/16/2023 23:00,4493,12.91,1.627932,
8/17/2023 0:00,4494,12.9,1.502353,
8/17/2023 1:00,4495,12.9,1.659678,
8/17/2023 2:00,4496,12.9,1.797665,
8/17/2023 3:00,4497,12.9,1.822464,
8/17/2023 4:00,4498,12.9,2.237887,
8/17/2023 5:00,4499,12.89,2.254132,
8/17/2023 6:00,4500,12.88,2.115401,
8/17/2023 7:00,4501,12.88,2.760962,
8/17/2023 8:00,4502,12.88,3.25452,
8/17/2023 9:00,4503,12.9,3.293855,
8/17/2023 10:00,4504,12.92,3.624253,
8/17/2023 11:00,4505,12.94,3.938916,
8/17/2023 12:00,4506,12.9,2.725736,
8/17/2023 13:00,4507,12.93,2.448188,
8/17/2023 14:00,4508,12.98,2.666862,
8/17/2023 15:00,4509,12.89,3.03429,
8/17/2023 16:00,4510,12.89,3.238784,
8/17/2023 17:00,4511,12.9,3.569181,
8/17/2023 18:00,4512,12.88,3.828779,
8/17/2023 19:00,4513,12.87,3.639981,
8/17/2023 20:00,4514,12.87,3.254517,
8/17/2023 21:00,4515,12.87,3.144386,
8/17/2023 22:00,4516,12.86,2.971321,
8/17/2023 23:00,4517,12.86,3.049987,
8/18/2023 0:00,4518,12.85,3.427584,
8/18/2023 1:00,4519,12.85,3.175852,
8/18/2023 2:00,4520,12.85,3.230919,
8/18/2023 3:00,4521,12.85,3.584917,
8/18/2023 4:00,4522,12.84,3.348919,
8/18/2023 5:00,4523,12.84,3.978244,
8/18/2023 6:00,4524,12.83,4.418778,
8/18/2023 7:00,4525,12.84,4.269313,
8/18/2023 8:00,4526,12.84,4.426649,
8/18/2023 9:00,4527,12.85,4.796378,
8/18/2023 10:00,4528,12.87,4.961575,
8/18/2023 11:00,4529,12.9,5.048108,
8/18/2023 12:00,4530,12.88,5.402315,
8/18/2023 13:00,4531,12.88,5.43393,
8/18/2023 14:00,4532,12.89,5.00125,
8/18/2023 15:00,4533,12.87,5.150722,
8/18/2023 16:00,4534,12.87,5.142858,
8/18/2023 17:00,4535,12.87,5.150895,
8/18/2023 18:00,4536,12.85,5.14307,
8/18/2023 19:00,4537,12.84,4.867751,
8/18/2023 20:00,4538,12.84,4.741758,
8/18/2023 21:00,4539,12.83,4.411182,
