Date,Rep,V,CDOM,CO2
6/12/2023 15:00,33914,11.69,NAN,3232.607
6/12/2023 16:00,33915,11.67,NAN,3228.514
6/12/2023 17:00,33916,11.67,1.20099,3229.197
6/12/2023 18:00,33917,11.65,1.233909,3239.428
6/12/2023 19:00,33918,11.64,1.136976,3241.475
6/12/2023 20:00,33919,11.63,1.204282,3246.932
6/12/2023 21:00,33920,11.63,1.236103,3246.932
6/12/2023 22:00,33921,11.61,1.185826,3251.707
6/12/2023 23:00,33922,11.61,1.20099,3249.66
6/13/2023 0:00,33923,11.6,1.147538,3250.343
6/13/2023 1:00,33924,11.6,1.132958,3252.389
6/13/2023 2:00,33925,11.59,NAN,3251.707
6/13/2023 3:00,33926,11.58,1.156034,3253.071
6/13/2023 4:00,33927,11.56,1.130917,3255.117
6/13/2023 5:00,33928,11.55,1.220944,3253.071
6/13/2023 6:00,33929,11.48,1.220974,3255.117
6/13/2023 7:00,33930,11.57,NAN,3251.025
6/13/2023 8:00,33931,11.58,1.164858,3246.25
6/13/2023 9:00,33932,11.58,1.155464,3240.793
6/13/2023 10:00,33933,11.58,1.219644,3237.382
6/13/2023 11:00,33934,11.59,1.184531,3232.607
6/13/2023 12:00,33935,11.59,NAN,3231.243
6/13/2023 13:00,33936,11.57,1.233909,3227.832
6/13/2023 14:00,33937,11.57,1.304135,3229.879
6/13/2023 15:00,33938,11.57,1.192212,3228.514
6/13/2023 16:00,33939,11.57,1.202087,3225.786
6/13/2023 17:00,33940,11.57,NAN,3228.514
6/13/2023 18:00,33941,11.53,NAN,3237.382
6/13/2023 19:00,33942,11.5,1.191234,3243.521
6/13/2023 20:00,33943,11.48,1.225183,3244.885
6/13/2023 21:00,33944,11.52,NAN,3244.203
6/13/2023 22:00,33945,11.51,1.152773,3250.343
6/13/2023 23:00,33946,11.5,1.207746,3251.707
6/14/2023 0:00,33947,11.49,1.21657,3253.071
6/14/2023 1:00,33948,11.47,1.186953,3257.164
6/14/2023 2:00,33949,11.47,NAN,3255.117
6/14/2023 3:00,33950,11.46,1.21001,3255.8
6/14/2023 4:00,33951,11.45,NAN,3259.21
6/14/2023 5:00,33952,11.44,1.195873,3259.21
6/14/2023 6:00,33953,11.42,NAN,3257.846
6/14/2023 7:00,33954,11.41,1.225563,3255.117
6/14/2023 8:00,33955,11.43,1.192466,3246.25
6/14/2023 9:00,33956,11.42,NAN,3244.885
6/14/2023 10:00,33957,11.45,1.263544,3239.428
6/14/2023 11:00,33958,11.45,NAN,3233.971
6/14/2023 12:00,33959,11.42,NAN,3235.336
6/14/2023 13:00,33960,11.45,1.254757,3227.15
6/14/2023 14:00,33961,11.43,1.295357,3229.197
6/14/2023 15:00,33962,11.44,1.29426,3227.15
6/14/2023 16:00,33963,11.42,NAN,3229.879
6/14/2023 17:00,33964,11.41,1.132967,3236.7
6/14/2023 18:00,33965,11.39,1.216375,3239.428
6/14/2023 19:00,33966,11.38,1.214162,3240.793
6/14/2023 20:00,33967,11.37,1.170659,3242.839
6/14/2023 21:00,33968,11.35,NAN,3244.203
6/14/2023 22:00,33969,11.34,1.167144,3263.303
6/14/2023 23:00,33970,11.32,1.120692,3265.349
6/15/2023 0:00,33971,11.31,1.100452,3261.257
6/15/2023 1:00,33972,11.29,1.033409,3263.985
6/15/2023 2:00,33973,11.28,1.053268,3261.257
6/15/2023 3:00,33974,11.27,1.077417,3261.257
6/15/2023 4:00,33975,11.24,0.9964291,3261.939
6/15/2023 5:00,33976,11.24,1.010627,3259.892
6/15/2023 6:00,33977,11.22,1.060154,3261.259
6/15/2023 7:00,33978,11.2,1.023631,3259.894
6/15/2023 8:00,33979,11.24,1.031315,3255.8
6/15/2023 9:00,33980,11.25,1.167395,3251.025
6/15/2023 10:00,33981,11.25,1.066231,3247.614
6/15/2023 11:00,33982,11.3,1.135514,3240.111
6/15/2023 12:00,33983,11.23,1.075902,3242.839
6/15/2023 13:00,33984,11.23,1.07151,3242.157
6/15/2023 14:00,33985,11.2,1.032118,3266.714
6/15/2023 15:00,33986,11.19,0.9844821,3264.667
6/15/2023 16:00,33987,11.16,1.02912,3265.349
6/15/2023 17:00,33988,11.15,0.9677035,3261.948
6/15/2023 18:00,33989,11.12,1.023631,3264.738
6/15/2023 19:00,33990,11.11,1.040013,3262.621
6/15/2023 20:00,33991,11.09,1.062135,3265.349
6/15/2023 21:00,33992,11.08,1.037371,3263.303
6/15/2023 22:00,33993,11.06,0.9984102,3260.603
6/15/2023 23:00,33994,11.03,0.9928969,3265.364
6/16/2023 0:00,33995,11.01,1.076319,3261.939
6/16/2023 1:00,33996,10.99,0.9914765,3262.621
6/16/2023 2:00,33997,10.96,1.067538,3263.352
6/16/2023 3:00,33998,10.94,1.076002,3261.345
6/16/2023 4:00,33999,10.93,1.107053,3260.577
6/16/2023 5:00,34000,10.89,1.092784,3257.164
6/16/2023 6:00,34001,10.85,1.079612,3258.528
6/16/2023 7:00,34002,10.83,1.065327,3258.528
6/16/2023 8:00,34003,10.81,1.101387,3255.8
6/16/2023 9:00,34004,10.8,1.103548,3249.66
6/16/2023 10:00,34005,10.86,1.048285,3244.885
6/16/2023 11:00,34006,10.87,1.094729,3244.203
6/16/2023 12:00,34007,10.94,1.074802,3241.475
6/16/2023 13:00,34008,10.93,1.0604,3240.111
6/16/2023 14:00,34009,10.83,1.089446,3244.885
6/16/2023 15:00,34010,10.81,1.052856,3246.25
6/16/2023 16:00,34011,10.79,1.120888,3244.203
6/16/2023 17:00,34012,10.75,1.13625,3245.568
6/16/2023 18:00,34013,10.69,1.154904,3249.66
6/16/2023 19:00,34014,10.61,1.112127,3251.707
6/16/2023 20:00,34015,10.53,1.154217,3255.8
6/16/2023 21:00,34016,10.41,1.084875,3261.257
6/16/2023 22:00,34017,10.2,1.119369,3262.621
7/7/2023 13:00,34018,13.14,1.16544,3229.877
7/7/2023 14:00,34019,12.99,1.17529,3244.884
7/7/2023 15:00,34020,12.97,1.214811,3247.613
7/7/2023 16:00,34021,12.99,1.179682,3246.249
7/7/2023 17:00,34022,12.94,NAN,3243.52
7/7/2023 18:00,34023,12.93,1.197247,3254.434
7/7/2023 19:00,34024,12.92,1.224692,3250.341
7/7/2023 20:00,34025,12.9,1.202736,3250.343
7/7/2023 21:00,34026,12.89,NAN,3253.075
7/7/2023 22:00,34027,12.88,1.296049,3253.824
7/7/2023 23:00,34028,12.88,1.275191,3254.444
7/8/2023 0:00,34029,12.87,NAN,3253.117
7/8/2023 1:00,34030,12.86,1.310321,3255.12
7/8/2023 2:00,34031,12.85,1.252137,3254.674
7/8/2023 3:00,34032,12.85,NAN,3256.07
7/8/2023 4:00,34033,12.84,1.238963,3254.782
7/8/2023 5:00,34034,12.84,1.256528,3261.462
7/8/2023 6:00,34035,12.84,1.281778,3262.114
7/8/2023 7:00,34036,12.84,1.292756,3261.397
7/8/2023 8:00,34037,12.87,1.289462,3261.257
7/8/2023 9:00,34038,12.9,1.390461,3259.892
7/8/2023 10:00,34039,12.92,1.242257,3260.574
7/8/2023 11:00,34040,12.95,1.230181,3258.528
7/8/2023 12:00,34041,12.96,1.324592,3259.21
7/8/2023 13:00,34042,12.93,1.25543,3256.482
7/8/2023 14:00,34043,12.96,1.254333,3255.117
7/8/2023 15:00,34044,12.94,1.23567,3257.164
7/8/2023 16:00,34045,12.88,1.227985,3257.846
7/8/2023 17:00,34046,12.89,1.218105,3255.8
7/8/2023 18:00,34047,12.87,NAN,3258.528
7/8/2023 19:00,34048,12.86,1.188464,3258.528
7/8/2023 20:00,34049,12.84,1.281778,3258.528
7/8/2023 21:00,34050,12.84,NAN,3258.528
7/8/2023 22:00,34051,12.83,1.313614,3259.892
7/8/2023 23:00,34052,12.83,1.236768,3260.575
7/9/2023 0:00,34053,12.82,1.20054,3260.574
7/9/2023 1:00,34054,12.82,1.286169,3258.528
7/9/2023 2:00,34055,12.81,1.193953,3258.528
7/9/2023 3:00,34056,12.8,1.265311,3258.528
7/9/2023 4:00,34057,12.8,1.276289,3258.558
7/9/2023 5:00,34058,12.8,NAN,3259.904
7/9/2023 6:00,34059,12.79,NAN,3260.574
7/9/2023 7:00,34060,12.8,1.327886,3258.53
7/9/2023 8:00,34061,12.8,NAN,3259.21
7/9/2023 9:00,34062,12.82,1.289462,3258.528
7/9/2023 10:00,34063,12.83,NAN,3260.574
7/9/2023 11:00,34064,12.8,1.237865,3258.528
7/9/2023 12:00,34065,12.84,1.183106,3257.846
7/9/2023 13:00,34066,12.85,1.291658,3259.892
7/9/2023 14:00,34067,12.94,1.221398,3259.892
7/9/2023 15:00,34068,12.91,1.266408,3258.528
7/9/2023 16:00,34069,12.8,1.259822,3259.892
7/9/2023 17:00,34070,12.81,1.244452,3259.892
7/9/2023 18:00,34071,12.79,1.309223,3257.164
7/9/2023 19:00,34072,12.78,1.203833,3259.892
7/9/2023 20:00,34073,12.77,1.296049,3259.21
7/9/2023 21:00,34074,12.76,1.269702,3258.528
7/9/2023 22:00,34075,12.75,1.249941,3258.528
7/9/2023 23:00,34076,12.75,NAN,3260.574
7/10/2023 0:00,34077,12.74,1.260919,3259.212
7/10/2023 1:00,34078,12.74,1.337766,3259.21
7/10/2023 2:00,34079,12.73,1.322397,3261.257
7/10/2023 3:00,34080,12.73,1.31581,3258.528
7/10/2023 4:00,34081,12.72,1.331179,3260.574
7/10/2023 5:00,34082,12.72,1.276289,3259.892
7/10/2023 6:00,34083,12.72,1.32569,3261.257
7/10/2023 7:00,34084,12.72,1.338864,3259.894
7/10/2023 8:00,34085,12.73,1.31581,3261.257
7/10/2023 9:00,34086,12.76,1.320201,3259.21
7/10/2023 10:00,34087,12.82,1.321299,3258.528
7/10/2023 11:00,34088,12.71,1.282876,3261.257
7/10/2023 12:00,34089,12.7,1.371798,3261.257
7/10/2023 13:00,34090,12.69,1.320201,3261.26
7/10/2023 14:00,34091,12.7,1.427786,3260.003
7/10/2023 15:00,34092,12.7,1.333375,3262.624
7/10/2023 16:00,34093,12.7,1.215909,3260.574
7/10/2023 17:00,34094,12.7,1.324592,3261.939
7/10/2023 18:00,34095,12.68,1.271897,3260.574
7/10/2023 19:00,34096,12.68,NAN,3262.621
7/10/2023 20:00,34097,12.67,1.363016,3262.621
7/10/2023 21:00,34098,12.67,1.321299,3260.574
7/10/2023 22:00,34099,12.67,1.364113,3260.574
7/10/2023 23:00,34100,12.65,1.412417,3262.732
7/11/2023 0:00,34101,12.65,1.390461,3263.303
7/11/2023 1:00,34102,12.64,1.379483,3262.732
7/11/2023 2:00,34103,12.64,1.410221,3260.574
7/11/2023 3:00,34104,12.64,1.392656,3262.621
7/11/2023 4:00,34105,12.64,1.432177,3261.939
7/11/2023 5:00,34106,12.63,1.45084,3262.621
7/11/2023 6:00,34107,12.63,1.49585,3263.985
7/11/2023 7:00,34108,12.63,1.442058,3263.985
7/11/2023 8:00,34109,12.65,1.412417,3263.303
7/11/2023 9:00,34110,12.63,1.524393,3261.257
7/11/2023 10:00,34111,12.68,1.446449,3263.985
7/11/2023 11:00,34112,12.67,1.487068,3261.257
7/11/2023 12:00,34113,12.71,2.190763,3262.621
7/11/2023 13:00,34114,12.76,2.637571,3262.621
7/11/2023 14:00,34115,12.7,6.36092,3261.257
7/11/2023 15:00,34116,12.67,5.519273,3259.892
7/11/2023 16:00,34117,12.67,5.087376,3259.892
7/11/2023 17:00,34118,12.64,5.087376,3260.574
7/11/2023 18:00,34119,12.63,6.327697,3259.892
7/11/2023 19:00,34120,12.62,8.852636,3261.263
7/11/2023 20:00,34121,12.61,9.627836,3261.257
7/11/2023 21:00,34122,12.61,2.456432,3259.892
7/11/2023 22:00,34123,12.6,2.152339,3260.589
7/11/2023 23:00,34124,12.59,4.272207,3261.939
7/12/2023 0:00,34125,12.59,3.375298,3262.628
7/12/2023 1:00,34126,12.58,4.965559,3262.621
7/12/2023 2:00,34127,12.57,9.550317,3262.63
7/12/2023 3:00,34128,12.57,7.756281,3261.271
7/12/2023 4:00,34129,12.57,7.003229,3261.943
7/12/2023 5:00,34130,12.56,6.20588,3261.257
7/12/2023 6:00,34131,12.56,7.39083,3265.389
7/12/2023 7:00,34132,12.55,11.7541,3264.763
7/12/2023 8:00,34133,12.56,12.95012,3264.675
7/12/2023 9:00,34134,12.58,11.76518,3263.303
7/12/2023 10:00,34135,12.58,11.12287,3263.985
7/12/2023 11:00,34136,12.6,11.18931,3261.257
7/12/2023 12:00,34137,12.62,10.71312,3262.621
7/12/2023 13:00,34138,12.63,10.00436,3259.892
7/12/2023 14:00,34139,12.64,11.90914,3261.257
7/12/2023 15:00,34140,12.62,10.39196,3260.574
7/12/2023 16:00,34141,12.6,12.08633,3259.892
7/12/2023 17:00,34142,12.59,10.547,3257.164
7/12/2023 18:00,34143,12.57,12.29674,3259.892
7/12/2023 19:00,34144,12.56,11.46617,3259.892
7/12/2023 20:00,34145,12.55,11.20039,3259.892
7/12/2023 21:00,34146,12.54,11.0232,3257.846
7/12/2023 22:00,34147,12.53,11.48832,3258.528
