"TOA5","Bradford_5a_","CR800","31034","CR800.Std.32.05","CPU:5_hourly_08022023.CR8","28982","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2High","CO2Low","cDOM"
"TS","RN","Volts","ppm","ppm","ppbQ"
"","","Min","Smp","Smp","Smp"
"2023-08-02 12:00:00",0,11.63,457.241,168.0248,2.304989
"2023-08-02 13:00:00",1,11.57,6556.66,4400.686,2.856997
"2023-08-02 14:00:00",2,11.59,6755.085,4441.768,2.63169
"2023-08-02 15:00:00",3,11.53,6952.088,4446.296,3.611746
"2023-08-02 16:00:00",4,11.51,7113.153,4486.983,4.005504
"2023-08-02 17:00:00",5,11.5,7333.12,4488.199,3.895618
"2023-08-02 18:00:00",6,11.46,7556.663,4480.792,3.373667
"2023-08-02 19:00:00",7,11.44,7685.624,4478.898,1.734079
"2023-08-02 20:00:00",8,11.41,7801.957,4486.619,2.502297
"2023-08-02 21:00:00",9,11.41,7838.43,4466.362,2.653407
"2023-08-02 22:00:00",10,11.39,7983.327,4474.773,3.006298
"2023-08-02 23:00:00",11,11.4,8006.557,4445.713,2.124974
"2023-08-03 00:00:00",12,11.38,8068.646,4435.979,1.794704
"2023-08-03 01:00:00",13,11.38,8220.232,4434.672,1.991057
"2023-08-03 02:00:00",14,11.37,8378.857,4421.325,1.962101
"2023-08-03 03:00:00",15,11.37,8508.271,4403.218,1.869884
"2023-08-03 04:00:00",16,11.35,8644.143,4385.47,1.89435
"2023-08-03 05:00:00",17,11.36,8730.526,4387.15,1.724329
"2023-08-03 06:00:00",18,11.34,8746.632,4366.74,1.731671
"2023-08-03 07:00:00",19,11.35,8763.137,4360.502,1.896355
"2023-08-03 08:00:00",20,11.33,8922.477,4356.217,2.15418
"2023-08-03 09:00:00",21,11.35,8918.501,4349.516,1.685227
"2023-08-03 10:00:00",22,11.37,8954.521,4373.382,1.580256
"2023-08-03 11:00:00",23,11.73,8964.007,4388.95,1.688825
"2023-08-03 12:00:00",24,11.54,9002.467,4419.583,1.725914
"2023-08-03 13:00:00",25,11.49,8936.325,4441.768,1.712333
"2023-08-03 14:00:00",26,11.48,8929.136,4449.163,1.64358
"2023-08-03 15:00:00",27,11.46,8978.023,4470.114,1.650833
"2023-08-03 16:00:00",28,11.45,9021.159,4483.671,1.592923
"2023-08-03 17:00:00",29,11.4,9058.544,4502.569,1.567587
"2023-08-03 18:00:00",30,11.38,9071.484,4509.964,1.449957
"2023-08-03 19:00:00",31,11.35,9110.698,4486.626,1.404714
"2023-08-03 20:00:00",32,11.35,9186.739,4482.72,1.417382
"2023-08-03 21:00:00",33,11.33,9217.712,4477.75,1.413763
"2023-08-03 22:00:00",34,11.33,9306.188,4473.58,1.367615
"2023-08-03 23:00:00",35,11.31,9353.438,4469.774,1.316039
"2023-08-04 00:00:00",36,11.31,9446.353,4466.207,1.373949
"2023-08-04 01:00:00",37,11.31,9445.998,4455.765,1.395666
"2023-08-04 02:00:00",38,11.29,9482.332,4437.446,1.379378
