Site,DO-4/2/2025,,DO-3/11/2025,,DO-2/20/2025,,,
5.1,1.52,,3.96,,,,,
5.2,1.65,0.13,3.19,-0.77,3.68,3.68,,
5.3,4.41,2.76,6.12,2.93,6.04,2.36,,
5.4,4.39,-0.02,,-6.12,6.1,0.06,,
5.5,5.22,0.83,6.47,6.47,7,0.9,,
,,,,,,,,
,,,,,,,,
,DO-09/19/2024,,DO-2/20/2025,,DO-3/11/2025,,,
9.Sam,5.96,,7.93,,8.69,,,
9.5,3.56,-2.4,7.22,-0.71,6.37,-2.32,,
9.4,1.2,-2.36,4.9,-2.32,3.77,-2.6,,
9.3,0.38,-0.82,3.16,-1.74,3.04,-0.73,,
9.2,0.36,-0.02,1.52,-1.64,1.99,-1.05,,
9.1,,,1.11,-0.41,8.9,6.91,,
,,,,,,,,
,DO-09/19/2024,,DO-12/12-2024,,DO-02/20/2025,,DO-03/11/2025,
3.1,0.81,,1.54,,2.77,,2.7,
3.2,0.56,-0.25,1.12,-0.42,1.62,-1.15,1.89,-0.81
3.4,1.22,0.66,1.7,0.58,4.72,3.1,,
6.1,1.29,0.07,5.4,3.7,4.04,-0.68,4.27,
6.2,2.06,0.77,4.31,-1.09,4.12,0.08,3.81,0.46
6.3,2.3,0.24,3.72,-0.59,4.06,-0.06,2.62,1.19
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
