7450-866812
OS REV: 1.05 Sensor Cal: 1685656531
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1694599200,+3.47,+24.207, +5.801,+0.987
1694602800,+3.47,+24.098, +5.803,+0.987
1694606400,+3.47,+23.998, +5.795,+0.986
1694610000,+3.47,+23.939, +5.806,+0.987
1694613600,+3.47,+23.914, +5.791,+0.987
1694617200,+3.47,+23.998, +5.802,+0.987
1694620800,+3.47,+24.124, +5.759,+0.987
1694624400,+3.47,+24.350, +5.762,+0.987
1694628000,+3.47,+24.653, +5.755,+0.987
1694631600,+3.47,+24.888, +5.642,+0.987
1694635200,+3.47,+25.056, +5.611,+0.987
1694638800,+3.47,+25.258, +5.529,+0.987
1694642400,+3.47,+25.435, +5.461,+0.988
1694646000,+3.47,+25.561, +5.416,+0.988
1694649600,+3.48,+25.629, +5.369,+0.987
1694653200,+3.48,+25.587, +5.378,+0.988
1694656800,+3.48,+25.519, +5.366,+0.988
1694660400,+3.47,+25.460, +5.333,+0.987
1694664000,+3.47,+25.384, +5.332,+0.987
1694667600,+3.47,+25.292, +5.326,+0.987
1694671200,+3.47,+25.182, +5.313,+0.987
1694674800,+3.47,+25.073, +5.300,+0.988
1694678400,+3.47,+24.972, +5.293,+0.987
1694682000,+3.47,+24.837, +5.289,+0.987
1694685600,+3.48,+24.745, +5.275,+0.987
