7450-887320
OS REV: 1.05 Sensor Cal: 1685657299
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1709298000,+3.49,+14.145, +3.366,+0.933
1709301600,+3.49,+14.258, +3.477,+0.932
1709305200,+3.49,+14.518, +3.685,+0.933
1709308800,+3.49,+14.768, +3.826,+0.933
1709312400,+3.49,+15.139, +4.095,+0.933
1709316000,+3.49,+15.431, +4.193,+0.933
1709319600,+3.49,+15.783, +4.364,+0.933
1709323200,+3.49,+15.851, +4.188,+0.933
1709326800,+3.49,+15.834, +4.087,+0.933
1709330400,+3.49,+15.774, +3.841,+0.933
1709334000,+3.49,+15.620, +3.625,+0.933
1709337600,+3.49,+15.491, +3.481,+0.933
1709341200,+3.49,+15.414, +3.389,+0.933
1709344800,+3.49,+15.345, +3.332,+0.933
1709348400,+3.49,+15.320, +3.291,+0.933
1709352000,+3.49,+15.268, +3.275,+0.933
1709355600,+3.49,+15.251, +3.254,+0.933
1709359200,+3.49,+15.234, +3.243,+0.933
1709362800,+3.49,+15.216, +3.224,+0.933
1709366400,+3.49,+15.182, +3.220,+0.933
1709370000,+3.50,+15.156, +3.214,+0.933
1709373600,+3.50,+15.139, +3.197,+0.933
1709377200,+3.50,+15.113, +3.200,+0.933
1709380800,+3.50,+15.113, +3.200,+0.933
1709384400,+3.50,+15.105, +3.232,+0.933
