7450-887320
OS REV: 1.05 Sensor Cal: 1685657299
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1702526400,+3.49,+14.630, +3.491,+0.926
1702530000,+3.49,+14.474, +3.494,+0.926
1702533600,+3.49,+14.327, +3.496,+0.926
1702537200,+3.50,+14.214, +3.473,+0.926
1702540800,+3.50,+14.171, +3.472,+0.926
1702544400,+3.49,+14.197, +3.443,+0.926
1702548000,+3.49,+14.223, +3.434,+0.926
1702551600,+3.49,+14.249, +3.414,+0.926
1702555200,+3.49,+14.310, +3.449,+0.926
1702558800,+3.49,+14.353, +3.407,+0.926
1702562400,+3.49,+14.492, +3.448,+0.926
1702566000,+3.50,+14.708, +3.521,+0.926
1702569600,+3.50,+15.053, +3.688,+0.926
1702573200,+3.49,+15.423, +3.780,+0.926
1702576800,+3.50,+15.765, +3.771,+0.926
1702580400,+3.50,+15.894, +3.814,+0.926
1702584000,+3.50,+15.971, +3.842,+0.926
1702587600,+3.50,+15.825, +3.780,+0.926
1702591200,+3.49,+15.577, +3.676,+0.926
1702594800,+3.50,+15.380, +3.607,+0.926
1702598400,+3.50,+15.259, +3.532,+0.926
1702602000,+3.50,+15.148, +3.492,+0.926
1702605600,+3.50,+15.105, +3.512,+0.926
1702609200,+3.50,+15.053, +3.561,+0.926
1702612800,+3.50,+15.061, +3.559,+0.926
