7450-887320
OS REV: 1.05 Sensor Cal: 1685657299
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1712750400,+3.50,+17.188, +2.654,+0.934
1712754000,+3.50,+17.239, +2.673,+0.933
1712757600,+3.50,+17.400, +2.721,+0.934
1712761200,+3.49,+17.687, +2.800,+0.934
1712764800,+3.50,+18.000, +2.906,+0.934
1712768400,+3.50,+18.421, +3.005,+0.934
1712772000,+3.49,+18.834, +3.070,+0.934
1712775600,+3.50,+19.162, +3.098,+0.934
1712779200,+3.50,+19.296, +3.057,+0.934
1712782800,+3.50,+19.128, +2.902,+0.933
1712786400,+3.50,+19.061, +2.816,+0.934
1712790000,+3.50,+18.960, +2.710,+0.934
1712793600,+3.50,+18.851, +2.618,+0.933
1712797200,+3.50,+18.808, +2.581,+0.933
1712800800,+3.50,+18.775, +2.552,+0.933
1712804400,+3.50,+18.716, +2.532,+0.934
1712808000,+3.50,+18.682, +2.521,+0.934
1712811600,+3.50,+18.623, +2.511,+0.934
1712815200,+3.50,+18.590, +2.501,+0.933
1712818800,+3.50,+18.573, +2.479,+0.933
1712822400,+3.50,+18.564, +2.473,+0.933
1712826000,+3.50,+18.573, +2.464,+0.933
1712829600,+3.50,+18.590, +2.453,+0.933
1712833200,+3.50,+18.581, +2.474,+0.933
1712836800,+3.50,+18.590, +2.467,+0.933
