7450-887320
OS REV: 1.05 Sensor Cal: 1685657299
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1696024800,+3.52,+23.750, +1.987,+0.926
1696028400,+3.52,+23.616, +1.958,+0.926
1696032000,+3.52,+23.465, +1.899,+0.926
1696035600,+3.53,+23.348, +1.879,+0.926
1696039200,+3.52,+23.248, +1.873,+0.926
1696042800,+3.52,+23.130, +1.824,+0.926
1696046400,+3.52,+23.072, +1.859,+0.926
1696050000,+3.52,+22.980, +1.837,+0.926
1696053600,+3.52,+22.904, +1.843,+0.926
1696057200,+3.52,+22.854, +1.846,+0.926
1696060800,+3.52,+22.787, +1.838,+0.926
1696064400,+3.52,+22.779, +1.817,+0.926
1696068000,+3.53,+22.712, +1.813,+0.926
1696071600,+3.53,+22.662, +1.822,+0.926
1696075200,+3.53,+22.662, +1.826,+0.926
1696078800,+3.53,+22.670, +1.834,+0.926
1696082400,+3.52,+22.821, +1.842,+0.926
1696086000,+3.52,+22.996, +1.896,+0.926
1696089600,+3.52,+23.189, +1.924,+0.927
1696093200,+3.53,+23.491, +2.006,+0.926
1696096800,+3.53,+23.675, +1.998,+0.926
1696100400,+3.52,+24.035, +2.058,+0.926
1696104000,+3.52,+24.035, +2.024,+0.926
1696107600,+3.52,+24.044, +2.029,+0.926
1696111200,+3.53,+23.901, +1.965,+0.926
