7450-887320
OS REV: 1.05 Sensor Cal: 1685657299
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1694962800,+3.53,+24.321, +1.401,+0.925
1694966400,+3.53,+24.598, +1.440,+0.925
1694970000,+3.53,+24.892, +1.459,+0.925
1694973600,+3.53,+25.304, +1.502,+0.925
1694977200,+3.53,+25.498, +1.529,+0.924
1694980800,+3.53,+25.473, +1.524,+0.925
1694984400,+3.53,+25.372, +1.533,+0.925
1694988000,+3.53,+25.330, +1.496,+0.924
1694991600,+3.53,+25.245, +1.433,+0.925
1694995200,+3.53,+25.077, +1.434,+0.925
1694998800,+3.53,+24.900, +1.418,+0.925
1695002400,+3.53,+24.716, +1.369,+0.925
1695006000,+3.53,+24.598, +1.370,+0.925
1695009600,+3.53,+24.480, +1.390,+0.925
1695013200,+3.53,+24.396, +1.374,+0.925
1695016800,+3.53,+24.279, +1.372,+0.925
1695020400,+3.53,+24.170, +1.368,+0.925
1695024000,+3.53,+24.077, +1.370,+0.925
1695027600,+3.53,+23.985, +1.358,+0.925
1695031200,+3.53,+23.910, +1.358,+0.925
1695034800,+3.53,+23.826, +1.339,+0.925
1695038400,+3.53,+23.742, +1.358,+0.925
1695042000,+3.53,+23.700, +1.363,+0.925
1695045600,+3.53,+23.717, +1.365,+0.925
1695049200,+3.53,+23.859, +1.385,+0.925
