"Plot Title: Bradford_13LL"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 10776669, SEN S/N: 10776669)","Temp, °F (LGR S/N: 10776669, SEN S/N: 10776669)","Coupler Detached (LGR S/N: 10776669)","Coupler Attached (LGR S/N: 10776669)","Stopped (LGR S/N: 10776669)","End Of File (LGR S/N: 10776669)"
1,12/08/22 01:15:00 PM,15.4384,65.851,Logged,,,
2,12/08/22 01:30:00 PM,15.4338,65.338,,,,
3,12/08/22 01:45:00 PM,15.4288,65.167,,,,
4,12/08/22 02:00:00 PM,15.4274,65.167,,,,
5,12/08/22 02:15:00 PM,15.4259,65.167,,,,
6,12/08/22 02:30:00 PM,15.4243,65.167,,,,
7,12/08/22 02:45:00 PM,15.4229,65.167,,,,
8,12/08/22 03:00:00 PM,15.4229,65.167,,,,
9,12/08/22 03:15:00 PM,15.4200,65.167,,,,
10,12/08/22 03:30:00 PM,15.4184,65.167,,,,
11,12/08/22 03:45:00 PM,15.4184,65.167,,,,
12,12/08/22 04:00:00 PM,15.4204,65.338,,,,
13,12/08/22 04:15:00 PM,15.4219,65.338,,,,
14,12/08/22 04:30:00 PM,15.4219,65.338,,,,
15,12/08/22 04:45:00 PM,15.4235,65.338,,,,
16,12/08/22 05:00:00 PM,15.4219,65.338,,,,
17,12/08/22 05:15:00 PM,15.4235,65.338,,,,
18,12/08/22 05:30:00 PM,15.4249,65.338,,,,
19,12/08/22 05:45:00 PM,15.4249,65.338,,,,
20,12/08/22 06:00:00 PM,15.4284,65.509,,,,
21,12/08/22 06:15:00 PM,15.4269,65.509,,,,
22,12/08/22 06:30:00 PM,15.4313,65.509,,,,
23,12/08/22 06:45:00 PM,15.4343,65.509,,,,
24,12/08/22 07:00:00 PM,15.4343,65.509,,,,
25,12/08/22 07:15:00 PM,15.4329,65.509,,,,
26,12/08/22 07:30:00 PM,15.4358,65.509,,,,
27,12/08/22 07:45:00 PM,15.4343,65.509,,,,
28,12/08/22 08:00:00 PM,15.4333,65.680,,,,
29,12/08/22 08:15:00 PM,15.4319,65.680,,,,
30,12/08/22 08:30:00 PM,15.4319,65.680,,,,
31,12/08/22 08:45:00 PM,15.4333,65.680,,,,
32,12/08/22 09:00:00 PM,15.4319,65.680,,,,
33,12/08/22 09:15:00 PM,15.4319,65.680,,,,
34,12/08/22 09:30:00 PM,15.4333,65.680,,,,
35,12/08/22 09:45:00 PM,15.4349,65.680,,,,
36,12/08/22 10:00:00 PM,15.4333,65.680,,,,
37,12/08/22 10:15:00 PM,15.4319,65.680,,,,
38,12/08/22 10:30:00 PM,15.4304,65.680,,,,
39,12/08/22 10:45:00 PM,15.4304,65.680,,,,
40,12/08/22 11:00:00 PM,15.4290,65.680,,,,
41,12/08/22 11:15:00 PM,15.4274,65.680,,,,
42,12/08/22 11:30:00 PM,15.4259,65.680,,,,
43,12/08/22 11:45:00 PM,15.4224,65.509,,,,
44,12/09/22 12:00:00 AM,15.4210,65.509,,,,
45,12/09/22 12:15:00 AM,15.4210,65.509,,,,
46,12/09/22 12:30:00 AM,15.4179,65.509,,,,
47,12/09/22 12:45:00 AM,15.4136,65.509,,,,
48,12/09/22 01:00:00 AM,15.4150,65.509,,,,
49,12/09/22 01:15:00 AM,15.4116,65.338,,,,
50,12/09/22 01:30:00 AM,15.4116,65.338,,,,
51,12/09/22 01:45:00 AM,15.4130,65.338,,,,
52,12/09/22 02:00:00 AM,15.4130,65.338,,,,
53,12/09/22 02:15:00 AM,15.4140,65.167,,,,
54,12/09/22 02:30:00 AM,15.4124,65.167,,,,
55,12/09/22 02:45:00 AM,15.4124,65.167,,,,
56,12/09/22 03:00:00 AM,15.4124,65.167,,,,
57,12/09/22 03:15:00 AM,15.4110,65.167,,,,
58,12/09/22 03:30:00 AM,15.4110,65.167,,,,
59,12/09/22 03:45:00 AM,15.4075,64.996,,,,
60,12/09/22 04:00:00 AM,15.4075,64.996,,,,
61,12/09/22 04:15:00 AM,15.4075,64.996,,,,
62,12/09/22 04:30:00 AM,15.4075,64.996,,,,
63,12/09/22 04:45:00 AM,15.4090,64.996,,,,
64,12/09/22 05:00:00 AM,15.4100,64.825,,,,
