"Plot Title: Brad_14LL"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 20474165, SEN S/N: 20474165)","Temp, °F (LGR S/N: 20474165, SEN S/N: 20474165)","Coupler Detached (LGR S/N: 20474165)","Coupler Attached (LGR S/N: 20474165)","Stopped (LGR S/N: 20474165)","End Of File (LGR S/N: 20474165)"
1,05/01/23 12:15:00 PM,15.6449,72.028,Logged,,,
2,05/01/23 01:15:00 PM,15.6471,66.879,,,,
3,05/01/23 02:15:00 PM,15.6380,66.879,,,,
4,05/01/23 03:15:00 PM,15.6284,66.708,,,,
5,05/01/23 04:15:00 PM,15.6248,66.708,,,,
6,05/01/23 05:15:00 PM,15.6194,66.708,,,,
7,05/01/23 06:15:00 PM,15.6211,66.708,,,,
8,05/01/23 07:15:00 PM,15.6284,66.708,,,,
9,05/01/23 08:15:00 PM,15.6393,66.708,,,,
10,05/01/23 09:15:00 PM,15.6429,66.708,,,,
11,05/01/23 10:15:00 PM,15.6503,66.708,,,,
12,05/01/23 11:15:00 PM,15.6557,66.708,,,,
13,05/02/23 12:15:00 AM,15.6539,66.708,,,,
14,05/02/23 01:15:00 AM,15.6520,66.708,,,,
15,05/02/23 02:15:00 AM,15.6503,66.708,,,,
16,05/02/23 03:15:00 AM,15.6593,66.708,,,,
17,05/02/23 04:15:00 AM,15.6684,66.708,,,,
18,05/02/23 05:15:00 AM,15.6793,66.708,,,,
19,05/02/23 06:15:00 AM,15.6902,66.708,,,,
20,05/02/23 07:15:00 AM,15.6955,66.708,,,,
21,05/02/23 08:15:00 AM,15.7011,66.708,,,,
22,05/02/23 09:15:00 AM,15.7011,66.708,,,,
23,05/02/23 10:15:00 AM,15.6992,66.708,,,,
24,05/02/23 11:15:00 AM,15.6902,66.708,,,,
25,05/02/23 12:15:00 PM,15.6774,66.708,,,,
26,05/02/23 01:15:00 PM,15.6648,66.708,,,,
27,05/02/23 02:15:00 PM,15.6484,66.708,,,,
28,05/02/23 03:15:00 PM,15.6339,66.708,,,,
29,05/02/23 04:15:00 PM,15.6267,66.708,,,,
30,05/02/23 05:15:00 PM,15.6284,66.708,,,,
31,05/02/23 06:15:00 PM,15.6284,66.708,,,,
32,05/02/23 07:15:00 PM,15.6393,66.708,,,,
33,05/02/23 08:15:00 PM,15.6393,66.708,,,,
34,05/02/23 09:15:00 PM,15.6465,66.708,,,,
35,05/02/23 10:15:00 PM,15.6539,66.708,,,,
36,05/02/23 11:15:00 PM,15.6503,66.708,,,,
37,05/03/23 12:15:00 AM,15.6557,66.708,,,,
38,05/03/23 01:15:00 AM,15.6539,66.708,,,,
39,05/03/23 02:15:00 AM,15.6497,66.537,,,,
40,05/03/23 03:15:00 AM,15.6461,66.537,,,,
41,05/03/23 04:15:00 AM,15.6533,66.537,,,,
42,05/03/23 05:15:00 AM,15.6661,66.537,,,,
43,05/03/23 06:15:00 AM,15.6802,66.366,,,,
44,05/03/23 07:15:00 AM,15.6911,66.366,,,,
45,05/03/23 08:15:00 AM,15.6983,66.366,,,,
46,05/03/23 09:15:00 AM,15.6964,66.366,,,,
47,05/03/23 10:15:00 AM,15.6947,66.366,,,,
48,05/03/23 11:15:00 AM,15.6892,66.366,,,,
49,05/03/23 12:15:00 PM,15.6765,66.366,,,,
50,05/03/23 01:15:00 PM,15.6657,66.366,,,,
51,05/03/23 02:15:00 PM,15.6475,66.366,,,,
52,05/03/23 03:15:00 PM,15.6348,66.366,,,,
53,05/03/23 04:15:00 PM,15.6275,66.366,,,,
54,05/03/23 05:15:00 PM,15.6312,66.366,,,,
55,05/03/23 06:15:00 PM,15.6348,66.366,,,,
56,05/03/23 07:15:00 PM,15.6493,66.366,,,,
57,05/03/23 08:15:00 PM,15.6638,66.366,,,,
58,05/03/23 09:15:00 PM,15.6783,66.366,,,,
59,05/03/23 10:15:00 PM,15.6855,66.366,,,,
60,05/03/23 11:15:00 PM,15.6838,66.366,,,,
61,05/04/23 12:15:00 AM,15.6870,66.193,,,,
62,05/04/23 01:15:00 AM,15.6924,66.193,,,,
63,05/04/23 02:15:00 AM,15.6883,66.022,,,,
64,05/04/23 03:15:00 AM,15.6937,66.022,,,,
65,05/04/23 04:15:00 AM,15.7024,65.851,,,,
66,05/04/23 05:15:00 AM,15.7037,65.680,,,,
67,05/04/23 06:15:00 AM,15.7164,65.680,,,,
68,05/04/23 07:15:00 AM,15.7250,65.509,,,,
69,05/04/23 08:15:00 AM,15.7408,65.338,,,,
70,05/04/23 09:15:00 AM,15.7372,65.338,,,,
71,05/04/23 10:15:00 AM,15.7391,65.338,,,,
72,05/04/23 11:15:00 AM,15.7391,65.338,,,,
73,05/04/23 12:15:00 PM,15.7263,65.338,,,,
74,05/04/23 01:15:00 PM,15.7209,65.338,,,,
75,05/04/23 02:15:00 PM,15.7122,65.509,,,,
76,05/04/23 03:15:00 PM,15.7050,65.509,,,,
77,05/04/23 04:15:00 PM,15.6941,65.509,,,,
78,05/04/23 05:15:00 PM,15.6924,65.509,,,,
79,05/04/23 06:15:00 PM,15.6960,65.509,,,,
80,05/04/23 07:15:00 PM,15.7014,65.509,,,,
81,05/04/23 08:15:00 PM,15.7086,65.509,,,,
82,05/04/23 09:15:00 PM,15.7273,65.680,,,,
83,05/04/23 10:15:00 PM,15.7363,65.680,,,,
84,05/04/23 11:15:00 PM,15.7414,65.509,,,,
85,05/05/23 12:15:00 AM,15.7341,65.509,,,,
86,05/05/23 01:15:00 AM,15.7341,65.509,,,,
87,05/05/23 02:15:00 AM,15.7299,65.338,,,,
88,05/05/23 03:15:00 AM,15.7299,65.338,,,,
89,05/05/23 04:15:00 AM,15.7299,65.338,,,,
90,05/05/23 05:15:00 AM,15.7440,65.167,,,,
91,05/05/23 06:15:00 AM,15.7549,65.167,,,,
92,05/05/23 07:15:00 AM,15.7689,64.996,,,,
93,05/05/23 08:15:00 AM,15.7817,64.996,,,,
94,05/05/23 09:15:00 AM,15.7907,64.996,,,,
95,05/05/23 10:15:00 AM,15.7871,64.996,,,,
96,05/05/23 11:15:00 AM,15.7871,64.996,,,,
97,05/05/23 12:15:00 PM,15.7798,64.996,,,,
98,05/05/23 01:15:00 PM,15.7708,64.996,,,,
99,05/05/23 02:15:00 PM,15.7689,64.996,,,,
100,05/05/23 03:15:00 PM,15.7512,65.167,,,,
101,05/05/23 04:15:00 PM,15.7440,65.167,,,,
102,05/05/23 05:15:00 PM,15.7423,65.167,,,,
103,05/05/23 06:15:00 PM,15.7459,65.167,,,,
104,05/05/23 07:15:00 PM,15.7459,65.167,,,,
105,05/05/23 08:15:00 PM,15.7585,65.167,,,,
