"Plot Title: Bradford_7LL"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 20501580, SEN S/N: 20501580)","Temp, °F (LGR S/N: 20501580, SEN S/N: 20501580)","Coupler Detached (LGR S/N: 20501580, SEN S/N: 20501580)","Coupler Attached (LGR S/N: 20501580, SEN S/N: 20501580)","Stopped (LGR S/N: 20501580, SEN S/N: 20501580)","End Of File (LGR S/N: 20501580, SEN S/N: 20501580)"
1,02/09/23 11:30:00 AM,15.4470,61.569,Logged,,,
2,02/09/23 11:45:00 AM,15.4465,61.398,,,,
3,02/09/23 12:00:00 PM,15.4478,61.398,,,,
4,02/09/23 12:15:00 PM,15.4436,61.398,,,,
5,02/09/23 12:30:00 PM,15.4423,61.398,,,,
6,02/09/23 12:45:00 PM,15.4381,61.398,,,,
7,02/09/23 01:00:00 PM,15.4345,61.569,,,,
8,02/09/23 01:15:00 PM,15.4303,61.569,,,,
9,02/09/23 01:30:00 PM,15.4275,61.569,,,,
10,02/09/23 01:45:00 PM,15.4233,61.569,,,,
11,02/09/23 02:00:00 PM,15.4206,61.569,,,,
12,02/09/23 02:15:00 PM,15.4169,61.741,,,,
13,02/09/23 02:30:00 PM,15.4127,61.741,,,,
14,02/09/23 02:45:00 PM,15.4085,61.741,,,,
15,02/09/23 03:00:00 PM,15.4058,61.741,,,,
16,02/09/23 03:15:00 PM,15.4030,61.741,,,,
17,02/09/23 03:30:00 PM,15.4030,61.741,,,,
18,02/09/23 03:45:00 PM,15.3988,61.741,,,,
19,02/09/23 04:00:00 PM,15.3952,61.912,,,,
20,02/09/23 04:15:00 PM,15.3965,61.912,,,,
21,02/09/23 04:30:00 PM,15.3937,61.912,,,,
22,02/09/23 04:45:00 PM,15.3942,62.083,,,,
23,02/09/23 05:00:00 PM,15.3942,62.083,,,,
24,02/09/23 05:15:00 PM,15.3952,61.912,,,,
25,02/09/23 05:30:00 PM,15.3914,62.083,,,,
26,02/09/23 05:45:00 PM,15.3929,62.083,,,,
27,02/09/23 06:00:00 PM,15.3956,62.083,,,,
28,02/09/23 06:15:00 PM,15.3969,62.083,,,,
29,02/09/23 06:30:00 PM,15.3984,62.083,,,,
30,02/09/23 06:45:00 PM,15.3998,62.083,,,,
31,02/09/23 07:00:00 PM,15.4011,62.083,,,,
32,02/09/23 07:15:00 PM,15.4026,62.083,,,,
33,02/09/23 07:30:00 PM,15.4039,62.083,,,,
34,02/09/23 07:45:00 PM,15.4039,62.083,,,,
35,02/09/23 08:00:00 PM,15.4016,62.254,,,,
36,02/09/23 08:15:00 PM,15.3975,62.254,,,,
37,02/09/23 08:30:00 PM,15.3988,62.254,,,,
38,02/09/23 08:45:00 PM,15.4030,62.254,,,,
39,02/09/23 09:00:00 PM,15.4043,62.254,,,,
40,02/09/23 09:15:00 PM,15.4058,62.254,,,,
41,02/09/23 09:30:00 PM,15.4058,62.254,,,,
42,02/09/23 09:45:00 PM,15.4034,62.425,,,,
43,02/09/23 10:00:00 PM,15.4090,62.425,,,,
44,02/09/23 10:15:00 PM,15.4090,62.425,,,,
45,02/09/23 10:30:00 PM,15.4104,62.425,,,,
46,02/09/23 10:45:00 PM,15.4145,62.425,,,,
47,02/09/23 11:00:00 PM,15.4172,62.425,,,,
48,02/09/23 11:15:00 PM,15.4172,62.425,,,,
49,02/09/23 11:30:00 PM,15.4187,62.425,,,,
50,02/09/23 11:45:00 PM,15.4206,62.598,,,,
51,02/10/23 12:00:00 AM,15.4219,62.598,,,,
52,02/10/23 12:15:00 AM,15.4164,62.598,,,,
53,02/10/23 12:30:00 AM,15.4164,62.598,,,,
54,02/10/23 12:45:00 AM,15.4108,62.598,,,,
55,02/10/23 01:00:00 AM,15.4136,62.598,,,,
56,02/10/23 01:15:00 AM,15.4121,62.598,,,,
57,02/10/23 01:30:00 AM,15.4121,62.598,,,,
58,02/10/23 01:45:00 AM,15.4121,62.598,,,,
59,02/10/23 02:00:00 AM,15.4108,62.598,,,,
60,02/10/23 02:15:00 AM,15.4066,62.598,,,,
61,02/10/23 02:30:00 AM,15.4066,62.598,,,,
62,02/10/23 02:45:00 AM,15.4066,62.598,,,,
63,02/10/23 03:00:00 AM,15.4024,62.598,,,,
64,02/10/23 03:15:00 AM,15.4001,62.769,,,,
65,02/10/23 03:30:00 AM,15.3988,62.769,,,,
66,02/10/23 03:45:00 AM,15.3988,62.769,,,,
67,02/10/23 04:00:00 AM,15.3946,62.769,,,,
68,02/10/23 04:15:00 AM,15.3933,62.769,,,,
69,02/10/23 04:30:00 AM,15.3946,62.769,,,,
70,02/10/23 04:45:00 AM,15.3974,62.769,,,,
71,02/10/23 05:00:00 AM,15.3974,62.769,,,,
72,02/10/23 05:15:00 AM,15.3946,62.769,,,,
73,02/10/23 05:30:00 AM,15.3946,62.769,,,,
74,02/10/23 05:45:00 AM,15.3960,62.769,,,,
75,02/10/23 06:00:00 AM,15.3960,62.769,,,,
76,02/10/23 06:15:00 AM,15.3946,62.769,,,,
77,02/10/23 06:30:00 AM,15.3933,62.769,,,,
78,02/10/23 06:45:00 AM,15.3946,62.769,,,,
79,02/10/23 07:00:00 AM,15.3974,62.769,,,,
80,02/10/23 07:15:00 AM,15.3974,62.769,,,,
81,02/10/23 07:30:00 AM,15.3988,62.769,,,,
82,02/10/23 07:45:00 AM,15.3988,62.769,,,,
83,02/10/23 08:00:00 AM,15.4016,62.769,,,,
84,02/10/23 08:15:00 AM,15.4043,62.769,,,,
85,02/10/23 08:30:00 AM,15.4071,62.769,,,,
86,02/10/23 08:45:00 AM,15.4062,62.940,,,,
87,02/10/23 09:00:00 AM,15.4047,62.940,,,,
88,02/10/23 09:15:00 AM,15.4034,62.940,,,,
89,02/10/23 09:30:00 AM,15.4075,62.940,,,,
90,02/10/23 09:45:00 AM,15.4062,62.940,,,,
91,02/10/23 10:00:00 AM,15.4034,62.940,,,,
92,02/10/23 10:15:00 AM,15.4034,62.940,,,,
93,02/10/23 10:30:00 AM,15.4020,62.940,,,,
94,02/10/23 10:45:00 AM,15.4005,62.940,,,,
95,02/10/23 11:00:00 AM,15.4005,62.940,,,,
96,02/10/23 11:15:00 AM,15.4020,62.940,,,,
97,02/10/23 11:30:00 AM,15.4047,62.940,,,,
98,02/10/23 11:45:00 AM,15.4020,62.940,,,,
99,02/10/23 12:00:00 PM,15.4034,62.940,,,,
100,02/10/23 12:15:00 PM,15.4020,62.940,,,,
101,02/10/23 12:30:00 PM,15.3978,62.940,,,,
102,02/10/23 12:45:00 PM,15.3965,62.940,,,,
103,02/10/23 01:00:00 PM,15.3923,62.940,,,,
104,02/10/23 01:15:00 PM,15.3895,62.940,,,,
105,02/10/23 01:30:00 PM,15.3868,62.940,,,,
106,02/10/23 01:45:00 PM,15.3813,62.940,,,,
107,02/10/23 02:00:00 PM,15.3798,62.940,,,,
108,02/10/23 02:15:00 PM,15.3757,62.940,,,,
109,02/10/23 02:30:00 PM,15.3715,62.940,,,,
110,02/10/23 02:45:00 PM,15.3673,62.940,,,,
111,02/10/23 03:00:00 PM,15.3660,62.940,,,,
112,02/10/23 03:15:00 PM,15.3650,63.111,,,,
113,02/10/23 03:30:00 PM,15.3623,63.111,,,,
114,02/10/23 03:45:00 PM,15.3623,63.111,,,,
115,02/10/23 04:00:00 PM,15.3650,63.111,,,,
116,02/10/23 04:15:00 PM,15.3650,63.111,,,,
117,02/10/23 04:30:00 PM,15.3665,63.111,,,,
118,02/10/23 04:45:00 PM,15.3665,63.111,,,,
119,02/10/23 05:00:00 PM,15.3665,63.111,,,,
120,02/10/23 05:15:00 PM,15.3705,63.111,,,,
121,02/10/23 05:30:00 PM,15.3802,63.111,,,,
122,02/10/23 05:45:00 PM,15.3775,63.111,,,,
123,02/10/23 06:00:00 PM,15.3752,63.282,,,,
124,02/10/23 06:15:00 PM,15.3739,63.282,,,,
125,02/10/23 06:30:00 PM,15.3739,63.282,,,,
126,02/10/23 06:45:00 PM,15.3724,63.282,,,,
127,02/10/23 07:00:00 PM,15.3779,63.282,,,,
128,02/10/23 07:15:00 PM,15.3766,63.282,,,,
129,02/10/23 07:30:00 PM,15.3724,63.282,,,,
130,02/10/23 07:45:00 PM,15.3724,63.282,,,,
131,02/10/23 08:00:00 PM,15.3779,63.282,,,,
132,02/10/23 08:15:00 PM,15.3798,63.455,,,,
133,02/10/23 08:30:00 PM,15.3840,63.455,,,,
134,02/10/23 08:45:00 PM,15.3868,63.455,,,,
135,02/10/23 09:00:00 PM,15.3868,63.455,,,,
136,02/10/23 09:15:00 PM,15.3881,63.455,,,,
137,02/10/23 09:30:00 PM,15.3908,63.455,,,,
138,02/10/23 09:45:00 PM,15.3895,63.455,,,,
139,02/10/23 10:00:00 PM,15.3936,63.455,,,,
140,02/10/23 10:15:00 PM,15.3965,63.455,,,,
141,02/10/23 10:30:00 PM,15.3969,63.626,,,,
142,02/10/23 10:45:00 PM,15.3913,63.626,,,,
143,02/10/23 11:00:00 PM,15.3927,63.626,,,,
144,02/10/23 11:15:00 PM,15.3872,63.626,,,,
145,02/10/23 11:30:00 PM,15.3872,63.626,,,,
146,02/10/23 11:45:00 PM,15.3844,63.626,,,,
147,02/11/23 12:00:00 AM,15.3830,63.626,,,,
148,02/11/23 12:15:00 AM,15.3857,63.626,,,,
149,02/11/23 12:30:00 AM,15.3927,63.626,,,,
150,02/11/23 12:45:00 AM,15.3872,63.626,,,,
151,02/11/23 01:00:00 AM,15.3844,63.626,,,,
152,02/11/23 01:15:00 AM,15.3779,63.797,,,,
153,02/11/23 01:30:00 AM,15.3834,63.797,,,,
154,02/11/23 01:45:00 AM,15.3794,63.797,,,,
155,02/11/23 02:00:00 AM,15.3834,63.797,,,,
156,02/11/23 02:15:00 AM,15.3834,63.797,,,,
157,02/11/23 02:30:00 AM,15.3807,63.797,,,,
158,02/11/23 02:45:00 AM,15.3779,63.797,,,,
159,02/11/23 03:00:00 AM,15.3794,63.797,,,,
160,02/11/23 03:15:00 AM,15.3765,63.797,,,,
161,02/11/23 03:30:00 AM,15.3710,63.797,,,,
162,02/11/23 03:45:00 AM,15.3821,63.797,,,,
163,02/11/23 04:00:00 AM,15.3794,63.797,,,,
164,02/11/23 04:15:00 AM,15.3779,63.797,,,,
165,02/11/23 04:30:00 AM,15.3889,63.797,,,,
166,02/11/23 04:45:00 AM,15.3876,63.797,,,,
167,02/11/23 05:00:00 AM,15.3917,63.797,,,,
168,02/11/23 05:15:00 AM,15.3931,63.797,,,,
169,02/11/23 05:30:00 AM,15.3959,63.797,,,,
170,02/11/23 05:45:00 AM,15.3946,63.797,,,,
171,02/11/23 06:00:00 AM,15.3946,63.797,,,,
172,02/11/23 06:15:00 AM,15.3974,63.797,,,,
173,02/11/23 06:30:00 AM,15.3917,63.797,,,,
174,02/11/23 06:45:00 AM,15.4001,63.797,,,,
175,02/11/23 07:00:00 AM,15.3987,63.797,,,,
176,02/11/23 07:15:00 AM,15.4029,63.797,,,,
177,02/11/23 07:30:00 AM,15.4014,63.797,,,,
178,02/11/23 07:45:00 AM,15.4029,63.797,,,,
179,02/11/23 08:00:00 AM,15.4029,63.797,,,,
180,02/11/23 08:15:00 AM,15.4001,63.797,,,,
181,02/11/23 08:30:00 AM,15.4001,63.797,,,,
182,02/11/23 08:45:00 AM,15.4014,63.797,,,,
183,02/11/23 09:00:00 AM,15.4042,63.797,,,,
184,02/11/23 09:15:00 AM,15.4042,63.797,,,,
185,02/11/23 09:30:00 AM,15.4014,63.797,,,,
186,02/11/23 09:45:00 AM,15.4071,63.797,,,,
187,02/11/23 10:00:00 AM,15.4098,63.797,,,,
188,02/11/23 10:15:00 AM,15.4029,63.797,,,,
189,02/11/23 10:30:00 AM,15.4042,63.797,,,,
190,02/11/23 10:45:00 AM,15.4056,63.797,,,,
191,02/11/23 11:00:00 AM,15.4014,63.797,,,,
192,02/11/23 11:15:00 AM,15.4042,63.797,,,,
193,02/11/23 11:30:00 AM,15.4014,63.797,,,,
194,02/11/23 11:45:00 AM,15.4029,63.797,,,,
195,02/11/23 12:00:00 PM,15.3987,63.797,,,,
196,02/11/23 12:15:00 PM,15.3959,63.797,,,,
197,02/11/23 12:30:00 PM,15.3974,63.797,,,,
198,02/11/23 12:45:00 PM,15.3987,63.797,,,,
199,02/11/23 01:00:00 PM,15.3946,63.797,,,,
200,02/11/23 01:15:00 PM,15.3917,63.797,,,,
201,02/11/23 01:30:00 PM,15.3821,63.797,,,,
202,02/11/23 01:45:00 PM,15.3779,63.797,,,,
203,02/11/23 02:00:00 PM,15.3724,63.797,,,,
204,02/11/23 02:15:00 PM,15.3682,63.797,,,,
205,02/11/23 02:30:00 PM,15.3612,63.797,,,,
206,02/11/23 02:45:00 PM,15.3627,63.797,,,,
207,02/11/23 03:00:00 PM,15.3460,63.797,,,,
208,02/11/23 03:15:00 PM,15.3433,63.797,,,,
209,02/11/23 03:30:00 PM,15.3405,63.797,,,,
210,02/11/23 03:45:00 PM,15.3405,63.797,,,,
211,02/11/23 04:00:00 PM,15.3335,63.797,,,,
212,02/11/23 04:15:00 PM,15.3280,63.797,,,,
213,02/11/23 04:30:00 PM,15.3295,63.797,,,,
214,02/11/23 04:45:00 PM,15.3308,63.797,,,,
215,02/11/23 05:00:00 PM,15.3267,63.797,,,,
216,02/11/23 05:15:00 PM,15.3198,63.797,,,,
217,02/11/23 05:30:00 PM,15.3198,63.797,,,,
218,02/11/23 05:45:00 PM,15.3225,63.797,,,,
219,02/11/23 06:00:00 PM,15.3225,63.797,,,,
220,02/11/23 06:15:00 PM,15.3238,63.797,,,,
221,02/11/23 06:30:00 PM,15.3045,63.797,,,,
222,02/11/23 06:45:00 PM,15.3225,63.797,,,,
223,02/11/23 07:00:00 PM,15.3170,63.797,,,,
224,02/11/23 07:15:00 PM,15.3155,63.797,,,,
225,02/11/23 07:30:00 PM,15.3155,63.797,,,,
