"Plot Title: Bradford_15"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 10776683, SEN S/N: 10776683)","Temp, °F (LGR S/N: 10776683, SEN S/N: 10776683)","Coupler Detached (LGR S/N: 10776683, SEN S/N: 10776683)","Coupler Attached (LGR S/N: 10776683, SEN S/N: 10776683)","Stopped (LGR S/N: 10776683, SEN S/N: 10776683)","End Of File (LGR S/N: 10776683, SEN S/N: 10776683)"
1,09/08/23 10:00:00 AM,15.4219,76.006,Logged,,,
2,09/08/23 11:00:00 AM,15.4158,76.006,,,,
3,09/08/23 12:00:00 PM,15.4071,76.181,,,,
4,09/08/23 01:00:00 PM,15.4111,76.006,,,,
5,09/08/23 02:00:00 PM,15.4005,76.006,,,,
6,09/08/23 03:00:00 PM,15.3898,76.006,,,,
7,09/08/23 04:00:00 PM,15.3791,76.006,,,,
8,09/08/23 05:00:00 PM,15.3842,76.181,,,,
9,09/08/23 06:00:00 PM,15.3827,76.181,,,,
10,09/08/23 07:00:00 PM,15.3827,76.181,,,,
11,09/08/23 08:00:00 PM,15.3888,76.181,,,,
12,09/08/23 09:00:00 PM,15.3949,76.181,,,,
13,09/08/23 10:00:00 PM,15.3975,76.006,,,,
14,09/08/23 11:00:00 PM,15.3929,76.006,,,,
15,09/09/23 12:00:00 AM,15.3862,75.832,,,,
16,09/09/23 01:00:00 AM,15.3872,75.659,,,,
17,09/09/23 02:00:00 AM,15.3837,75.484,,,,
18,09/09/23 03:00:00 AM,15.3817,75.312,,,,
19,09/09/23 04:00:00 AM,15.3795,75.139,,,,
20,09/09/23 05:00:00 AM,15.3837,74.964,,,,
21,09/09/23 06:00:00 AM,15.3892,74.791,,,,
22,09/09/23 07:00:00 AM,15.3994,74.619,,,,
23,09/09/23 08:00:00 AM,15.4040,74.619,,,,
24,09/09/23 09:00:00 AM,15.4071,74.619,,,,
25,09/09/23 10:00:00 AM,15.4091,74.791,,,,
26,09/09/23 11:00:00 AM,15.4010,75.139,,,,
27,09/09/23 12:00:00 PM,15.3953,75.312,,,,
28,09/09/23 01:00:00 PM,15.3878,75.312,,,,
29,09/09/23 02:00:00 PM,15.3770,75.312,,,,
30,09/09/23 03:00:00 PM,15.3638,75.484,,,,
31,09/09/23 04:00:00 PM,15.3485,75.484,,,,
32,09/09/23 05:00:00 PM,15.3377,75.484,,,,
33,09/09/23 06:00:00 PM,15.3302,75.484,,,,
34,09/09/23 07:00:00 PM,15.3272,75.484,,,,
35,09/09/23 08:00:00 PM,15.3337,75.659,,,,
36,09/09/23 09:00:00 PM,15.3383,75.659,,,,
37,09/09/23 10:00:00 PM,15.3428,75.659,,,,
38,09/09/23 11:00:00 PM,15.3414,75.659,,,,
39,09/10/23 12:00:00 AM,15.3316,75.484,,,,
40,09/10/23 01:00:00 AM,15.3312,75.312,,,,
41,09/10/23 02:00:00 AM,15.3292,75.139,,,,
42,09/10/23 03:00:00 AM,15.3256,74.964,,,,
43,09/10/23 04:00:00 AM,15.3250,74.791,,,,
44,09/10/23 05:00:00 AM,15.3306,74.619,,,,
45,09/10/23 06:00:00 AM,15.3363,74.446,,,,
46,09/10/23 07:00:00 AM,15.3448,74.271,,,,
47,09/10/23 08:00:00 AM,15.3495,74.271,,,,
48,09/10/23 09:00:00 AM,15.3515,74.446,,,,
49,09/10/23 10:00:00 AM,15.3551,74.619,,,,
50,09/10/23 11:00:00 AM,15.3541,74.791,,,,
51,09/10/23 12:00:00 PM,15.3485,74.964,,,,
52,09/10/23 01:00:00 PM,15.3408,74.964,,,,
53,09/10/23 02:00:00 PM,15.3286,74.964,,,,
54,09/10/23 03:00:00 PM,15.3185,75.139,,,,
55,09/10/23 04:00:00 PM,15.3061,75.139,,,,
56,09/10/23 05:00:00 PM,15.3000,75.139,,,,
57,09/10/23 06:00:00 PM,15.2990,75.312,,,,
58,09/10/23 07:00:00 PM,15.2976,75.312,,,,
59,09/10/23 08:00:00 PM,15.2929,75.312,,,,
60,09/10/23 09:00:00 PM,15.2966,75.484,,,,
61,09/10/23 10:00:00 PM,15.3041,75.484,,,,
62,09/10/23 11:00:00 PM,15.3026,75.484,,,,
63,09/11/23 12:00:00 AM,15.2996,75.484,,,,
64,09/11/23 01:00:00 AM,15.2950,75.484,,,,
65,09/11/23 02:00:00 AM,15.2863,75.659,,,,
66,09/11/23 03:00:00 AM,15.2889,75.484,,,,
67,09/11/23 04:00:00 AM,15.2852,75.312,,,,
68,09/11/23 05:00:00 AM,15.2868,75.312,,,,
69,09/11/23 06:00:00 AM,15.2970,75.139,,,,
70,09/11/23 07:00:00 AM,15.2980,74.964,,,,
71,09/11/23 08:00:00 AM,15.3010,74.964,,,,
72,09/11/23 09:00:00 AM,15.3057,74.964,,,,
73,09/11/23 10:00:00 AM,15.3061,75.139,,,,
74,09/11/23 11:00:00 AM,15.2955,75.139,,,,
75,09/11/23 12:00:00 PM,15.2852,75.312,,,,
76,09/11/23 01:00:00 PM,15.2716,75.312,,,,
77,09/11/23 02:00:00 PM,15.2532,75.312,,,,
78,09/11/23 03:00:00 PM,15.2425,75.312,,,,
79,09/11/23 04:00:00 PM,15.2262,75.484,,,,
80,09/11/23 05:00:00 PM,15.3256,75.484,,,,
81,09/11/23 06:00:00 PM,15.5151,75.484,,,,
82,09/11/23 07:00:00 PM,15.5417,75.659,,,,
83,09/11/23 08:00:00 PM,15.5524,75.659,,,,
84,09/11/23 09:00:00 PM,15.5739,75.659,,,,
85,09/11/23 10:00:00 PM,15.5815,75.659,,,,
86,09/11/23 11:00:00 PM,15.5876,75.659,,,,
87,09/12/23 12:00:00 AM,15.5794,75.484,,,,
88,09/12/23 01:00:00 AM,15.5759,75.312,,,,
89,09/12/23 02:00:00 AM,15.5698,75.312,,,,
90,09/12/23 03:00:00 AM,15.5676,75.139,,,,
91,09/12/23 04:00:00 AM,15.5702,74.964,,,,
92,09/12/23 05:00:00 AM,15.5713,74.791,,,,
93,09/12/23 06:00:00 AM,15.5814,74.619,,,,
94,09/12/23 07:00:00 AM,15.5824,74.446,,,,
95,09/12/23 08:00:00 AM,15.5901,74.446,,,,
96,09/12/23 09:00:00 AM,15.5916,74.446,,,,
97,09/12/23 10:00:00 AM,15.5968,74.619,,,,
98,09/12/23 11:00:00 AM,15.5897,74.791,,,,
99,09/12/23 12:00:00 PM,15.5794,74.964,,,,
100,09/12/23 01:00:00 PM,15.5702,74.964,,,,
101,09/12/23 02:00:00 PM,15.5524,75.139,,,,
102,09/12/23 03:00:00 PM,15.5494,75.139,,,,
103,09/12/23 04:00:00 PM,15.5417,75.139,,,,
104,09/12/23 05:00:00 PM,15.5437,75.312,,,,
105,09/12/23 06:00:00 PM,15.5483,75.312,,,,
106,09/12/23 07:00:00 PM,15.5498,75.312,,,,
107,09/12/23 08:00:00 PM,15.5763,75.484,,,,
108,09/12/23 09:00:00 PM,15.5794,75.484,,,,
109,09/12/23 10:00:00 PM,15.5784,75.659,,,,
110,09/12/23 11:00:00 PM,15.5678,75.659,,,,
111,09/13/23 12:00:00 AM,15.5631,75.659,,,,
112,09/13/23 01:00:00 AM,15.5646,75.659,,,,
113,09/13/23 02:00:00 AM,15.5621,75.832,,,,
114,09/13/23 03:00:00 AM,15.5591,75.832,,,,
115,09/13/23 04:00:00 AM,15.5621,75.832,,,,
116,09/13/23 05:00:00 AM,15.5652,75.832,,,,
117,09/13/23 06:00:00 AM,15.5713,75.832,,,,
118,09/13/23 07:00:00 AM,15.5836,75.832,,,,
119,09/13/23 08:00:00 AM,15.5891,75.659,,,,
120,09/13/23 09:00:00 AM,15.5830,75.659,,,,
121,09/13/23 10:00:00 AM,15.5830,75.659,,,,
122,09/13/23 11:00:00 AM,15.5815,75.659,,,,
123,09/13/23 12:00:00 PM,15.5692,75.659,,,,
124,09/13/23 01:00:00 PM,15.5554,75.659,,,,
125,09/13/23 02:00:00 PM,15.5402,75.659,,,,
126,09/13/23 03:00:00 PM,15.5238,75.832,,,,
127,09/13/23 04:00:00 PM,15.5131,75.832,,,,
128,09/13/23 05:00:00 PM,15.5163,75.832,,,,
129,09/13/23 06:00:00 PM,15.5224,75.832,,,,
130,09/13/23 07:00:00 PM,15.5289,76.006,,,,
131,09/13/23 08:00:00 PM,15.5321,76.006,,,,
132,09/13/23 09:00:00 PM,15.5335,76.006,,,,
133,09/13/23 10:00:00 PM,15.5402,76.181,,,,
134,09/13/23 11:00:00 PM,15.5417,76.181,,,,
135,09/14/23 12:00:00 AM,15.5372,76.181,,,,
136,09/14/23 01:00:00 AM,15.5280,76.181,,,,
137,09/14/23 02:00:00 AM,15.5254,76.354,,,,
138,09/14/23 03:00:00 AM,15.5208,76.354,,,,
139,09/14/23 04:00:00 AM,15.5224,76.354,,,,
140,09/14/23 05:00:00 AM,15.5270,76.354,,,,
141,09/14/23 06:00:00 AM,15.5346,76.354,,,,
142,09/14/23 07:00:00 AM,15.5406,76.354,,,,
143,09/14/23 08:00:00 AM,15.5406,76.354,,,,
144,09/14/23 09:00:00 AM,15.5483,76.354,,,,
145,09/14/23 10:00:00 AM,15.5514,76.354,,,,
146,09/14/23 11:00:00 AM,15.5483,76.354,,,,
147,09/14/23 12:00:00 PM,15.5376,76.354,,,,
148,09/14/23 01:00:00 PM,15.5285,76.354,,,,
149,09/14/23 02:00:00 PM,15.5147,76.354,,,,
150,09/14/23 03:00:00 PM,15.5009,76.354,,,,
151,09/14/23 04:00:00 PM,15.4964,76.354,,,,
