"Plot Title: Bradford_stream5"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10508289, SEN S/N: 10508289)","Temp, °F (LGR S/N: 10508289, SEN S/N: 10508289)","Coupler Detached (LGR S/N: 10508289, SEN S/N: 10508289)","Coupler Attached (LGR S/N: 10508289, SEN S/N: 10508289)","Stopped (LGR S/N: 10508289, SEN S/N: 10508289)","End Of File (LGR S/N: 10508289, SEN S/N: 10508289)"
1,04/15/22 03:00:00 PM,15.4736,68.763,Logged,,,
2,04/15/22 03:15:00 PM,15.4761,68.077,,,,
3,04/15/22 03:30:00 PM,15.4739,67.906,,,,
4,04/15/22 03:45:00 PM,15.4707,67.906,,,,
5,04/15/22 04:00:00 PM,15.4707,67.906,,,,
6,04/15/22 04:15:00 PM,15.4644,67.906,,,,
7,04/15/22 04:30:00 PM,15.4628,67.906,,,,
8,04/15/22 04:45:00 PM,15.4665,68.077,,,,
9,04/15/22 05:00:00 PM,15.4633,68.077,,,,
10,04/15/22 05:15:00 PM,15.4649,68.077,,,,
11,04/15/22 05:30:00 PM,15.4633,68.077,,,,
12,04/15/22 05:45:00 PM,15.4665,68.077,,,,
13,04/15/22 06:00:00 PM,15.4649,68.077,,,,
14,04/15/22 06:15:00 PM,15.4671,68.248,,,,
15,04/15/22 06:30:00 PM,15.4671,68.248,,,,
16,04/15/22 06:45:00 PM,15.4671,68.248,,,,
17,04/15/22 07:00:00 PM,15.4671,68.248,,,,
18,04/15/22 07:15:00 PM,15.4655,68.248,,,,
19,04/15/22 07:30:00 PM,15.4655,68.248,,,,
20,04/15/22 07:45:00 PM,15.4655,68.248,,,,
21,04/15/22 08:00:00 PM,15.4655,68.248,,,,
22,04/15/22 08:15:00 PM,15.4655,68.248,,,,
23,04/15/22 08:30:00 PM,15.4687,68.248,,,,
24,04/15/22 08:45:00 PM,15.4703,68.248,,,,
25,04/15/22 09:00:00 PM,15.4735,68.248,,,,
26,04/15/22 09:15:00 PM,15.4735,68.248,,,,
27,04/15/22 09:30:00 PM,15.4767,68.248,,,,
28,04/15/22 09:45:00 PM,15.4800,68.248,,,,
29,04/15/22 10:00:00 PM,15.4864,68.248,,,,
30,04/15/22 10:15:00 PM,15.4880,68.248,,,,
31,04/15/22 10:30:00 PM,15.4912,68.248,,,,
32,04/15/22 10:45:00 PM,15.4912,68.248,,,,
33,04/15/22 11:00:00 PM,15.4896,68.248,,,,
34,04/15/22 11:15:00 PM,15.4864,68.248,,,,
35,04/15/22 11:30:00 PM,15.4832,68.248,,,,
36,04/15/22 11:45:00 PM,15.4832,68.248,,,,
37,04/16/22 12:00:00 AM,15.4816,68.248,,,,
38,04/16/22 12:15:00 AM,15.4735,68.248,,,,
39,04/16/22 12:30:00 AM,15.4703,68.248,,,,
40,04/16/22 12:45:00 AM,15.4671,68.248,,,,
41,04/16/22 01:00:00 AM,15.4671,68.248,,,,
42,04/16/22 01:15:00 AM,15.4655,68.248,,,,
43,04/16/22 01:30:00 AM,15.4671,68.248,,,,
44,04/16/22 01:45:00 AM,15.4633,68.077,,,,
45,04/16/22 02:00:00 AM,15.4586,68.077,,,,
46,04/16/22 02:15:00 AM,15.4570,68.077,,,,
47,04/16/22 02:30:00 AM,15.4570,68.077,,,,
48,04/16/22 02:45:00 AM,15.4520,68.077,,,,
49,04/16/22 03:00:00 AM,15.4520,68.077,,,,
50,04/16/22 03:15:00 AM,15.4488,68.077,,,,
51,04/16/22 03:30:00 AM,15.4467,67.906,,,,
52,04/16/22 03:45:00 AM,15.4499,67.906,,,,
53,04/16/22 04:00:00 AM,15.4483,67.906,,,,
54,04/16/22 04:15:00 AM,15.4467,67.906,,,,
55,04/16/22 04:30:00 AM,15.4451,67.906,,,,
56,04/16/22 04:45:00 AM,15.4419,67.906,,,,
57,04/16/22 05:00:00 AM,15.4419,67.906,,,,
58,04/16/22 05:15:00 AM,15.4429,67.735,,,,
59,04/16/22 05:30:00 AM,15.4397,67.735,,,,
60,04/16/22 05:45:00 AM,15.4397,67.735,,,,
61,04/16/22 06:00:00 AM,15.4413,67.735,,,,
62,04/16/22 06:15:00 AM,15.4375,67.564,,,,
63,04/16/22 06:30:00 AM,15.4342,67.564,,,,
64,04/16/22 06:45:00 AM,15.4358,67.564,,,,
65,04/16/22 07:00:00 AM,15.4423,67.564,,,,
66,04/16/22 07:15:00 AM,15.4407,67.564,,,,
67,04/16/22 07:30:00 AM,15.4471,67.564,,,,
68,04/16/22 07:45:00 AM,15.4529,67.392,,,,
69,04/16/22 08:00:00 AM,15.4578,67.392,,,,
70,04/16/22 08:15:00 AM,15.4578,67.392,,,,
71,04/16/22 08:30:00 AM,15.4545,67.392,,,,
72,04/16/22 08:45:00 AM,15.4545,67.392,,,,
73,04/16/22 09:00:00 AM,15.4497,67.392,,,,
74,04/16/22 09:15:00 AM,15.4475,67.221,,,,
75,04/16/22 09:30:00 AM,15.4475,67.221,,,,
76,04/16/22 09:45:00 AM,15.4491,67.221,,,,
77,04/16/22 10:00:00 AM,15.4588,67.221,,,,
78,04/16/22 10:15:00 AM,15.4571,67.221,,,,
79,04/16/22 10:30:00 AM,15.4555,67.221,,,,
80,04/16/22 10:45:00 AM,15.4555,67.221,,,,
81,04/16/22 11:00:00 AM,15.4588,67.221,,,,
82,04/16/22 11:15:00 AM,15.4571,67.221,,,,
83,04/16/22 11:30:00 AM,15.4620,67.221,,,,
84,04/16/22 11:45:00 AM,15.4620,67.221,,,,
85,04/16/22 12:00:00 PM,15.4620,67.221,,,,
86,04/16/22 12:15:00 PM,15.4604,67.221,,,,
87,04/16/22 12:30:00 PM,15.4588,67.221,,,,
88,04/16/22 12:45:00 PM,15.4523,67.221,,,,
89,04/16/22 01:00:00 PM,15.4523,67.221,,,,
90,04/16/22 01:15:00 PM,15.4481,67.392,,,,
91,04/16/22 01:30:00 PM,15.4481,67.392,,,,
92,04/16/22 01:45:00 PM,15.4449,67.392,,,,
93,04/16/22 02:00:00 PM,15.4417,67.392,,,,
94,04/16/22 02:15:00 PM,15.4391,67.564,,,,
95,04/16/22 02:30:00 PM,15.4342,67.564,,,,
96,04/16/22 02:45:00 PM,15.4294,67.564,,,,
97,04/16/22 03:00:00 PM,15.4284,67.735,,,,
98,04/16/22 03:15:00 PM,15.4268,67.735,,,,
99,04/16/22 03:30:00 PM,15.4220,67.735,,,,
100,04/16/22 03:45:00 PM,15.4172,67.735,,,,
101,04/16/22 04:00:00 PM,15.4113,67.906,,,,
102,04/16/22 04:15:00 PM,15.4081,67.906,,,,
103,04/16/22 04:30:00 PM,15.4049,67.906,,,,
104,04/16/22 04:45:00 PM,15.4039,68.077,,,,
105,04/16/22 05:00:00 PM,15.3991,68.077,,,,
106,04/16/22 05:15:00 PM,15.3975,68.077,,,,
107,04/16/22 05:30:00 PM,15.3965,68.248,,,,
108,04/16/22 05:45:00 PM,15.3915,68.248,,,,
109,04/16/22 06:00:00 PM,15.3900,68.248,,,,
110,04/16/22 06:15:00 PM,15.3905,68.421,,,,
111,04/16/22 06:30:00 PM,15.3889,68.421,,,,
112,04/16/22 06:45:00 PM,15.3905,68.421,,,,
113,04/16/22 07:00:00 PM,15.3905,68.421,,,,
114,04/16/22 07:15:00 PM,15.3905,68.421,,,,
115,04/16/22 07:30:00 PM,15.3911,68.592,,,,
116,04/16/22 07:45:00 PM,15.3945,68.592,,,,
117,04/16/22 08:00:00 PM,15.3945,68.592,,,,
118,04/16/22 08:15:00 PM,15.3992,68.592,,,,
119,04/16/22 08:30:00 PM,15.4024,68.592,,,,
120,04/16/22 08:45:00 PM,15.4040,68.592,,,,
121,04/16/22 09:00:00 PM,15.4056,68.592,,,,
122,04/16/22 09:15:00 PM,15.4072,68.592,,,,
123,04/16/22 09:30:00 PM,15.4094,68.763,,,,
124,04/16/22 09:45:00 PM,15.4142,68.763,,,,
125,04/16/22 10:00:00 PM,15.4175,68.763,,,,
126,04/16/22 10:15:00 PM,15.4175,68.763,,,,
127,04/16/22 10:30:00 PM,15.4191,68.763,,,,
128,04/16/22 10:45:00 PM,15.4239,68.763,,,,
129,04/16/22 11:00:00 PM,15.4239,68.763,,,,
130,04/16/22 11:15:00 PM,15.4239,68.763,,,,
131,04/16/22 11:30:00 PM,15.4287,68.763,,,,
132,04/16/22 11:45:00 PM,15.4271,68.763,,,,
133,04/17/22 12:00:00 AM,15.4271,68.763,,,,
134,04/17/22 12:15:00 AM,15.4223,68.763,,,,
135,04/17/22 12:30:00 AM,15.4223,68.763,,,,
136,04/17/22 12:45:00 AM,15.4239,68.763,,,,
137,04/17/22 01:00:00 AM,15.4239,68.763,,,,
138,04/17/22 01:15:00 AM,15.4175,68.763,,,,
139,04/17/22 01:30:00 AM,15.4175,68.763,,,,
140,04/17/22 01:45:00 AM,15.4175,68.763,,,,
141,04/17/22 02:00:00 AM,15.4142,68.763,,,,
142,04/17/22 02:15:00 AM,15.4110,68.763,,,,
143,04/17/22 02:30:00 AM,15.4078,68.763,,,,
144,04/17/22 02:45:00 AM,15.4094,68.763,,,,
145,04/17/22 03:00:00 AM,15.4078,68.763,,,,
146,04/17/22 03:15:00 AM,15.4046,68.763,,,,
147,04/17/22 03:30:00 AM,15.3998,68.763,,,,
148,04/17/22 03:45:00 AM,15.3966,68.763,,,,
149,04/17/22 04:00:00 AM,15.3950,68.763,,,,
150,04/17/22 04:15:00 AM,15.3934,68.763,,,,
151,04/17/22 04:30:00 AM,15.3901,68.763,,,,
152,04/17/22 04:45:00 AM,15.3863,68.592,,,,
153,04/17/22 05:00:00 AM,15.3863,68.592,,,,
154,04/17/22 05:15:00 AM,15.3863,68.592,,,,
155,04/17/22 05:30:00 AM,15.3927,68.592,,,,
156,04/17/22 05:45:00 AM,15.3927,68.592,,,,
157,04/17/22 06:00:00 AM,15.3927,68.592,,,,
158,04/17/22 06:15:00 AM,15.3895,68.592,,,,
159,04/17/22 06:30:00 AM,15.3927,68.592,,,,
160,04/17/22 06:45:00 AM,15.3911,68.592,,,,
161,04/17/22 07:00:00 AM,15.3895,68.592,,,,
162,04/17/22 07:15:00 AM,15.3927,68.592,,,,
163,04/17/22 07:30:00 AM,15.3945,68.592,,,,
164,04/17/22 07:45:00 AM,15.3976,68.592,,,,
165,04/17/22 08:00:00 AM,15.4024,68.592,,,,
166,04/17/22 08:15:00 AM,15.4056,68.592,,,,
167,04/17/22 08:30:00 AM,15.4040,68.592,,,,
168,04/17/22 08:45:00 AM,15.4056,68.592,,,,
169,04/17/22 09:00:00 AM,15.4040,68.592,,,,
170,04/17/22 09:15:00 AM,15.4056,68.592,,,,
171,04/17/22 09:30:00 AM,15.4066,68.421,,,,
172,04/17/22 09:45:00 AM,15.4098,68.421,,,,
173,04/17/22 10:00:00 AM,15.4066,68.421,,,,
174,04/17/22 10:15:00 AM,15.4066,68.421,,,,
175,04/17/22 10:30:00 AM,15.4050,68.421,,,,
176,04/17/22 10:45:00 AM,15.4082,68.421,,,,
177,04/17/22 11:00:00 AM,15.4066,68.421,,,,
178,04/17/22 11:15:00 AM,15.4072,68.592,,,,
179,04/17/22 11:30:00 AM,15.4056,68.592,,,,
180,04/17/22 11:45:00 AM,15.4040,68.592,,,,
181,04/17/22 12:00:00 PM,15.4024,68.592,,,,
182,04/17/22 12:15:00 PM,15.3992,68.592,,,,
183,04/17/22 12:30:00 PM,15.3960,68.592,,,,
184,04/17/22 12:45:00 PM,15.3927,68.592,,,,
185,04/17/22 01:00:00 PM,15.3863,68.592,,,,
186,04/17/22 01:15:00 PM,15.3853,68.763,,,,
187,04/17/22 01:30:00 PM,15.3837,68.763,,,,
188,04/17/22 01:45:00 PM,15.3789,68.763,,,,
189,04/17/22 02:00:00 PM,15.3773,68.763,,,,
190,04/17/22 02:15:00 PM,15.3714,68.934,,,,
