"Plot Title: Bradford_5LL"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248124, SEN S/N: 21248124)","Temp, °F (LGR S/N: 21248124, SEN S/N: 21248124)","Coupler Detached (LGR S/N: 21248124, SEN S/N: 21248124)","Coupler Attached (LGR S/N: 21248124, SEN S/N: 21248124)","Stopped (LGR S/N: 21248124, SEN S/N: 21248124)","End Of File (LGR S/N: 21248124, SEN S/N: 21248124)"
1,08/23/24 10:00:00 AM,15.4551,76.006,Logged,,,
2,08/23/24 11:00:00 AM,15.4459,76.006,,,,
3,08/23/24 12:00:00 PM,15.4443,76.006,,,,
4,08/23/24 01:00:00 PM,15.4354,76.006,,,,
5,08/23/24 02:00:00 PM,15.4251,76.181,,,,
6,08/23/24 03:00:00 PM,15.4164,76.354,,,,
7,08/23/24 04:00:00 PM,15.4149,76.354,,,,
8,08/23/24 05:00:00 PM,15.4290,76.528,,,,
9,08/23/24 06:00:00 PM,15.4243,76.528,,,,
10,08/23/24 07:00:00 PM,15.4304,76.528,,,,
11,08/23/24 08:00:00 PM,15.4259,76.528,,,,
12,08/23/24 09:00:00 PM,15.4274,76.528,,,,
13,08/23/24 10:00:00 PM,15.4259,76.528,,,,
14,08/23/24 11:00:00 PM,15.4290,76.528,,,,
15,08/24/24 12:00:00 AM,15.4290,76.528,,,,
16,08/24/24 01:00:00 AM,15.4255,76.354,,,,
17,08/24/24 02:00:00 AM,15.4194,76.354,,,,
18,08/24/24 03:00:00 AM,15.4194,76.354,,,,
19,08/24/24 04:00:00 AM,15.4190,76.181,,,,
20,08/24/24 05:00:00 AM,15.4236,76.181,,,,
21,08/24/24 06:00:00 AM,15.4297,76.181,,,,
22,08/24/24 07:00:00 AM,15.4354,76.006,,,,
23,08/24/24 08:00:00 AM,15.4384,76.006,,,,
24,08/24/24 09:00:00 AM,15.4384,76.006,,,,
25,08/24/24 10:00:00 AM,15.4394,75.832,,,,
26,08/24/24 11:00:00 AM,15.4380,75.832,,,,
27,08/24/24 12:00:00 PM,15.4307,76.006,,,,
28,08/24/24 01:00:00 PM,15.4156,76.006,,,,
29,08/24/24 02:00:00 PM,15.4095,76.006,,,,
30,08/24/24 03:00:00 PM,15.3962,76.181,,,,
31,08/24/24 04:00:00 PM,15.3891,76.354,,,,
32,08/24/24 05:00:00 PM,15.3865,76.528,,,,
33,08/24/24 06:00:00 PM,15.3834,76.528,,,,
34,08/24/24 07:00:00 PM,15.3853,76.703,,,,
35,08/24/24 08:00:00 PM,15.3900,76.703,,,,
36,08/24/24 09:00:00 PM,15.3975,76.703,,,,
37,08/24/24 10:00:00 PM,15.4020,76.703,,,,
38,08/24/24 11:00:00 PM,15.4036,76.703,,,,
39,08/25/24 12:00:00 AM,15.3975,76.703,,,,
40,08/25/24 01:00:00 AM,15.3945,76.703,,,,
41,08/25/24 02:00:00 AM,15.3895,76.528,,,,
42,08/25/24 03:00:00 AM,15.3879,76.528,,,,
43,08/25/24 04:00:00 AM,15.3910,76.528,,,,
44,08/25/24 05:00:00 AM,15.3936,76.354,,,,
45,08/25/24 06:00:00 AM,15.4058,76.354,,,,
46,08/25/24 07:00:00 AM,15.4179,76.354,,,,
47,08/25/24 08:00:00 AM,15.4175,76.181,,,,
48,08/25/24 09:00:00 AM,15.4206,76.181,,,,
49,08/25/24 10:00:00 AM,15.4236,76.181,,,,
50,08/25/24 11:00:00 AM,15.4190,76.181,,,,
51,08/25/24 12:00:00 PM,15.4175,76.181,,,,
52,08/25/24 01:00:00 PM,15.4164,76.354,,,,
53,08/25/24 02:00:00 PM,15.4058,76.354,,,,
54,08/25/24 03:00:00 PM,15.3956,76.528,,,,
55,08/25/24 04:00:00 PM,15.3869,76.703,,,,
56,08/25/24 05:00:00 PM,15.3930,76.703,,,,
57,08/25/24 06:00:00 PM,15.3904,76.876,,,,
58,08/25/24 07:00:00 PM,15.4010,76.876,,,,
59,08/25/24 08:00:00 PM,15.4177,76.876,,,,
60,08/25/24 09:00:00 PM,15.4272,77.050,,,,
61,08/25/24 10:00:00 PM,15.4287,77.050,,,,
62,08/25/24 11:00:00 PM,15.4348,77.050,,,,
63,08/26/24 12:00:00 AM,15.4287,77.050,,,,
64,08/26/24 01:00:00 AM,15.4207,76.876,,,,
65,08/26/24 02:00:00 AM,15.4130,76.876,,,,
66,08/26/24 03:00:00 AM,15.4071,76.876,,,,
67,08/26/24 04:00:00 AM,15.4127,76.703,,,,
68,08/26/24 05:00:00 AM,15.4111,76.703,,,,
