"Plot Title: Bardford_6LL_Replace"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248143, SEN S/N: 21248143)","Temp, °F (LGR S/N: 21248143, SEN S/N: 21248143)","Coupler Detached (LGR S/N: 21248143, SEN S/N: 21248143)","Coupler Attached (LGR S/N: 21248143, SEN S/N: 21248143)","Stopped (LGR S/N: 21248143, SEN S/N: 21248143)","End Of File (LGR S/N: 21248143, SEN S/N: 21248143)"
1,04/18/24 02:00:00 PM,16.1172,64.996,Logged,,,
2,04/18/24 03:00:00 PM,16.0961,64.652,,,,
3,04/18/24 04:00:00 PM,16.0821,64.652,,,,
4,04/18/24 05:00:00 PM,16.0773,64.652,,,,
5,04/18/24 06:00:00 PM,16.0851,64.652,,,,
6,04/18/24 07:00:00 PM,16.0961,64.652,,,,
7,04/18/24 08:00:00 PM,16.1040,64.652,,,,
8,04/18/24 09:00:00 PM,16.1243,64.652,,,,
9,04/18/24 10:00:00 PM,16.1289,64.652,,,,
10,04/18/24 11:00:00 PM,16.1227,64.652,,,,
11,04/19/24 12:00:00 AM,16.1121,64.825,,,,
12,04/19/24 01:00:00 AM,16.1012,64.825,,,,
13,04/19/24 02:00:00 AM,16.0918,64.825,,,,
14,04/19/24 03:00:00 AM,16.0902,64.825,,,,
15,04/19/24 04:00:00 AM,16.0683,64.825,,,,
16,04/19/24 05:00:00 AM,16.0918,64.825,,,,
17,04/19/24 06:00:00 AM,16.1059,64.825,,,,
18,04/19/24 07:00:00 AM,16.1153,64.825,,,,
19,04/19/24 08:00:00 AM,16.1218,64.996,,,,
20,04/19/24 09:00:00 AM,16.1234,64.996,,,,
21,04/19/24 10:00:00 AM,16.1188,64.996,,,,
22,04/19/24 11:00:00 AM,16.1109,64.996,,,,
23,04/19/24 12:00:00 PM,16.0969,64.996,,,,
24,04/19/24 01:00:00 PM,16.0843,64.996,,,,
25,04/19/24 02:00:00 PM,16.0702,64.996,,,,
26,04/19/24 03:00:00 PM,16.0577,64.996,,,,
27,04/19/24 04:00:00 PM,16.0515,64.996,,,,
28,04/19/24 05:00:00 PM,16.0483,64.996,,,,
29,04/19/24 06:00:00 PM,16.0436,64.996,,,,
30,04/19/24 07:00:00 PM,16.0545,64.996,,,,
31,04/19/24 08:00:00 PM,16.0687,64.996,,,,
32,04/19/24 09:00:00 PM,16.0780,64.996,,,,
33,04/19/24 10:00:00 PM,16.0874,64.996,,,,
34,04/19/24 11:00:00 PM,16.0879,65.167,,,,
35,04/20/24 12:00:00 AM,16.0847,65.167,,,,
36,04/20/24 01:00:00 AM,16.0769,65.167,,,,
37,04/20/24 02:00:00 AM,16.0706,65.167,,,,
38,04/20/24 03:00:00 AM,16.0674,65.167,,,,
39,04/20/24 04:00:00 AM,16.0706,65.167,,,,
40,04/20/24 05:00:00 AM,16.0722,65.167,,,,
41,04/20/24 06:00:00 AM,16.0831,65.167,,,,
42,04/20/24 07:00:00 AM,16.0914,65.338,,,,
43,04/20/24 08:00:00 AM,16.0992,65.338,,,,
44,04/20/24 09:00:00 AM,16.0976,65.338,,,,
45,04/20/24 10:00:00 AM,16.0992,65.338,,,,
46,04/20/24 11:00:00 AM,16.0928,65.338,,,,
47,04/20/24 12:00:00 PM,16.0741,65.338,,,,
48,04/20/24 01:00:00 PM,16.0600,65.338,,,,
49,04/20/24 02:00:00 PM,16.0428,65.338,,,,
50,04/20/24 03:00:00 PM,16.0271,65.338,,,,
51,04/20/24 04:00:00 PM,16.0162,65.338,,,,
52,04/20/24 05:00:00 PM,16.0225,65.338,,,,
53,04/20/24 06:00:00 PM,16.0193,65.338,,,,
54,04/20/24 07:00:00 PM,16.0241,65.338,,,,
55,04/20/24 08:00:00 PM,16.0303,65.338,,,,
56,04/20/24 09:00:00 PM,16.0303,65.338,,,,
57,04/20/24 10:00:00 PM,16.0370,65.509,,,,
58,04/20/24 11:00:00 PM,16.0291,65.509,,,,
59,04/21/24 12:00:00 AM,16.0243,65.509,,,,
60,04/21/24 01:00:00 AM,16.0165,65.509,,,,
61,04/21/24 02:00:00 AM,16.0165,65.509,,,,
62,04/21/24 03:00:00 AM,16.0072,65.509,,,,
63,04/21/24 04:00:00 AM,16.0056,65.509,,,,
64,04/21/24 05:00:00 AM,16.0056,65.509,,,,
65,04/21/24 06:00:00 AM,16.0165,65.509,,,,
66,04/21/24 07:00:00 AM,16.0216,65.680,,,,
67,04/21/24 08:00:00 AM,16.0201,65.680,,,,
68,04/21/24 09:00:00 AM,16.0216,65.680,,,,
69,04/21/24 10:00:00 AM,16.0278,65.680,,,,
70,04/21/24 11:00:00 AM,16.0185,65.680,,,,
71,04/21/24 12:00:00 PM,16.0138,65.680,,,,
