"Plot Title: Bradford_6aLL"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248133, SEN S/N: 21248133)","Temp, °F (LGR S/N: 21248133, SEN S/N: 21248133)","Coupler Detached (LGR S/N: 21248133, SEN S/N: 21248133)","Coupler Attached (LGR S/N: 21248133, SEN S/N: 21248133)","Stopped (LGR S/N: 21248133, SEN S/N: 21248133)","End Of File (LGR S/N: 21248133, SEN S/N: 21248133)"
1,03/25/24 02:00:00 PM,15.5781,61.569,Logged,,,
2,03/25/24 03:00:00 PM,15.5814,61.569,,,,
3,03/25/24 04:00:00 PM,15.5747,61.569,,,,
4,03/25/24 05:00:00 PM,15.5681,61.569,,,,
5,03/25/24 06:00:00 PM,15.5797,61.569,,,,
6,03/25/24 07:00:00 PM,15.5784,61.741,,,,
7,03/25/24 08:00:00 PM,15.5817,61.741,,,,
8,03/25/24 09:00:00 PM,15.5750,61.741,,,,
9,03/25/24 10:00:00 PM,15.5717,61.741,,,,
10,03/25/24 11:00:00 PM,15.5620,61.912,,,,
11,03/26/24 12:00:00 AM,15.5502,61.912,,,,
12,03/26/24 01:00:00 AM,15.5435,61.912,,,,
13,03/26/24 02:00:00 AM,15.5435,61.912,,,,
14,03/26/24 03:00:00 AM,15.5335,61.912,,,,
15,03/26/24 04:00:00 AM,15.5319,61.912,,,,
16,03/26/24 05:00:00 AM,15.5302,61.912,,,,
17,03/26/24 06:00:00 AM,15.5302,61.912,,,,
18,03/26/24 07:00:00 AM,15.5250,61.741,,,,
19,03/26/24 08:00:00 AM,15.5333,61.741,,,,
20,03/26/24 09:00:00 AM,15.5353,61.912,,,,
21,03/26/24 10:00:00 AM,15.5402,61.912,,,,
22,03/26/24 11:00:00 AM,15.5353,61.912,,,,
23,03/26/24 12:00:00 PM,15.5269,61.912,,,,
24,03/26/24 01:00:00 PM,15.5222,62.083,,,,
25,03/26/24 02:00:00 PM,15.5105,62.083,,,,
26,03/26/24 03:00:00 PM,15.5022,62.083,,,,
27,03/26/24 04:00:00 PM,15.4938,62.083,,,,
28,03/26/24 05:00:00 PM,15.4889,62.083,,,,
29,03/26/24 06:00:00 PM,15.4841,62.254,,,,
30,03/26/24 07:00:00 PM,15.4874,62.254,,,,
31,03/26/24 08:00:00 PM,15.4925,62.254,,,,
32,03/26/24 09:00:00 PM,15.4928,62.425,,,,
33,03/26/24 10:00:00 PM,15.5012,62.425,,,,
34,03/26/24 11:00:00 PM,15.5045,62.425,,,,
35,03/27/24 12:00:00 AM,15.4931,62.598,,,,
36,03/27/24 01:00:00 AM,15.4781,62.598,,,,
37,03/27/24 02:00:00 AM,15.4815,62.598,,,,
38,03/27/24 03:00:00 AM,15.4615,62.598,,,,
