"Plot Title: Bradford_6aLL"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248133, SEN S/N: 21248133)","Temp, °F (LGR S/N: 21248133, SEN S/N: 21248133)","Coupler Detached (LGR S/N: 21248133, SEN S/N: 21248133)","Coupler Attached (LGR S/N: 21248133, SEN S/N: 21248133)","Stopped (LGR S/N: 21248133, SEN S/N: 21248133)","End Of File (LGR S/N: 21248133, SEN S/N: 21248133)"
1,09/13/24 01:00:00 PM,15.8496,76.006,Logged,,,
2,09/13/24 02:00:00 PM,15.8446,76.006,,,,
3,09/13/24 03:00:00 PM,15.8265,76.181,,,,
4,09/13/24 04:00:00 PM,15.8198,76.181,,,,
5,09/13/24 05:00:00 PM,15.8332,76.181,,,,
6,09/13/24 06:00:00 PM,15.8299,76.181,,,,
7,09/13/24 07:00:00 PM,15.8332,76.181,,,,
8,09/13/24 08:00:00 PM,15.8516,76.181,,,,
9,09/13/24 09:00:00 PM,15.8549,76.181,,,,
10,09/13/24 10:00:00 PM,15.8467,76.181,,,,
11,09/13/24 11:00:00 PM,15.8467,76.181,,,,
12,09/14/24 12:00:00 AM,15.8433,76.181,,,,
13,09/14/24 01:00:00 AM,15.8367,76.181,,,,
14,09/14/24 02:00:00 AM,15.8383,76.181,,,,
15,09/14/24 03:00:00 AM,15.8349,76.181,,,,
16,09/14/24 04:00:00 AM,15.8400,76.181,,,,
17,09/14/24 05:00:00 AM,15.8467,76.181,,,,
18,09/14/24 06:00:00 AM,15.8516,76.181,,,,
19,09/14/24 07:00:00 AM,15.8600,76.181,,,,
20,09/14/24 08:00:00 AM,15.8650,76.181,,,,
21,09/14/24 09:00:00 AM,15.8664,76.006,,,,
22,09/14/24 10:00:00 AM,15.8697,76.006,,,,
23,09/14/24 11:00:00 AM,15.8731,76.006,,,,
24,09/14/24 12:00:00 PM,15.8650,76.181,,,,
25,09/14/24 01:00:00 PM,15.8567,76.181,,,,
26,09/14/24 02:00:00 PM,15.8500,76.181,,,,
27,09/14/24 03:00:00 PM,15.8433,76.181,,,,
28,09/14/24 04:00:00 PM,15.8449,76.181,,,,
29,09/14/24 05:00:00 PM,15.8416,76.181,,,,
30,09/14/24 06:00:00 PM,15.8467,76.181,,,,
31,09/14/24 07:00:00 PM,15.8467,76.181,,,,
32,09/14/24 08:00:00 PM,15.8536,76.354,,,,
33,09/14/24 09:00:00 PM,15.8520,76.354,,,,
34,09/14/24 10:00:00 PM,15.8554,76.354,,,,
35,09/14/24 11:00:00 PM,15.8520,76.354,,,,
36,09/15/24 12:00:00 AM,15.8536,76.354,,,,
37,09/15/24 01:00:00 AM,15.8490,76.528,,,,
38,09/15/24 02:00:00 AM,15.8406,76.528,,,,
39,09/15/24 03:00:00 AM,15.8423,76.528,,,,
40,09/15/24 04:00:00 AM,15.8357,76.528,,,,
41,09/15/24 05:00:00 AM,15.8457,76.528,,,,
42,09/15/24 06:00:00 AM,15.8574,76.528,,,,
43,09/15/24 07:00:00 AM,15.8641,76.528,,,,
44,09/15/24 08:00:00 AM,15.8657,76.528,,,,
45,09/15/24 09:00:00 AM,15.8708,76.528,,,,
46,09/15/24 10:00:00 AM,15.8792,76.528,,,,
47,09/15/24 11:00:00 AM,15.8774,76.528,,,,
48,09/15/24 12:00:00 PM,15.8623,76.528,,,,
49,09/15/24 01:00:00 PM,15.8557,76.528,,,,
50,09/15/24 02:00:00 PM,15.8439,76.528,,,,
51,09/15/24 03:00:00 PM,15.8339,76.528,,,,
52,09/15/24 04:00:00 PM,15.8339,76.528,,,,
53,09/15/24 05:00:00 PM,15.8390,76.528,,,,
54,09/15/24 06:00:00 PM,15.8406,76.528,,,,
55,09/15/24 07:00:00 PM,15.8423,76.528,,,,
56,09/15/24 08:00:00 PM,15.8473,76.528,,,,
57,09/15/24 09:00:00 PM,15.8541,76.528,,,,
58,09/15/24 10:00:00 PM,15.8557,76.528,,,,
59,09/15/24 11:00:00 PM,15.8510,76.703,,,,
60,09/16/24 12:00:00 AM,15.8493,76.703,,,,
61,09/16/24 01:00:00 AM,15.8477,76.703,,,,
62,09/16/24 02:00:00 AM,15.8377,76.703,,,,
63,09/16/24 03:00:00 AM,15.8293,76.703,,,,
64,09/16/24 04:00:00 AM,15.8343,76.703,,,,
65,09/16/24 05:00:00 AM,15.8377,76.703,,,,
66,09/16/24 06:00:00 AM,15.8444,76.703,,,,
67,09/16/24 07:00:00 AM,15.8510,76.703,,,,
68,09/16/24 08:00:00 AM,15.8523,76.528,,,,
69,09/16/24 09:00:00 AM,15.8541,76.528,,,,
70,09/16/24 10:00:00 AM,15.8554,76.354,,,,
71,09/16/24 11:00:00 AM,15.8503,76.354,,,,
72,09/16/24 12:00:00 PM,15.8454,76.354,,,,
73,09/16/24 01:00:00 PM,15.8386,76.354,,,,
74,09/16/24 02:00:00 PM,15.8303,76.354,,,,
75,09/16/24 03:00:00 PM,15.8303,76.354,,,,
76,09/16/24 04:00:00 PM,15.8236,76.354,,,,
77,09/16/24 05:00:00 PM,15.8219,76.354,,,,
78,09/16/24 06:00:00 PM,15.8270,76.354,,,,
79,09/16/24 07:00:00 PM,15.8285,76.354,,,,
80,09/16/24 08:00:00 PM,15.8285,76.354,,,,
81,09/16/24 09:00:00 PM,15.8370,76.354,,,,
82,09/16/24 10:00:00 PM,15.8386,76.354,,,,
83,09/16/24 11:00:00 PM,15.8352,76.354,,,,
84,09/17/24 12:00:00 AM,15.8336,76.354,,,,
85,09/17/24 01:00:00 AM,15.8265,76.181,,,,
86,09/17/24 02:00:00 AM,15.8196,76.006,,,,
87,09/17/24 03:00:00 AM,15.8145,76.006,,,,
88,09/17/24 04:00:00 AM,15.8058,75.832,,,,
89,09/17/24 05:00:00 AM,15.8104,75.659,,,,
90,09/17/24 06:00:00 AM,15.8119,75.484,,,,
91,09/17/24 07:00:00 AM,15.8214,75.312,,,,
92,09/17/24 08:00:00 AM,15.8262,75.139,,,,
93,09/17/24 09:00:00 AM,15.8329,75.139,,,,
94,09/17/24 10:00:00 AM,15.8329,75.139,,,,
95,09/17/24 11:00:00 AM,15.8245,75.139,,,,
96,09/17/24 12:00:00 PM,15.8081,75.312,,,,
97,09/17/24 01:00:00 PM,15.7934,75.484,,,,
98,09/17/24 02:00:00 PM,15.7820,75.659,,,,
99,09/17/24 03:00:00 PM,15.7737,75.659,,,,
100,09/17/24 04:00:00 PM,15.7671,75.659,,,,
101,09/17/24 05:00:00 PM,15.7607,75.832,,,,
102,09/17/24 06:00:00 PM,15.7623,75.832,,,,
103,09/17/24 07:00:00 PM,15.7673,75.832,,,,
104,09/17/24 08:00:00 PM,15.7707,75.832,,,,
105,09/17/24 09:00:00 PM,15.7791,75.832,,,,
106,09/17/24 10:00:00 PM,15.7774,75.832,,,,
107,09/17/24 11:00:00 PM,15.7794,76.006,,,,
108,09/18/24 12:00:00 AM,15.7778,76.006,,,,
109,09/18/24 01:00:00 AM,15.7694,76.006,,,,
110,09/18/24 02:00:00 AM,15.7594,76.006,,,,
111,09/18/24 03:00:00 AM,15.7527,76.006,,,,
112,09/18/24 04:00:00 AM,15.7496,76.181,,,,
113,09/18/24 05:00:00 AM,15.7479,76.181,,,,
114,09/18/24 06:00:00 AM,15.7547,76.181,,,,
115,09/18/24 07:00:00 AM,15.7530,76.181,,,,
116,09/18/24 08:00:00 AM,15.7543,76.006,,,,
117,09/18/24 09:00:00 AM,15.7610,76.006,,,,
118,09/18/24 10:00:00 AM,15.7594,76.006,,,,
119,09/18/24 11:00:00 AM,15.7527,76.006,,,,
