"Plot Title: Bradford_7LL"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 20501580, SEN S/N: 20501580)","Temp, °F (LGR S/N: 20501580, SEN S/N: 20501580)","Coupler Detached (LGR S/N: 20501580)","Coupler Attached (LGR S/N: 20501580)","Stopped (LGR S/N: 20501580)","End Of File (LGR S/N: 20501580)"
1,05/01/23 12:00:00 PM,14.7605,68.077,Logged,,,
2,05/01/23 01:00:00 PM,14.7463,67.906,,,,
3,05/01/23 02:00:00 PM,14.7324,67.906,,,,
4,05/01/23 03:00:00 PM,14.7158,67.906,,,,
5,05/01/23 04:00:00 PM,14.7080,68.077,,,,
6,05/01/23 05:00:00 PM,14.6997,68.077,,,,
7,05/01/23 06:00:00 PM,14.6997,68.077,,,,
8,05/01/23 07:00:00 PM,14.7093,68.077,,,,
9,05/01/23 08:00:00 PM,14.7260,68.077,,,,
10,05/01/23 09:00:00 PM,14.7370,68.077,,,,
11,05/01/23 10:00:00 PM,14.7537,68.077,,,,
12,05/01/23 11:00:00 PM,14.7632,68.077,,,,
13,05/02/23 12:00:00 AM,14.7688,68.077,,,,
14,05/02/23 01:00:00 AM,14.7702,68.077,,,,
15,05/02/23 02:00:00 AM,14.7717,68.077,,,,
16,05/02/23 03:00:00 AM,14.7785,68.077,,,,
17,05/02/23 04:00:00 AM,14.7909,68.077,,,,
18,05/02/23 05:00:00 AM,14.8007,68.077,,,,
19,05/02/23 06:00:00 AM,14.8131,68.077,,,,
20,05/02/23 07:00:00 AM,14.8195,67.906,,,,
21,05/02/23 08:00:00 AM,14.8195,67.906,,,,
22,05/02/23 09:00:00 AM,14.8043,67.906,,,,
23,05/02/23 10:00:00 AM,14.7892,67.906,,,,
24,05/02/23 11:00:00 AM,14.7670,67.906,,,,
25,05/02/23 12:00:00 PM,14.7471,67.735,,,,
26,05/02/23 01:00:00 PM,14.7264,67.735,,,,
27,05/02/23 02:00:00 PM,14.7071,67.735,,,,
28,05/02/23 03:00:00 PM,14.6822,67.735,,,,
29,05/02/23 04:00:00 PM,14.6656,67.735,,,,
30,05/02/23 05:00:00 PM,14.6674,67.906,,,,
31,05/02/23 06:00:00 PM,14.6633,67.906,,,,
32,05/02/23 07:00:00 PM,14.6729,67.906,,,,
33,05/02/23 08:00:00 PM,14.6841,67.906,,,,
34,05/02/23 09:00:00 PM,14.6951,67.906,,,,
35,05/02/23 10:00:00 PM,14.7033,67.906,,,,
36,05/02/23 11:00:00 PM,14.7103,67.906,,,,
37,05/03/23 12:00:00 AM,14.7200,67.906,,,,
38,05/03/23 01:00:00 AM,14.7255,67.906,,,,
39,05/03/23 02:00:00 AM,14.7255,67.906,,,,
40,05/03/23 03:00:00 AM,14.7228,67.906,,,,
41,05/03/23 04:00:00 AM,14.7306,67.735,,,,
42,05/03/23 05:00:00 AM,14.7403,67.735,,,,
43,05/03/23 06:00:00 AM,14.7583,67.735,,,,
44,05/03/23 07:00:00 AM,14.7721,67.735,,,,
45,05/03/23 08:00:00 AM,14.7666,67.735,,,,
46,05/03/23 09:00:00 AM,14.7509,67.564,,,,
47,05/03/23 10:00:00 AM,14.7329,67.564,,,,
48,05/03/23 11:00:00 AM,14.7190,67.564,,,,
49,05/03/23 12:00:00 PM,14.7010,67.564,,,,
50,05/03/23 01:00:00 PM,14.6817,67.564,,,,
51,05/03/23 02:00:00 PM,14.6623,67.564,,,,
52,05/03/23 03:00:00 PM,14.6443,67.564,,,,
53,05/03/23 04:00:00 PM,14.6292,67.564,,,,
54,05/03/23 05:00:00 PM,14.6250,67.564,,,,
55,05/03/23 06:00:00 PM,14.6278,67.564,,,,
