"Plot Title: Bradford_7LL"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 20501580, SEN S/N: 20501580)","Temp, °F (LGR S/N: 20501580, SEN S/N: 20501580)","Coupler Detached (LGR S/N: 20501580, SEN S/N: 20501580)","Coupler Attached (LGR S/N: 20501580, SEN S/N: 20501580)","Stopped (LGR S/N: 20501580, SEN S/N: 20501580)","End Of File (LGR S/N: 20501580, SEN S/N: 20501580)"
1,08/13/25 01:00:00 PM,15.4435,77.225,Logged,,,
2,08/13/25 02:00:00 PM,15.4300,76.876,,,,
3,08/13/25 03:00:00 PM,15.4232,76.876,,,,
4,08/13/25 04:00:00 PM,15.4148,76.876,,,,
5,08/13/25 05:00:00 PM,15.4092,76.876,,,,
6,08/13/25 06:00:00 PM,15.4065,76.876,,,,
7,08/13/25 07:00:00 PM,15.4078,76.876,,,,
8,08/13/25 08:00:00 PM,15.4162,76.876,,,,
9,08/13/25 09:00:00 PM,15.4232,76.876,,,,
10,08/13/25 10:00:00 PM,15.4217,76.876,,,,
11,08/13/25 11:00:00 PM,15.4208,77.050,,,,
12,08/14/25 12:00:00 AM,15.4166,77.050,,,,
13,08/14/25 01:00:00 AM,15.4166,77.050,,,,
14,08/14/25 02:00:00 AM,15.4027,77.050,,,,
15,08/14/25 03:00:00 AM,15.3972,77.050,,,,
16,08/14/25 04:00:00 AM,15.4000,77.050,,,,
17,08/14/25 05:00:00 AM,15.4056,77.050,,,,
18,08/14/25 06:00:00 AM,15.4153,77.050,,,,
19,08/14/25 07:00:00 AM,15.4208,77.050,,,,
20,08/14/25 08:00:00 AM,15.4264,77.050,,,,
21,08/14/25 09:00:00 AM,15.4278,77.050,,,,
22,08/14/25 10:00:00 AM,15.4251,77.050,,,,
23,08/14/25 11:00:00 AM,15.4181,77.050,,,,
24,08/14/25 12:00:00 PM,15.4111,77.050,,,,
25,08/14/25 01:00:00 PM,15.4014,77.050,,,,
26,08/14/25 02:00:00 PM,15.3862,77.050,,,,
27,08/14/25 03:00:00 PM,15.3695,77.050,,,,
28,08/14/25 04:00:00 PM,15.3543,77.050,,,,
29,08/14/25 05:00:00 PM,15.3459,77.050,,,,
30,08/14/25 06:00:00 PM,15.3431,77.050,,,,
31,08/14/25 07:00:00 PM,15.3492,77.225,,,,
32,08/14/25 08:00:00 PM,15.3505,77.225,,,,
33,08/14/25 09:00:00 PM,15.3649,77.400,,,,
34,08/14/25 10:00:00 PM,15.3672,77.225,,,,
35,08/14/25 11:00:00 PM,15.3617,77.225,,,,
36,08/15/25 12:00:00 AM,15.3663,77.400,,,,
37,08/15/25 01:00:00 AM,15.3589,77.225,,,,
38,08/15/25 02:00:00 AM,15.3477,77.225,,,,
39,08/15/25 03:00:00 AM,15.3435,77.225,,,,
40,08/15/25 04:00:00 AM,15.3435,77.225,,,,
41,08/15/25 05:00:00 AM,15.3496,77.400,,,,
42,08/15/25 06:00:00 AM,15.3511,77.400,,,,
