"Plot Title: Bradford_9LL"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776674, SEN S/N: 10776674)","Temp, °F (LGR S/N: 10776674, SEN S/N: 10776674)","Coupler Detached (LGR S/N: 10776674, SEN S/N: 10776674)","Coupler Attached (LGR S/N: 10776674, SEN S/N: 10776674)","Stopped (LGR S/N: 10776674, SEN S/N: 10776674)","End Of File (LGR S/N: 10776674, SEN S/N: 10776674)"
1,06/01/23 01:15:00 PM,14.9183,78.975,Logged,,,
2,06/01/23 01:30:00 PM,14.9334,75.139,,,,
3,06/01/23 01:45:00 PM,14.9348,75.139,,,,
4,06/01/23 02:00:00 PM,14.9328,75.484,,,,
5,06/01/23 02:15:00 PM,14.9282,76.006,,,,
6,06/01/23 02:30:00 PM,14.9250,76.528,,,,
7,06/01/23 02:45:00 PM,14.9219,77.050,,,,
8,06/01/23 03:00:00 PM,14.9152,77.400,,,,
9,06/01/23 03:15:00 PM,14.9132,77.749,,,,
10,06/01/23 03:30:00 PM,14.9147,78.274,,,,
11,06/01/23 03:45:00 PM,14.9106,78.449,,,,
12,06/01/23 04:00:00 PM,14.9054,78.800,,,,
13,06/01/23 04:15:00 PM,14.9034,79.151,,,,
14,06/01/23 04:30:00 PM,14.9023,79.326,,,,
15,06/01/23 04:45:00 PM,14.8977,79.326,,,,
16,06/01/23 05:00:00 PM,14.8983,79.502,,,,
17,06/01/23 05:15:00 PM,14.8920,79.502,,,,
18,06/01/23 05:30:00 PM,14.8931,79.326,,,,
19,06/01/23 05:45:00 PM,14.8936,78.975,,,,
20,06/01/23 06:00:00 PM,14.8973,78.624,,,,
21,06/01/23 06:15:00 PM,14.8957,78.098,,,,
22,06/01/23 06:30:00 PM,14.8947,77.749,,,,
23,06/01/23 06:45:00 PM,14.8952,77.400,,,,
24,06/01/23 07:00:00 PM,14.8957,77.050,,,,
25,06/01/23 07:15:00 PM,14.8967,76.876,,,,
26,06/01/23 07:30:00 PM,14.8973,76.528,,,,
27,06/01/23 07:45:00 PM,14.8999,76.354,,,,
28,06/01/23 08:00:00 PM,14.8978,76.181,,,,
29,06/01/23 08:15:00 PM,14.8989,76.006,,,,
30,06/01/23 08:30:00 PM,14.8962,75.659,,,,
31,06/01/23 08:45:00 PM,14.8989,75.484,,,,
32,06/01/23 09:00:00 PM,14.8952,75.312,,,,
33,06/01/23 09:15:00 PM,14.8932,75.139,,,,
34,06/01/23 09:30:00 PM,14.8958,74.964,,,,
35,06/01/23 09:45:00 PM,14.8954,74.791,,,,
36,06/01/23 10:00:00 PM,14.8968,74.791,,,,
37,06/01/23 10:15:00 PM,14.9010,74.619,,,,
38,06/01/23 10:30:00 PM,14.9005,74.446,,,,
39,06/01/23 10:45:00 PM,14.9015,74.271,,,,
40,06/01/23 11:00:00 PM,14.9026,74.098,,,,
41,06/01/23 11:15:00 PM,14.9026,74.098,,,,
42,06/01/23 11:30:00 PM,14.9006,73.926,,,,
43,06/01/23 11:45:00 PM,14.8970,73.753,,,,
44,06/02/23 12:00:00 AM,14.8970,73.753,,,,
45,06/02/23 12:15:00 AM,14.8949,73.580,,,,
46,06/02/23 12:30:00 AM,14.8944,73.407,,,,
47,06/02/23 12:45:00 AM,14.8913,73.407,,,,
48,06/02/23 01:00:00 AM,14.8909,73.234,,,,
49,06/02/23 01:15:00 AM,14.8893,73.234,,,,
50,06/02/23 01:30:00 AM,14.8842,73.062,,,,
51,06/02/23 01:45:00 AM,14.8836,72.891,,,,
52,06/02/23 02:00:00 AM,14.8801,72.718,,,,
53,06/02/23 02:15:00 AM,14.8755,72.718,,,,
54,06/02/23 02:30:00 AM,14.8751,72.545,,,,
55,06/02/23 02:45:00 AM,14.8735,72.545,,,,
56,06/02/23 03:00:00 AM,14.8714,72.372,,,,
57,06/02/23 03:15:00 AM,14.8694,72.199,,,,
58,06/02/23 03:30:00 AM,14.8678,72.199,,,,
59,06/02/23 03:45:00 AM,14.8674,72.028,,,,
60,06/02/23 04:00:00 AM,14.8674,72.028,,,,
61,06/02/23 04:15:00 AM,14.8623,71.856,,,,
62,06/02/23 04:30:00 AM,14.8603,71.683,,,,
63,06/02/23 04:45:00 AM,14.8603,71.683,,,,
64,06/02/23 05:00:00 AM,14.8648,71.683,,,,
65,06/02/23 05:15:00 AM,14.8613,71.512,,,,
66,06/02/23 05:30:00 AM,14.8654,71.339,,,,
67,06/02/23 05:45:00 AM,14.8623,71.339,,,,
68,06/02/23 06:00:00 AM,14.8633,71.168,,,,
69,06/02/23 06:15:00 AM,14.8680,71.168,,,,
70,06/02/23 06:30:00 AM,14.8710,71.168,,,,
71,06/02/23 06:45:00 AM,14.8736,70.995,,,,
72,06/02/23 07:00:00 AM,14.8767,70.995,,,,
73,06/02/23 07:15:00 AM,14.8767,70.995,,,,
74,06/02/23 07:30:00 AM,14.8748,70.824,,,,
75,06/02/23 07:45:00 AM,14.8732,70.824,,,,
76,06/02/23 08:00:00 AM,14.8732,70.824,,,,
77,06/02/23 08:15:00 AM,14.8716,70.824,,,,
78,06/02/23 08:30:00 AM,14.8706,70.995,,,,
79,06/02/23 08:45:00 AM,14.8722,70.995,,,,
80,06/02/23 09:00:00 AM,14.8767,70.995,,,,
81,06/02/23 09:15:00 AM,14.8742,71.168,,,,
82,06/02/23 09:30:00 AM,14.8710,71.168,,,,
83,06/02/23 09:45:00 AM,14.8685,71.339,,,,
84,06/02/23 10:00:00 AM,14.8654,71.339,,,,
85,06/02/23 10:15:00 AM,14.8659,71.512,,,,
86,06/02/23 10:30:00 AM,14.8597,71.512,,,,
87,06/02/23 10:45:00 AM,14.8540,71.683,,,,
88,06/02/23 11:00:00 AM,14.8514,71.856,,,,
89,06/02/23 11:15:00 AM,14.8488,72.028,,,,
90,06/02/23 11:30:00 AM,14.8432,72.199,,,,
91,06/02/23 11:45:00 AM,14.8365,72.545,,,,
