Site,Sample Date,Result(NPOC),NPOC,Vial,DF
3,7/7/2023,17.59,53.3030303,46,0.33
5a,7/4/2023,9.992,30.27878788,47,0.33
6,7/4/2023,14.02,14.02,48,0
6a,7/7/2023,16.52,16.52,49,0
7,7/7/2023,17.64,53.45454545,50,0.33
9,7/7/2023,19.66,59.57575758,51,0.33
13,7/7/2023,3.357,3.357,52,0
14,7/7/2023,6.461,6.461,53,0
15,7/4/2023,8.344,8.344,54,0
5,6/1/2023,1.985,6.015151515,64,0.33
5a,6/1/2023,2.839,2.839,65,0
6,6/1/2023,7.057,7.057,66,0
6a,6/1/2023,8.597,8.597,67,0
7,6/1/2023,6.126,6.126,68,0
9a,6/1/2023,7.3,22.12121212,69,0.33
9b,6/1/2023,7.057,21.38484848,70,0.33
13,6/1/2023,2.805,2.805,71,0
14,6/1/2023,5.214,5.214,72,0
5,7/4/2023,3.488,10.56969697,74,0.33
