[Header]	
System	Suspended Solids Saline	
S/W Version	1.00	
User		
Date/Time	3/31/2025 11:03:02 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Excluded	Inj. Vol.	
Unknown	NPOC	5.1_03112025_1	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 10:20:52 AM	1	1	NPOC	202.5	201.5	59.02	58.73	NPOC:58.73mg/L	NPOC:58.73mg/L	0	50	
Unknown	NPOC	5.1_03112025_1	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 10:24:04 AM	1	2	NPOC	200.5	201.5	58.44	58.73	NPOC:58.73mg/L	NPOC:58.73mg/L	0	50	
Unknown	NPOC	5.1_03112025_2	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 10:33:17 AM	1	1	NPOC	203.8	202.4	59.40	58.99	NPOC:58.99mg/L	NPOC:58.99mg/L	0	50	
Unknown	NPOC	5.1_03112025_2	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 10:36:43 AM	1	2	NPOC	201.0	202.4	58.59	58.99	NPOC:58.99mg/L	NPOC:58.99mg/L	0	50	
Unknown	NPOC	5.3_03112025_1	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 10:45:47 AM	1	1	NPOC	155.2	155.6	45.28	45.38	NPOC:45.38mg/L	NPOC:45.38mg/L	0	50	
Unknown	NPOC	5.3_03112025_1	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 10:49:07 AM	1	2	NPOC	155.9	155.6	45.48	45.38	NPOC:45.38mg/L	NPOC:45.38mg/L	0	50	
Unknown	NPOC	5.3_03112025_2	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 10:58:12 AM	1	1	NPOC	155.1	154.1	45.25	44.94	NPOC:44.94mg/L	NPOC:44.94mg/L	0	50	
Unknown	NPOC	5.3_03112025_2	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 11:01:32 AM	1	2	NPOC	153.0	154.1	44.64	44.94	NPOC:44.94mg/L	NPOC:44.94mg/L	0	50	
Unknown	NPOC	5.2_03112025_1	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 11:11:03 AM	1	1	NPOC	188.7	189.1	55.01	55.11	NPOC:55.11mg/L	NPOC:55.11mg/L	0	50	
Unknown	NPOC	5.2_03112025_1	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 11:14:22 AM	1	2	NPOC	189.4	189.1	55.21	55.11	NPOC:55.11mg/L	NPOC:55.11mg/L	0	50	
Unknown	NPOC	5.2_03112025_2	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2024_12_30_10_07_32.cal	1.00		3/28/2025 11:23:48 AM	1	1	NPOC	191.2	189.3	55.74	55.19	NPOC:55.19mg/L	NPOC:55.19mg/L	0	50	
